srok;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
any;центробежный компрессор;35-ТУ-08552-2015;27.11.2015;2624022320;"ООО ""СТАВРОЛЕН""";Центробежный компрессор НД типа 46M3-3DF, зав. № 0416, Центробежный компрессор СД типа 46M7/6, зав. № 0417, Центробежный компрессор ВД типа 38M 9/50, зав. № 0418, поз. С-2001;ТУ;2635042896;"ООО фирма ""Инженерный центр""";соответствует;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-08552-2015;https://monitor-pb.ru/customer/2624022320
any;центробежный компрессор;35-ТУ-08553-2015;27.11.2015;2624022320;"ООО ""СТАВРОЛЕН""";Центробежный компрессор НД типа 38М9-7, зав. № 1.3.0420, Центробежный компрессор ВД типа GA 355/6, зав. № 23-1681, поз. С-4001;ТУ;2635042896;"ООО фирма ""Инженерный центр""";соответствует;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-08553-2015;https://monitor-pb.ru/customer/2624022320
any;центробежный компрессор;18-ТУ-11247-2014;14.07.2014;7601001107;"ПАО ""СЛАВНЕФТЬ-ЯНОС""";"""Центробежные газовые компрессоры ОАО ""Славнефть-ЯНОС""";ТУ;7810152452;"АО ""НПО ""Ленкор""";соответствует;https://monitor-pb.ru/conclusion/18-%D0%A2%D0%A3-11247-2014;https://monitor-pb.ru/customer/7601001107
any;центробежный компрессор;41-ТУ-01781-2014;03.02.2014;0268008010;"АО ""БСК""";Центробежный компрессор типа 17PF30, поз. 730А, зав. № 20843;ТУ;0278135811;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-01781-2014;https://monitor-pb.ru/customer/0268008010
any;центробежный компрессор;41-ТУ-01783-2014;03.02.2014;0268008010;"АО ""БСК""";Центробежный компрессор типа 17PF30, поз. 730В, зав. № 20844;ТУ;0278135811;"ООО ""РЕГИОНПРОМТЕХНОЛОГИЯ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-01783-2014;https://monitor-pb.ru/customer/0268008010
any;центробежный компрессор;53-ТУ-09286-2015;21.07.2015;6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";Центробежный компрессор ЦК-100/6,5, техн.№ 1;ТУ;6312124250;"ООО ""САМПРОМЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-09286-2015;https://monitor-pb.ru/customer/6320005915
any;центробежный компрессор;53-ТУ-11958-2014;04.07.2014;6330017980;"АО ""ННК""";Центробежный компрессор «Эмма» техн. № Т/К-4 , зав. № 805460;ТУ;6312031510;"ООО ПФ ""ЭДТОН""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-11958-2014;https://monitor-pb.ru/customer/6330017980
any;центробежный компрессор;35-ТУ-02778-2016;24.05.2016;2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";Центробежный компрессор технологического воздуха, поз. 101-J, цех № 1-В;ТУ;7116025938;"ПАО ""НОРЭ""";соответствует;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-02778-2016;https://monitor-pb.ru/customer/2631015563
any;центробежный компрессор;35-ТУ-02779-2016;24.05.2016;2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";Центробежный компрессор синтез-газа, поз.103-J, цех № 1-В;ТУ;7116025938;"ПАО ""НОРЭ""";соответствует;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-02779-2016;https://monitor-pb.ru/customer/2631015563
any;центробежный компрессор;35-ТУ-02781-2016;24.05.2016;2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";Центробежный компрессор природного газа, поз.102-J, цех № 1-В;ТУ;7116025938;"ПАО ""НОРЭ""";соответствует;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-02781-2016;https://monitor-pb.ru/customer/2631015563
