model;srok;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01453-2025;30.01.2025;;;Емкость поз. БПС-1, зав. № б/н, рег.№ б/н, НПП, цех 8/14, установка Л-35/11-1000;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01453-2025;
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ЗС-17094-2023;25.10.2023;;;сооружение (технологический трубопровод) рег. № 209. Дизельное топливо от тр. № 8 об. 12 до линии 2 об. СНЭ-5. Объект 12, цех 2, Товарное производство, АО «АНХК»;ЗС;7017071845;"ООО СЦТДЭ ""ДИАСИБ""";;https://monitor-pb.ru/conclusion/67-%D0%97%D0%A1-17094-2023;
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;00-ДБ-00083-2013;26.09.2013;3801009466;"АО ""АНХК""";"ЭПБ на ДПБ ОПО ОАО ""Ангарская нефтехимическая компания"", рег. № 14-ДБ-(НХ)1274-2013";ДБ;7730154574;"ООО ""НПЦ ""Технология""";соответствует;https://monitor-pb.ru/conclusion/00-%D0%94%D0%91-00083-2013;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01852-2014;13.03.2014;3801009466;"АО ""АНХК""";Фильтр поз.Ф-2, установленный в цехе № 135/136, объект 1671, Химический завод, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01852-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-04815-2014;27.06.2014;3801009466;"АО ""АНХК""";№ 05-ТУ-0203-13 техническое устройство: конденсатор выносной, рег. №876, зав. №У-4 г. Ангарск ОАО «Ангарская нефтехимическая компания» (объект А67-00371-0001);ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-04815-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-04831-2014;30.06.2014;3801009466;"АО ""АНХК""";№ 05-ТУ-0226-13 техническое устройство: регенератор азота, рег. №879, зав. №У-16 г. Ангарск ОАО «Ангарская нефтехимическая компания» (объект А67-00371-0001);ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-04831-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-00645-2014;06.02.2014;3801009466;"АО ""АНХК""";на Ёмкость поз.М-2, установленная в цехе № 86/57, объект 343, Химический завод, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-00645-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01654-2014;05.03.2014;3801009466;"АО ""АНХК""";Резервуар вертикального стального цилиндрического, объемом 1000 м3, № 150, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), НЗП, цех № 8/14, парк 22, г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01654-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01656-2014;05.03.2014;3801009466;"АО ""АНХК""";Резервуар вертикального стального цилиндрического, объемом 2000 м3, № 20, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), ТСП, цех 1, объект 186/1, г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01656-2014;https://monitor-pb.ru/customer/3801009466
Ангарская нефтехимическая компания;any;Ангарская нефтехимическая компания;67-ТУ-01670-2014;05.03.2014;3801009466;"АО ""АНХК""";Резервуар вертикального стального цилиндрического, объемом 1000 м3, № 17, ОАО «Ангарская нефтехимическая компания» (ОАО «АНХК»), ХЗ, цех № 86/57, объект 346, г.Ангарск Иркутской области;ТУ;7106503857;"ООО ""Промтехэкспертиза"" (ИНН 7106503857)";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01670-2014;https://monitor-pb.ru/customer/3801009466
