srok;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
any;воздухонагнетатель;43-ТУ-06918-2019;15.05.2019;1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";Воздухонагнетатель ВН-360-22-1 поз. № 15/4 рег. № - зав. № 125;ТУ;1651057320;"ООО ""ОРДЭК""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-06918-2019;https://monitor-pb.ru/customer/1651000010
any;воздухонагнетатель;03-ТУ-00798-2017;31.01.2017;6227007322;"АО ""РНПК""";воздухонагнетатель 1200-25-3, поз. ВН-5 (нвс), установка Биоочистка, цех № 20;ТУ;7725843681;"ООО ""ГАЗМАШПРОЕКТ""";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-00798-2017;https://monitor-pb.ru/customer/6227007322
any;воздухонагнетатель;03-ТУ-00802-2017;31.01.2017;6227007322;"АО ""РНПК""";воздухонагнетатель 1200-25-3, поз. ВН-1 (нвс), установка Биоочистка, цех № 20;ТУ;7725843681;"ООО ""ГАЗМАШПРОЕКТ""";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-00802-2017;https://monitor-pb.ru/customer/6227007322
any;воздухонагнетатель;03-ТУ-00806-2017;31.01.2017;6227007322;"АО ""РНПК""";воздухонагнетатель 1200-25-3, поз. ВН-3 (вс), установка Биоочистка, цех № 20;ТУ;7725843681;"ООО ""ГАЗМАШПРОЕКТ""";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-00806-2017;https://monitor-pb.ru/customer/6227007322
any;воздухонагнетатель;43-ТУ-11900-2020;02.10.2020;1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";Воздухонагнетатель Э-360-22-1 поз.№М-15/2 зав.№387;ТУ;1655106585;"ООО ""ИНЖЕНЕРНЫЙ ЦЕНТР ПО ЭКСПЕРТИЗЕ И ДИАГНОСТИКЕ""";не в полной мере;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-11900-2020;https://monitor-pb.ru/customer/1651000010
any;воздухонагнетатель;43-ТП-04566-2015;25.06.2015;1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";«ПАО «Нижнекамскнефтехим», завод ИМ, цех 1808. «Автоматизированная система управления воздухонагнетателями и технологическим процессом» (Шифр №57263937.425280.080);ТП;1216019038;"ООО ""НТЦ ""ПромТехЭксперт""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%9F-04566-2015;https://monitor-pb.ru/customer/1651000010
any;воздухонагнетатель;43-ТП-05690-2017;06.06.2017;1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";«ПАО «Нижнекамскнефтехим» завод ИМ, цех 1808 (Объект ИФ-8). Подключение электрических параметров воздухонагнетателей к АСУТП» (Шифр: 52660);ТП;1216019038;"ООО ""НТЦ ""ПромТехЭксперт""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%9F-05690-2017;https://monitor-pb.ru/customer/1651000010
any;воздухонагнетатель;53-ТУ-13005-2016;12.07.2016;6323049893;"ООО ""ТОЛЬЯТТИКАУЧУК""";Центробежный воздухонагнетатель типа Н-360-22-1, техн. № 15/III, зав. № 523,установка дегидрирования изобутана (БК-2);ТУ;6312031510;"ООО ПФ ""ЭДТОН""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-13005-2016;https://monitor-pb.ru/customer/6323049893
any;воздухонагнетатель;53-ТУ-22699-2014;06.11.2014;6323049893;"ООО ""ТОЛЬЯТТИКАУЧУК""";Центробежный воздухонагнетатель Н-360-22-1 тех.№Н-15/1, зав.№524 Установка дегидрирования изобутана БК-2;ТУ;6312031510;"ООО ПФ ""ЭДТОН""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-22699-2014;https://monitor-pb.ru/customer/6323049893
any;воздухонагнетатель;53-ТУ-22703-2014;06.11.2014;6323049893;"ООО ""ТОЛЬЯТТИКАУЧУК""";Центробежный воздухонагнетатель Н-360-22-1 тех.№Н-15/2, зав.№684 Установка дегидрирования изобутана БК-2;ТУ;6312031510;"ООО ПФ ""ЭДТОН""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-22703-2014;https://monitor-pb.ru/customer/6323049893
any;воздухонагнетатель;03-ТУ-01193-2022;01.02.2022;6227007322;"АО ""РНПК""";Центробежный воздухонагнетатель 1200-25-3, поз. ВН-3, установка Биоочистка, цех № 20;ТУ;5029124262;"ООО ""ПРОММАШ ТЕСТ"" (ИНН 5029124262)";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-01193-2022;https://monitor-pb.ru/customer/6227007322
any;воздухонагнетатель;03-ТУ-03390-2022;28.02.2022;6227007322;"АО ""РНПК""";Центробежный воздухонагнетатель 1200-25-3, поз. ВН-5, установка Биоочистка, цех № 20;ТУ;5029124262;"ООО ""ПРОММАШ ТЕСТ"" (ИНН 5029124262)";соответствует;https://monitor-pb.ru/conclusion/03-%D0%A2%D0%A3-03390-2022;https://monitor-pb.ru/customer/6227007322
