srok;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
any;компрессорный агрегат;02-ТП-08807-2022;10.08.2022;8903021599;"ООО ""НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ""";Заключение экспертизы промышленной безопасности документации на техническое перевооружение опасного производственного объекта «Дожимная компрессорная станция Юрхаровского месторождения» в составе: 1. Дожимная компрессорная станция Юрхаровского месторождения. II очередь строительства. Площадка компрессорных агрегатов №7 Компрессорное оборудование. 2. Дожимная компрессорная станция Юрхаровского месторождения. III очередь строительства. Площадка компрессорных агрегатов (поз.80) Компрессорное оборудование. 3. Дожимная компрессорная станция Юрхаровского месторождения. III очередь строительства. Площадка компрессорных агрегатов (поз.81) Компрессорное оборудование. 4. Дожимная компрессорная станция Юрхаровского месторождения. III очередь строительства. Площадка компрессорных агрегатов (поз.82) Компрессорное оборудование. 5. Дожимная компрессорная станция Юрхаровского месторождения. III очередь строительства. Площадка компрессорных агрегатов (поз.83) Компрессорное оборудование. 6. Дожимная компрессорная станция Юрхаровского месторождения. 4 этап строительства. Площадка компрессорных агрегатов (поз.84) Компрессорное оборудование». Шифр документации «152-10/21»;ТП;7723451304;"ООО ""ГК ""СИНЕРГИЯ""";соответствует;https://monitor-pb.ru/conclusion/02-%D0%A2%D0%9F-08807-2022;https://monitor-pb.ru/customer/8903021599
any;компрессорный агрегат;62-ТУ-04653-2014;14.03.2014;7022011190;"ООО ""АНПЗ""";газоразделительный блок АК 1032А зав. № 2, агрегат компрессорный 4ВУ1-5/9 зав. № 04868312, агрегат компрессорный 4ВУ1-5/9 зав. № 079124753, агрегат компрессорный АВШ-6/10 УХЛ 4.2 зав. № 000639;ТУ;7017034515;"ООО ""ИТЦ ДИКОН""";соответствует;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-04653-2014;https://monitor-pb.ru/customer/7022011190
any;компрессорный агрегат;71-ТП-01704-2014;19.05.2014;2722010548;"АО ""Газпром газораспределение Дальний Восток""";Рабочий проект «Замена компрессорного агрегата П-110 на компрессорный агрегат Corken D891-107B в насосно-компрессорном отделении в Хабаровской ГНС»;ТП;2722035060;"ООО ""ИНЖИНИРИНГ-ДИАГНОСТИК""";соответствует;https://monitor-pb.ru/conclusion/71-%D0%A2%D0%9F-01704-2014;https://monitor-pb.ru/customer/2722010548
any;компрессорный агрегат;53-ТП-34526-2022;17.03.2022;6330021384;"ООО ""ЦЕНТРПРОЕКТ""";"Документация на техническое перевооружение «Площадка промысловой компрессорной станции Восточно-Таркосалинского месторождения (газовый промысл) А59-60004-0071» для выполнения работ по объектам: - ГП ДКС: Площадка компрессорного агрегата(поз.51.1) (оборудование) инв. № Т00011644; - ГП ДКС: Площадка компрессорного агрегата(поз.51.2) (оборудование) инв. № Т00011656; - ГП ДКС: Площадка компрессорного агрегата(поз.51.3) (оборудование) инв. № Т00011661; - ГП ДКС (2-ая оч.): Площадка компрессорных агрегатов (поз 86.1) инв. № Т00012771; - ГП ДКС (2-ая оч.): Площадка компрессорных агрегатов (поз 86.2) инв. № Т00012772; - ГП ДКС (2-ая оч.): Площадка компрессорных агрегатов (поз 86.3) инв. № Т00012773; - ГП ДКС (III оч.): Площадка компрессорного агрегата (поз.1):Укрытие газоперекачивающего агрегата (поз.1.1) инв. № Т00015085; - ГП ДКС (III оч.): Площадка компрессорного агрегата (поз.2): Укрытие газоперекачивающего агрегата (поз.2.1) инв. № Т00015091; - ГП ДКС (2-ая оч.): Сети технологические инв. № Т00012850; - ГП ДКС: Площадка воздушных холодильников (поз.52) (оборудование) инв. № Т00011622; - ГП ДКС (III оч.): Сети внутриплощадочные технологические инв. № Т00015125 шифр 012.21-АТХ";ТП;6312086734;"ООО ""ПЭБ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%9F-34526-2022;https://monitor-pb.ru/customer/6330021384
any;компрессорный агрегат;62-ТУ-05339-2017;17.03.2017;7022011190;"ООО ""АНПЗ""";"техническое устройство - агрегат компрессорный 4ВУ1-5/9 зав.№ 04868312, агрегат компрессорный 4ВУ1-5/9 зав.№ 079124753, агрегат компрессорный АВШ-6/10 УХЛ 4.2 зав.№ 000639, применяемые на опасном производственном объекте ""Площадка установки производства моторных топлив"", эксплуатируемом ООО ""АНПЗ"".";ТУ;7017034515;"ООО ""ИТЦ ДИКОН""";соответствует;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-05339-2017;https://monitor-pb.ru/customer/7022011190
any;компрессорный агрегат;43-ТУ-02771-2017;03.03.2017;1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";Заводской № Наименование 08G1172 поршневой метановый компрессорный агрегат модели WG76 08G1165 поршневой метановый компрессорный агрегат модели WG76;ТУ;1659107438;"ООО ""Нафта-Групп""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-02771-2017;https://monitor-pb.ru/customer/1644003838
any;компрессорный агрегат;57-ТП-40459-2016;16.12.2016;8601032354;"ООО ""ЮЖНО-ПРИОБСКИЙ ГПЗ""";«Техническое перевооружение системы подачи буферного газа в СГУ (система сухих газодинамических уплотнений) на газотурбинных компрессорных агрегатах Solar Turbines Mars 100 (компрессорная станция, блок компрессорного агрегата № 3, инвентарный номер №000000414) и Solar Turbines Taurus 70 (дожимная компрессорная станция, инвентарный номер № 000000575)»;ТП;8606004424;"ООО ""ЮТАР""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%9F-40459-2016;https://monitor-pb.ru/customer/8601032354
any;компрессорный агрегат;62-ТУ-01434-2021;28.01.2021;7022011190;"ООО ""АНПЗ""";"технические устройства: агрегат компрессорный 4ВУ1-5/9 заводской № 04868312, агрегат компрессорный 4ВУ1-5/9 заводской № 079124753, агрегат компрессорный АВШ-6/10 УХЛ 4.2 заводской № 000639, применяемые на опасном производственном объекте ""Площадка установки производства моторных топлив"" (регистрационный № А62-05087-0001), эксплуатируемом ООО “Александровский нефтеперерабатывающий завод”";ТУ;7017034515;"ООО ""ИТЦ ДИКОН""";соответствует;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-01434-2021;https://monitor-pb.ru/customer/7022011190
any;компрессорный агрегат;42-ТУ-02965-2021;09.03.2021;1203010246;"ООО ""ЗГМК""";Заключение экспертизы промышленной безопасности на технические устройства: компрессорный агрегат типа 2П110 зав.№ 3472, компрессорный агрегат типа 2П110 зав.№ 7011, эксплуатируемые в цехе аммиачно-компрессорный, ООО «Звениговский городской молочный комбинат» г. Звенигово, Республика Марий Эл;ТУ;1660188174;"ООО ""Инженерно-строительный центр Казань""";соответствует;https://monitor-pb.ru/conclusion/42-%D0%A2%D0%A3-02965-2021;https://monitor-pb.ru/customer/1203010246
any;компрессорный агрегат;48-ЗС-90484-2023;29.11.2023;2457002628;"АО ""НОРИЛЬСКГАЗПРОМ""";Заключение № 67/2023-ЭПБ экспертизы промышленной безопасности здания: компрессорный цех (агрегат 1, 2, 3) компрессорный цех (агрегат-3) , инв. № 890100005612, Южно-Солёнинского ГКМ;ЗС;7725338840;"ООО ""НПЭЦ""";не соответствует;https://monitor-pb.ru/conclusion/48-%D0%97%D0%A1-90484-2023;https://monitor-pb.ru/customer/2457002628
any;компрессорный агрегат;48-ЗС-90488-2023;29.11.2023;2457002628;"АО ""НОРИЛЬСКГАЗПРОМ""";Заключение № 65/2023-ЭПБ экспертизы промышленной безопасности здания: компрессорный цех (агрегат 1, 2, 3) компрессорный цех (агрегат-2) , инв. № 890100005612, Южно-Солёнинского ГКМ;ЗС;7725338840;"ООО ""НПЭЦ""";не соответствует;https://monitor-pb.ru/conclusion/48-%D0%97%D0%A1-90488-2023;https://monitor-pb.ru/customer/2457002628
any;компрессорный агрегат;48-ЗС-90491-2023;29.11.2023;2457002628;"АО ""НОРИЛЬСКГАЗПРОМ""";Заключение № 63/2023-ЭПБ экспертизы промышленной безопасности здания: компрессорный цех (агрегат 1, 2, 3) компрессорный цех (агрегат-1) , инв. № 890100005612, Южно-Солёнинского ГКМ;ЗС;7725338840;"ООО ""НПЭЦ""";не соответствует;https://monitor-pb.ru/conclusion/48-%D0%97%D0%A1-90491-2023;https://monitor-pb.ru/customer/2457002628
any;компрессорный агрегат;16-ТП-18770-2014;30.10.2014;7606052088;"ООО ""Пифагор""";"Проектная документация на ""Техническое перевооружение холодтльно-компрессорного участка, Установка аммиачного компрессорного агрегата Sabroe 128 HF""";ТП;7604080065;"ЗАО ""ИКЦ ""ИНЖЕНЕРИНГ""";соответствует;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%9F-18770-2014;https://monitor-pb.ru/customer/7606052088
any;компрессорный агрегат;58-ТУ-29768-2014;02.12.2014;8604035473;"ООО ""РН-ЮГАНСКНЕФТЕГАЗ""";компрессорный агрегат BOGE S-25, заводской № 19864 ООО «РН-Юганскнефтегаз», УППН, ЦППН-3, воздушно-компрессорная;ТУ;8619007623;"ООО ""Юганскнефтепромбурсервис""";соответствует;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-29768-2014;https://monitor-pb.ru/customer/8604035473
any;компрессорный агрегат;30-ТП-00972-2016;16.02.2016;2311135822;"ООО ""Компания по монтажу насосов, арматуры, систем и трубопроводов""";Техническое перевооружение компрессорной аммиачной. Автоматизация трех поршневых компрессорных агрегатов NF;ТП;2308165880;"ООО ""ГРАНДЭКСПЕРТИНЖЕНЕРИНГ""";соответствует;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%9F-00972-2016;https://monitor-pb.ru/customer/2311135822
