srok;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
any;турбоагрегат;49-ТП-28775-2019;10.07.2019;5604000700;"ПАО ""ГАЙСКИЙ ГОК""";техническое перевооружение опасного производственного объекта - Площадка главного корпуса ТЭЦ. Замена турбоагрегата №4 на турбоагрегат типа «ПР» с производственным отбором. Техническое перевооружение.;ТП;7425003297;"АО НТЦ ""ДИАГНОСТИКА""";соответствует;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%9F-28775-2019;https://monitor-pb.ru/customer/5604000700
any;турбоагрегат;43-ТП-03649-2024;16.02.2024;1650352964;"ООО ""КЭР-АВТОМАТИКА""";документацию: «Модернизация систем автоматического регулирования турбоагрегатов АО «НТЭК». Техническое перевооружение САР турбоагрегата ст. № 1», шифр документации: 021.303.040;ТП;1660199088;"ООО ""ЦЕНТР ЭПБ""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%9F-03649-2024;https://monitor-pb.ru/customer/1650352964
any;турбоагрегат;43-ТП-03650-2024;16.02.2024;1650352964;"ООО ""КЭР-АВТОМАТИКА""";документацию: «Модернизация систем автоматического регулирования турбоагрегатов АО «НТЭК». Техническое перевооружение САР турбоагрегата ст. № 3», шифр документации: 021.303.041;ТП;1660199088;"ООО ""ЦЕНТР ЭПБ""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%9F-03650-2024;https://monitor-pb.ru/customer/1650352964
any;турбоагрегат;43-ТП-03897-2024;19.02.2024;1650352964;"ООО ""КЭР-АВТОМАТИКА""";документацию: «Модернизация систем автоматического регулирования турбоагрегатов АО «НТЭК». Техническое перевооружение САР турбоагрегата ст. № 6», шифр документации: 021.302.042;ТП;1660199088;"ООО ""ЦЕНТР ЭПБ""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%9F-03897-2024;https://monitor-pb.ru/customer/1650352964
any;турбоагрегат;68-ТУ-18008-2020;13.08.2020;4205243192;"АО ""КЕМЕРОВСКАЯ ГЕНЕРАЦИЯ""";Сальниковый подогреватель типа ПС-14 турбоагрегата ст. №7 (пароохладитель турбоагрегата ст. № 7), эксплуатируемый на Кемеровской ГРЭС АО «Кемеровская генерация». АЭ.17.04267.001;ТУ;4207007095;"ФБУ ""КУЗБАССКИЙ ЦСМ""";соответствует;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-18008-2020;https://monitor-pb.ru/customer/4205243192
any;турбоагрегат;48-ЗС-53185-2022;05.09.2022;8602067092;"ПАО ""ЮНИПРО""";Фундамент турбоагрегата №4;ЗС;7715804926;"ООО ""ИТЦ ""ПРОМТЕХАУДИТ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%97%D0%A1-53185-2022;https://monitor-pb.ru/customer/8602067092
any;турбоагрегат;12-ТУ-10288-2016;21.09.2016;6829012680;"АО ""РИР ЭНЕРГО""";паропровод рег. № 458 (паропровод турбоагрегата ст. № 6);ТУ;3122002949;"АО ""Агромаш""";соответствует;https://monitor-pb.ru/conclusion/12-%D0%A2%D0%A3-10288-2016;https://monitor-pb.ru/customer/6829012680
any;турбоагрегат;12-ТУ-10289-2016;21.09.2016;6829012680;"АО ""РИР ЭНЕРГО""";паропровод рег. № 485 (паропровод турбоагрегата ст. № 7);ТУ;3122002949;"АО ""Агромаш""";соответствует;https://monitor-pb.ru/conclusion/12-%D0%A2%D0%A3-10289-2016;https://monitor-pb.ru/customer/6829012680
any;турбоагрегат;12-ТУ-10290-2016;21.09.2016;6829012680;"АО ""РИР ЭНЕРГО""";паропровод рег. № 440 (паропровод турбоагрегата ст. № 8);ТУ;3122002949;"АО ""Агромаш""";соответствует;https://monitor-pb.ru/conclusion/12-%D0%A2%D0%A3-10290-2016;https://monitor-pb.ru/customer/6829012680
any;турбоагрегат;48-ЗС-25949-2020;17.07.2020;8602067092;"ПАО ""ЮНИПРО""";Фундамент турбоагрегата К-160-130 ст. №2;ЗС;7425003297;"АО НТЦ ""ДИАГНОСТИКА""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%97%D0%A1-25949-2020;https://monitor-pb.ru/customer/8602067092
