god;mesyac;inn;zakazchik;erpid;tip;status;data_nachala;vid_nadzora;adres;est_kompressor;tekst
2025;1;6315376946;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";18251181840016957171;;Предостережение объявлено;2025-01-18;Региональный государственный жилищный контроль (надзор);;;признаки нарушения порядка начисления платы за гвс
2025;1;6906011179;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТВЕРСКАЯ ГЕНЕРАЦИЯ""";69251186940116909326;Внеплановое КНМ;Завершено;2025-01-17;Региональный государственный жилищный контроль (надзор);;;170042, обл. Тверская, г. Тверь, ул. Скворцова-Степанова, д 18 PROMPTLY
2025;1;2462206345;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОЯРСКИЙ МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД""";24250031000016909896;Внеплановое КНМ;Не может быть проведено;2025-01-17;Федеральный государственный строительный надзор;;;г. Красноярск, проспект имени газеты Красноярский рабочий, д.29 NON_REQUIRED
2025;1;6829012680;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КВАДРА-ГЕНЕРИРУЮЩАЯ КОМПАНИЯ""";36251183640016912694;Внеплановое КНМ;Завершено;2025-01-17;Региональный государственный жилищный контроль (надзор);;;394036, обл. Воронежская, г. Воронеж, ул. Фридриха Энгельса, д 30А 394036, обл. Воронежская, г. Воронеж, ул. Фридриха Энгельса, д 30Б PROMPTLY
2025;1;7708503727;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""";75250021000216907940;Внеплановое КНМ;Завершено;2025-01-17;Федеральный государственный экологический контроль (надзор);;;NON_REQUIRED
2025;1;6315376946;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";13251181300016924779;Внеплановое КНМ;Завершено;2025-01-17;Региональный государственный жилищный контроль (надзор);;;430034, Республика Мордовия, г. Саранск, ул. Миронова, д 11 430034, Республика Мордовия, г. Саранск, ул. Н.Эркая, д 28 430034, Республика Мордовия, г. Саранск, ул. Металлургов, д 3А PROMPTLY
2025;1;7708503727;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""";77250031000016930678;Внеплановое КНМ;Завершено;2025-01-17;Федеральный государственный строительный надзор;;;«Организация ускоренного движения электропоездов на участке Москва - Одинцово Московской железной дороги» «I этап. Строительство III и IV главных путей на участке Кунцево-1 (четная горловина) - станция Одинцово (включ.)» Этап I.2. Строительство III главного пути на участке Кунцево-1 (четная горловина) - станция Одинцово (включ.)». Московская область,  г. Москва NON_REQUIRED
2025;1;7708503727;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""";25250801000116945443;;Предостережение объявлено;2025-01-17;Федеральный государственный контроль (надзор) в области железнодорожного транспорта;;;Предостережение о недопустимости нарушения обязательных требований в области железнодорожного транспорта
2025;1;6829012680;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КВАДРА-ГЕНЕРИРУЮЩАЯ КОМПАНИЯ""";48251184840116936766;Внеплановое КНМ;Завершено;2025-01-17;Региональный государственный жилищный контроль (надзор);;;398058, обл. Липецкая, г. Липецк, проезд Строителей, д 12 PROMPTLY
2025;1;6315376946;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";43251184301016950311;Внеплановое КНМ;Ожидает завершения;2025-01-17;Региональный государственный жилищный контроль (надзор);;;610020, обл. Кировская, г. Киров, ул. Дерендяева, д 22 PROMPTLY
2025;1;7017005289;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ТРАНСГАЗ ТОМСК""";14250021000116946117;;Предостережение объявлено;2025-01-17;Федеральный государственный экологический контроль (надзор);;;"В адрес Управления Федеральной службы в сфере природопользования по Республике Саха (Якутия) поступили материалы выездного обследования проведенного Олекминским комитетом государственного экологического надзора на основании информационной статьи о загрязнении ООО «Газпром Трансгаз Томск» (ИНН 7017005289) сточными водами водного объекта р. Куталах в близи объекта негативного воздействия на окружающую среду «Промбаза Олёкминской промплощадки» (код объекта 98-0114-002798-П), где протоколом осмотра была наледь общей площадью 60,67 м2.
Согласно результатам химико-аналитической экспертизы Государственного бюджетного учреждения Республики Саха (Якутия) «Республиканский информационно – аналитический центр экологического мониторинга» установлены превышения загрязняющих веществ на ледовой поверхности р. Куталах."
2025;1;1121003135;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЫКТЫВКАРСКИЙ ЛПК""";11251373342316952257;Внеплановое КНМ;Завершено;2025-01-17;Федеральный государственный контроль (надзор) за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права;;;г Сыктывкар, пр-кт Бумажников, д 2 PROMPTLY
2025;1;6315376946;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";43251184301016944772;Внеплановое КНМ;Завершено;2025-01-17;Региональный государственный жилищный контроль (надзор);;;610020, обл. Кировская, г. Киров, ул. Дерендяева, д 22 PROMPTLY
2025;1;7708503727;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""";77251373167016931767;Внеплановое КНМ;Завершено;2025-01-17;Федеральный государственный контроль (надзор) за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права;;;NON_REQUIRED
