inn;zakazchik;data_nachala;vid_nadzora;oborudovanie;marka;nomer_zaklyucheniya;kompressor;sut;erpid
5249002485;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ЗАВОД ИМЕНИ Я.М.СВЕРДЛОВА""";2026-07-29;Федеральный государственный надзор в области промышленной безопасности;"Кран пневмоколесный, стреловой, самоходный с индивидуальным приводом КС-5363В, зав. № 44; Кран автомобильный КС-3577-3 на шасси MA3-5337, зав. № 1318; Кран стреловой самоходный на короткобазовом шасси КС- 4372В, зав. № 35; Кран стреловой самоходный на короткобазовом шасси КС- 4871, зав. № 001; Кран автомобильный КС-3575-А на шасси ЗИЛ-1ЗЗГЯ, зав. № 12664; Кран монтажный МКГ-25 БР, зав. № 3511; Кран манипулятор автомобильный СПМ.КАМАЗ65117.DONGYANG SS1926.П , зав. № 558";КС-5363В;;нет;Отрицательные результаты экспертизы промышленной безопасности подъемных сооружений;42260111000022490435
5249002485;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ЗАВОД ИМЕНИ Я.М.СВЕРДЛОВА""";2026-07-28;Федеральный государственный надзор в области промышленной безопасности;железнодорожного пути № 90 от стрелочного перевода СП 141 до тупикового упора;;;;Эксплуатация железнодорожного пути после истечения срока безопасной эксплуатации, установленного заключением ЭПБ, возможно без продления срока;52260111000022473411
5260080007;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ТРАНСГАЗ НИЖНИЙ НОВГОРОД""";2026-07-13;Федеральный государственный надзор в области промышленной безопасности;подогреватель газа ПГ 80-100 зав. № 1713;ПГ 80-100;;нет;;16260111000022334436
5406323202;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ №11""";2026-07-09;Федеральный государственный надзор в области промышленной безопасности;котлоагрегат ст. № 4 (рег. № 142-Э);;;нет;Отключение котлоагрегата от главного паропровода после появления небаланса пар/вода 50 тонн/час;42260111000022310337
5406323202;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ №11""";2026-07-07;Федеральный государственный надзор в области промышленной безопасности;котлоагрегат ст. № 4 (рег. № 142-Э);;;нет;повреждение воздушника на паросборной камере;42260111000022277085
5406323202;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ №11""";2026-07-07;Федеральный государственный надзор в области промышленной безопасности;котлоагрегат ст. № 6 (рег. № 144-Э);;;нет;свищ на ВЭК 2 ст., небаланс пар/вода 100 тонн/час;42260111000022277053
1121003135;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЫКТЫВКАРСКИЙ ЛПК""";2026-07-07;Федеральный государственный надзор в области промышленной безопасности;"котлоагрегат станционный номер 7У, типа СРК-3750, рег. № 7033; котлоагрегат станционный номер 6У, рег. № 8078";СРК-3750;;нет;инциденты на котлоагрегатах (отключения из-за дымососов, защита по уровню в барабане);11260111000022280959
5406323202;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ №11""";2026-07-07;Федеральный государственный надзор в области промышленной безопасности;котлоагрегат ст. № 9 (рег. № 125-Э);;;нет;свищ на поверхностях нагрева, погасание факела в топке;42260111000022277104
4221000535;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУСАЛ НОВОКУЗНЕЦКИЙ АЛЮМИНИЕВЫЙ ЗАВОД""";2026-06-29;Федеральный государственный надзор в области промышленной безопасности;Насосы центробежные № 48-50;;;нет;Эксплуатация технических устройств с истекшим или неустановленным сроком эксплуатации;42260111000022192775
7610052644;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОДК-САТУРН""";2026-06-19;Федеральный государственный надзор в области промышленной безопасности;"подъёмник (ножничный самоходный), рег. № 25482; котел утилизатор, рег. № 8358; ресивер, рег. № 32859";;;нет;Не подтвержден срок безопасной эксплуатации технических устройств;77260111000022113073
