god;mesyac;inn;zakazchik;erpid;tip;status;data_nachala;vid_nadzora;adres;est_kompressor;tekst
2026;7;6317130144;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОССИЙСКАЯ ИННОВАЦИОННАЯ ТОПЛИВНО-ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";63260111000022372140;;Ожидает проведения;2026-07-31;Федеральный государственный надзор в области промышленной безопасности;;;
2026;7;6314006396;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КУЙБЫШЕВСКИЙ НЕФТЕПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД""";63260111000022435387;;Ожидает проведения;2026-07-31;Федеральный государственный надзор в области промышленной безопасности;;;443004, обл. Самарская, г. Самара, ул. Грозненская, д 25
2026;7;6317130144;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОССИЙСКАЯ ИННОВАЦИОННАЯ ТОПЛИВНО-ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";63260111000022373721;;Ожидает проведения;2026-07-31;Федеральный государственный надзор в области промышленной безопасности;;;
2026;7;3443046698;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ЗАВОД СИЛИКАТНОГО КИРПИЧА""";34260111000022457731;;Ожидает проведения;2026-07-31;Федеральный государственный надзор в области промышленной безопасности;;;
2026;7;4205049090;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УГОЛЬНАЯ КОМПАНИЯ ""КУЗБАССРАЗРЕЗУГОЛЬ""";42260111000022227016;;Ожидает проведения;2026-07-31;Федеральный государственный надзор в области промышленной безопасности;;;
2026;7;7817311895;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНЖИНИРИНГОВАЯ КОМПАНИЯ ""АЭМ-ТЕХНОЛОГИИ""";78260111000022451774;Внеплановое КНМ;Ожидает проведения;2026-07-30;Федеральный государственный надзор в области промышленной безопасности;;;APPROVED REQUIRED
2026;7;7817311895;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНЖИНИРИНГОВАЯ КОМПАНИЯ ""АЭМ-ТЕХНОЛОГИИ""";78260111000022477653;Внеплановое КНМ;Ожидает проведения;2026-07-30;Федеральный государственный надзор в области промышленной безопасности;;;APPROVED REQUIRED
2026;7;4205049090;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УГОЛЬНАЯ КОМПАНИЯ ""КУЗБАССРАЗРЕЗУГОЛЬ""";42260111000022207896;;Ожидает проведения;2026-07-30;Федеральный государственный надзор в области промышленной безопасности;;;
2026;7;5249002485;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ЗАВОД ИМЕНИ Я.М.СВЕРДЛОВА""";42260111000022490435;;Предостережение объявлено;2026-07-29;Федеральный государственный надзор в области промышленной безопасности;;;"В ходе повседневной деятельности по контролю (надзору) за соблюдением обязательных требований в области промышленной безопасности при эксплуатации подъемных сооружений (далее – ПС) получены сведения об отрицательных результатах экспертизы промышленной безопасности, проведенной в отношении ПС применяемых на ОПО «Участок транспортирования опасных веществ железнодорожным и автомобильным транспортом», peг. № А40-00206-0055, III класс опасности:
	1. Кран пневмоколесный, стреловой, самоходный с индивидуальным приводом КС-5363В, зав. № 44;
	2. Кран автомобильный КС-3577-3 на шасси MA3-5337, зав. № 1318;
	3. Кран стреловой самоходный на короткобазовом шасси КС- 4372В, зав. № 35;
	4. Кран стреловой самоходный на короткобазовом шасси КС- 4871, зав. № 001;
	5. Кран автомобильный КС-3575-А на шасси ЗИЛ-1ЗЗГЯ, зав. № 12664;
	6. Кран монтажный МКГ-25 БР, зав. № 3511;
	7. Кран манипулятор автомобильный СПМ.КАМАЗ65117.DONGYANG SS1926.П , зав. № 558.
	Организация, эксплуатирующая ОПО с ПС должна соблюдать требования руководств (инструкций) по эксплуатации имеющихся в наличии ПС и поддерживать эксплуатируемые ПС в работоспособном состоянии не превышать срок службы, заявленный изготовителем в паспорт"
2026;7;1102054991;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ПЕРЕРАБОТКА""";34260111000022404200;Внеплановое КНМ;Ожидает проведения;2026-07-28;Федеральный государственный надзор в области промышленной безопасности;;;Астраханская обл., Красноярский р-н, Джанайский сельсовет APPROVED REQUIRED
