oboznachenie;tip;sreda;rasshifrovka;uverennost
GB-402;центробежный;не знаю;Углекислотный центробежный компрессор, производство нитроаммофоски;средняя
К-1290-121-1;центробежный;не знаю;Центробежный компрессор, цех химпроизводства;низкая
IRSА-62;центробежный;не знаю;Компрессор центробежный, цех 124/125;низкая
RPD135;центробежный;не знаю;Компрессор центробежный, цех 124/125;низкая
RPА 70;центробежный;не знаю;Компрессор центробежный, цех 124/125;низкая
Н-108;не машина;не знаю;Позиция по схеме для компрессора 2550-31-1, установка УККФ;высокая
Н-107;не машина;не знаю;Позиция по схеме для компрессора 2550-31-1, установка УККФ;высокая
ГК-302;не машина;не знаю;Позиция по схеме для компрессора 414-61-1, установка УККФ;высокая
ГК-301;не машина;не знаю;Позиция по схеме для компрессора 414-61-1, установка УККФ;высокая
ЦК-135/8;центробежный;не знаю;Центробежный компрессор, цех 126/127;низкая
RC8-6;центробежный;природный газ;Центробежный компрессор Крезо-Луар, переработка попутного нефтяного газа;высокая
К250-61-5;центробежный;воздух;Центробежный компрессор, газокаталитическое производство и цементные печи;высокая
ЦВК-4;не машина;не знаю;Обозначение установки в газокаталитическом производстве;высокая
А-301;не машина;не знаю;Позиция по схеме для компрессора К-210-61-1;высокая
К-210-61-1;центробежный;не знаю;Центробежный компрессор, позиция А-301;низкая
А-201;не машина;не знаю;Позиция по схеме для компрессора К-55-61-1;высокая
К-55-61-1;центробежный;не знаю;Центробежный компрессор, позиция А-201;низкая
У-1.732;не машина;не знаю;Обозначение технологической установки;высокая
No 28050;не машина;не знаю;Заводской номер оборудования;высокая
No 10469;не машина;не знаю;Заводской номер оборудования;высокая
ЦК-201;не машина;не знаю;Технологическая позиция для различных центробежных компрессоров;высокая
К-3000;не машина;не знаю;Позиция по схеме для компрессора D16R4S, установка СКА;высокая
ЦК-135;центробежный;не знаю;Центробежный компрессор серии ЦК-135/8М1;низкая
К-2003;не машина;не знаю;Позиция по схеме для компрессора Elliot 20M91, установка УПВ;высокая
К-1000;не машина;не знаю;Позиция по схеме для компрессора Elliot 20MB7, установка ГВГ;высокая
ТК-602;не машина;не знаю;Позиция по схеме для компрессора 4RSA-36B, установка ЛЧ-35-11/600;высокая
ЛЧ-35-11/600;не машина;не знаю;Обозначение технологической установки гидроочистки;высокая
ХВП-2;не машина;не знаю;Обозначение участка (химводоподготовка);высокая
К-7001/1;не машина;не знаю;Позиция по схеме для компрессора PAP Plus 150DA3, участок ХВП-2;высокая
Plus 150;не машина;не знаю;Фрагмент модели компрессора PAP Plus 150DA3;высокая
К-7001;не машина;не знаю;Общая позиция по схеме для компрессоров К-7001/1 и К-7001/2М;высокая
GC-049;центробежный;не знаю;Центробежный компрессор, производство нитроаммофоски;низкая
DZ-1000;центробежный;не знаю;Центробежный компрессор TD/DZ-1000;низкая
ТАТКА 545-345;центробежный;не знаю;Центробежный компрессор производства ТАТКА;низкая
ТК-201;не машина;не знаю;Технологическая позиция для различных турбокомпрессоров;высокая
ЛЧ-24/7;не машина;не знаю;Обозначение установки гидроочистки;высокая
В-2/1;не машина;не знаю;Позиция по схеме для нагнетателя 1200-26-1, установка ГК-3;высокая
В-2/2;не машина;не знаю;Позиция по схеме для нагнетателя 1200-26-1, установка ГК-3;высокая
ЦК 135/8;центробежный;не знаю;Центробежный компрессор, различные цехи;низкая
ТК-101;не машина;не знаю;Технологическая позиция для различных центробежных компрессоров;высокая
В-1/1;не машина;не знаю;позиция по схеме (встречается на разных компрессорах);высокая
В-1/2;не машина;не знаю;позиция по схеме (встречается на разных компрессорах);высокая
ZH800;центробежный;не знаю;компрессор ZH800+10.4-50, промышленный центробежный;средняя
УЭОПСВ-3;не машина;не знаю;участок (установка этилена/олефинов или аналогичная);высокая
S90436;не машина;не знаю;часть заводского номера APF S90436301/303;высокая
С-700;центробежный;не знаю;центробежный компрессор Центак С-700;средняя
