oboznachenie;tip;sreda;rasshifrovka;uverennost
GB-402;центробежный;не знаю;Углекислотный центробежный компрессор, производство нитроаммофоски;средняя
К-1290-121-1;центробежный;технологический газ;Центробежный компрессор серии К-1290, газохимическое производство;средняя
IRSА-62;центробежный;не знаю;Центробежный компрессор марки IRSА-62;низкая
RPD135;центробежный;не знаю;Центробежный турбокомпрессор 5RPD135, установка компрессии;низкая
RPА 70;центробежный;не знаю;Центробежный компрессор 8RPА 70;низкая
ЦК-135/8;центробежный;воздух;Центробежный воздушный компрессор серии ЦК-135/8;высокая
К-210-61-1;центробежный;не знаю;Центробежный компрессор серии К-210;низкая
К-55-61-1;центробежный;не знаю;Центробежный компрессор серии К-55;низкая
ЦК-135;центробежный;воздух;Центробежный воздушный компрессор серии ЦК-135;высокая
GC-049;центробежный;холодильный агент;Холодильный центробежный компрессор, производство нитроаммофоски;высокая
DZ-1000;центробежный;воздух;Центробежный компрессор TD/DZ-1000, производство сжатого воздуха;высокая
ТАТКА 545-345;центробежный;не знаю;Центробежный компрессор марки ТАТКА 545-345;низкая
ЦК 135/8;центробежный;воздух;Центробежный воздушный компрессор серии ЦК 135/8;высокая
ZH800;центробежный;воздух;Центробежный воздушный компрессор ZH800+10.4-50, участок УЭОПСВ;высокая
С-700;центробежный;воздух;Центробежный воздушный компрессор Центак С-700;средняя
ЦБК 1;не машина;не знаю;Фрагмент номера заключения экспертизы, не марка компрессора;высокая
К-525;центробежный;не знаю;Центробежный компрессор серии К-525, турбокомпрессорная станция;низкая
СПЧ 370-76-1,24;центробежный;не знаю;Ротор центробежного компрессора типа СПЧ 370-76;средняя
ЦК-135-8С;центробежный;воздух;Центробежный воздушный компрессор серии ЦК-135-8С;высокая
ЦК 115/9;центробежный;воздух;Центробежный воздушный компрессор серии ЦК 115/9;высокая
К-250;центробежный;воздух;Центробежный воздушный компрессор серии К-250, цех ВиК;высокая
ГЦ-86/3-7,1-У2;центробежный;не знаю;Центробежный компрессор типа ГЦ-86, содовое производство;низкая
GA 425/7;центробежный;не знаю;Центробежный компрессор марки GA 425/7, установка компрессии;низкая
НПС 200-700;центробежный;не знаю;Центробежный компрессор марки НПС 200-700, нефтеперерабатывающее производство;низкая
К1290-121-1;центробежный;технологический газ;Центробежный компрессор серии К1290-121-1, газохимический завод;средняя
Н48-41-1М;центробежный;не знаю;Центробежный компрессор Н48-41-1М с модернизированной проточной частью;средняя
CBF-742;центробежный;не знаю;Центробежный компрессор Dresser-Rand модель CBF-742;средняя
LMC331;центробежный;не знаю;Центробежный компрессор LMC331F;средняя
RC5-4;центробежный;не знаю;Центробежный компрессор RC5-4B;средняя
LMC-311;центробежный;природный газ;Центробежный компрессор LMC-311P на линейной компрессорной станции;высокая
RC9-8;центробежный;не знаю;Центробежный компрессор Cooper Bessemer RC9-8B;средняя
ВСН606;центробежный;не знаю;Центробежный компрессор марки ВСН606;средняя
BCL 306;центробежный;не знаю;Центробежный компрессор марки 7 RMA 62+2 BCL 306A;средняя
RMA 62;центробежный;не знаю;Центробежный компрессор марки 7 RMA 62+2 BCL 306A;средняя
R-393 ВЕСНА;центробежный;не знаю;Турбокомпрессор ТК-R-393 ВЕСНА;средняя
Р-393;центробежный;не знаю;Центробежный компрессор ТК-Р-393;средняя
GS 425/6;центробежный;не знаю;Центробежный компрессор GS 425/6;средняя
КВД 4;центробежный;не знаю;Центробежный компрессор MITSUBISHI КВД 4V-7C (компрессор высокого давления);средняя
КНД 5;центробежный;не знаю;Центробежный компрессор MITSUBISHI КНД 5V-6 (компрессор низкого давления);средняя
GS 425/5;центробежный;не знаю;Центробежный компрессор GS 425/5;средняя
BCL-406;центробежный;не знаю;Центробежный компрессор BCL-406/A;средняя
BCL-404;центробежный;не знаю;Центробежный компрессор BCL-404/B;средняя
АТКП-335-2000;центробежный;не знаю;Центробежный компрессор АТКП-335-2000;средняя
Д320-50;вентилятор;воздух;Вентилятор пылевой Д320-50;высокая
ГИСТ72-2;не знаю;не знаю;Не удалось идентифицировать по контексту;низкая
ШН250-34;насос;не знаю;Шестеренчатый насос ШН250-34;средняя
ЕСР 630-250;не знаю;не знаю;Не удалось идентифицировать по контексту;низкая
LMC-331;центробежный;природный газ;Вертикальный центробежный компрессор LMC-331F в составе ОПУ КР Сургутского ЗСК;высокая
ВЦ-100/9;центробежный;не знаю;Центробежный многовальный компрессор 32ВЦ-100/9;средняя
RC7-6;центробежный;не знаю;Центробежный компрессор THERMODYNE RC7-6B в тандеме с RC-5B;средняя
LMV-33;центробежный;не знаю;Вертикальный центробежный компрессор Sundyne LMV-331Р;средняя
ТК-2 Р;центробежный;не знаю;Центробежный компрессор ТК-2 Р 444 «Сулика»;средняя
TKE 14.17,4/06 ГУСТА;центробежный;не знаю;Центробежный компрессор TKE 14.17,4/06 ГУСТА-Е;средняя
Н70-51-1;центробежный;не знаю;Центробежный компрессор тип Н70-51-1;средняя
BCL 607;центробежный;не знаю;Центробежный компрессор тип BCL 607 с приводом от паровой турбины;средняя
К-345-92-1;центробежный;азот;Азотный центробежный компрессор для кислородного производства;высокая
АТКА-445;центробежный;не знаю;Центробежный турбокомпрессор марки АТКА-445;средняя
ТМП-6-20;не машина;не знаю;Позиция или индекс оборудования, встречается в перечне вспомогательного оборудования;средняя
Г-11-24;не машина;не знаю;Позиция или индекс оборудования, встречается в перечне вспомогательного оборудования;средняя
НПЧ-208/30-4;центробежный;не знаю;Центробежный компрессор 5ЦД-НПЧ-208/30-45М;средняя
TKd 7/18;центробежный;не знаю;Центробежный компрессор TKd 7/18;средняя
ТАТКА-545-345;центробежный;технологический газ;Центробежный компрессор для производства аммиака;высокая
RSA 32;центробежный;не знаю;Центробежный компрессор марки 4 RSA 32;средняя
К250-6/1;центробежный;воздух;Воздушный центробежный компрессор К250-6/1;высокая
БКК-45/8-2;не машина;не знаю;Позиция оборудования, встречается в перечне с насосами и компрессорами;низкая
