telefon;domain;put;priem;est_v_lens;kontekst_roli
74954115594;acron.ru;/career/;приём 2 (вакансии);нет;
74992451145;acron.ru;/career/;приём 2 (вакансии);нет;
74992462359;acron.ru;/career/;приём 2 (вакансии);нет;
78162678375;acron.ru;/career/;приём 2 (вакансии);нет;
78162996406;acron.ru;/career/;приём 2 (вакансии);нет;
78162997135;acron.ru;/career/;приём 2 (вакансии);нет;
79156532734;acron.ru;/career/;приём 2 (вакансии);нет;
79210464896;acron.ru;/career/;приём 2 (вакансии);нет;
79212089268;acron.ru;/career/;приём 2 (вакансии);нет;
78554926001;ammoni.ru;/vacancies/;приём 2 (вакансии);нет;КИПиА
78554926001;ammoni.ru;/about/;приём 3 (о компании/структура);нет;
73955512646;ang-vodokanal.ru;/vakansii/;приём 2 (вакансии);нет;главный энергетик / ОГМ/ОГЭ / энергетик / отдел кадров/HR
73955512646;ang-vodokanal.ru;/vakansii;приём 2 (вакансии);нет;главный энергетик / ОГМ/ОГЭ / энергетик / отдел кадров/HR
73955512646;ang-vodokanal.ru;/o-kompanii/vakansii/;приём 2 (вакансии);нет;главный энергетик / ОГМ/ОГЭ / энергетик / отдел кадров/HR
78126019393;aotek.spb.ru;/career/;приём 2 (вакансии);нет;энергетик
78126019393;aotek.spb.ru;/about/;приём 3 (о компании/структура);нет;энергетик
78453390034;bal-vod.ru;/vakansii/;приём 2 (вакансии);нет;отдел кадров/HR
78453390034;bal-vod.ru;/vakansii;приём 2 (вакансии);нет;отдел кадров/HR
78453390034;bal-vod.ru;/rabota/;приём 2 (вакансии);нет;
78453444532;bal-vod.ru;/rabota/;приём 2 (вакансии);нет;
78453390034;bal-vod.ru;/o-kompanii/vakansii/;приём 2 (вакансии);нет;отдел кадров/HR
78005518008;chelnyvodokanal.ru;/vacancies/;приём 2 (вакансии);нет;главный энергетик / энергетик
78552534471;chelnyvodokanal.ru;/vacancies/;приём 2 (вакансии);нет;главный энергетик / энергетик
78552534480;chelnyvodokanal.ru;/vacancies/;приём 2 (вакансии);нет;главный энергетик / энергетик
78552534498;chelnyvodokanal.ru;/vacancies/;приём 2 (вакансии);нет;главный энергетик / энергетик
79179207070;chelnyvodokanal.ru;/vacancies/;приём 2 (вакансии);нет;главный энергетик / энергетик
74967924194;dom-vodokanal.ru;/vakansii;приём 2 (вакансии);нет;
74967934430;dom-vodokanal.ru;/vakansii;приём 2 (вакансии);нет;
74967924194;dom-vodokanal.ru;/about/;приём 3 (о компании/структура);нет;
74967934430;dom-vodokanal.ru;/about/;приём 3 (о компании/структура);нет;
74954115594;dorogobuzh.ru;/career/;приём 2 (вакансии);нет;
74992451145;dorogobuzh.ru;/career/;приём 2 (вакансии);нет;
74992462359;dorogobuzh.ru;/career/;приём 2 (вакансии);нет;
78162678375;dorogobuzh.ru;/career/;приём 2 (вакансии);нет;
78162996406;dorogobuzh.ru;/career/;приём 2 (вакансии);нет;
78162997135;dorogobuzh.ru;/career/;приём 2 (вакансии);нет;
79156532734;dorogobuzh.ru;/career/;приём 2 (вакансии);нет;
79210464896;dorogobuzh.ru;/career/;приём 2 (вакансии);нет;
