nazvanie;postavok;gody;sovremennoe;strana;sostoyanie;uverennost
Азот;152;1952-1994;Родовое название для азотно-туковых заводов, единого предприятия не существует;не знаю;не знаю;высокая
Магнитогорский МК;62;1951-1993;Публичное акционерное общество «Магнитогорский металлургический комбинат»;Россия;работает;высокая
Мингазпром СССР;58;1965-1988;Министерство газовой промышленности СССР — ведомство, упразднено в 1989 году;не знаю;ведомство упразднено;высокая
Криворожский МЗ;51;1955-1992;Публичное акционерное общество «Арселор Миттал Кривой Рог»;Украина;работает;высокая
Новолипецкий МК;43;1950-1990;Публичное акционерное общество «Новолипецкий металлургический комбинат»;Россия;работает;высокая
Норильский ГМК;36;1966-1993;Публичное акционерное общество «Горно-металлургическая компания «Норильский никель»;Россия;работает;высокая
Западно-Сибирский МК;34;1961-1993;Акционерное общество «ЕВРАЗ Западно-Сибирский металлургический комбинат»;Россия;работает;высокая
Нижнетагильский МК;33;1948-1991;Акционерное общество «Нижнетагильский металлургический комбинат»;Россия;работает;высокая
Навоиазот;32;1962-1990;Навоийский азотно-туковый завод;Узбекистан;работает;средняя
Челябинский МК;31;1951-1993;Публичное акционерное общество «Мечел», Челябинский металлургический комбинат;Россия;работает;высокая
МЗ им.Ильича;30;1947-1992;Металлургический завод имени Ильича;Украина;работает;высокая
Макеевский МЗ;30;1947-1992;Макеевский металлургический завод;Украина;работает;средняя
Алчевский МК;29;1956-1990;Алчевский металлургический комбинат;Украина;работает;средняя
Череповецкий МК;28;1954-1992;Публичное акционерное общество «Северсталь», Череповецкий металлургический комбинат;Россия;работает;высокая
Карагандинский МЗ;28;1957-1991;Товарищество с ограниченной ответственностью «АрселорМиттал Темиртау»;Казахстан;работает;высокая
Кузнецкий МК;24;1947-1988;Акционерное общество «ЕВРАЗ Западно-Сибирский металлургический комбинат»;Россия;вошло в состав другого;высокая
1;24;1954-1991;не знаю;не знаю;не знаю;низкая
Южуралникель;24;1955-1992;Акционерное общество «Южуралникель»;Россия;работает;высокая
Ангарскнефтеоргсинтез;24;1957-1990;Акционерное общество «Ангарская нефтехимическая компания»;Россия;работает;высокая
Азовсталь;23;1948-1994;Металлургический комбинат «Азовсталь»;Украина;работает;высокая
Запорожсталь МЗ;22;1948-1991;Публичное акционерное общество «Запорожсталь»;Украина;работает;высокая
Куйбышевазот;22;1964-1993;Акционерное общество «Куйбышевазот»;Россия;работает;высокая
МЗ им.Дзержинского;21;1947-1991;Металлургический завод имени Дзержинского;Украина;работает;средняя
Енакиевский МЗ;20;1949-1983;Енакиевский металлургический завод;Украина;работает;средняя
Хута им.Сендземира;20;1952-1989;ArcelorMittal Poland;другая;работает;высокая
Лисичанский ХК;20;1957-1986;ПАО «Лисичанский нефтеперерабатывающий завод» (ЛНПЗ);Украина;закрыто;высокая
Оргсинтез;19;1963-1989;Родовое название, использовалось для нескольких заводов органического синтеза в СССР;не знаю;не знаю;низкая
Электрохимпром;18;1950-1990;Родовое название, использовалось для предприятий электрохимической промышленности;не знаю;не знаю;низкая
Салаватнефтеоргсинтез;18;1956-1988;ООО «Газпром нефтехим Салават»;Россия;работает;высокая
Тюментрансгаз;18;1965-1993;ООО «Газпром трансгас Сургут»;Россия;вошло в состав другого;высокая
Тулачермет;17;1956-1991;АО «Тулачермет»;Россия;работает;высокая
Орско-Халиловский МК;16;1958-1991;ПАО «Уральская сталь»;Россия;работает;высокая
МЗ им. Петровского;15;1949-1992;ОАО «Днепровский металлургический завод имени Петровского»;Украина;закрыто;высокая
Бхилайский МЗ;15;1957-1975;Bhilai Steel Plant;другая;работает;высокая
Миннибаевский газобензиновый завод;13;1961-1994;ПАО «Татнефть» — Миннибаевский газоперерабатывающий завод;Россия;работает;высокая
