list;stranica;zakazchik;god_min;god_max;hvost
1_referentsii_repkh_eksport_po_stranam.pdf;1;1 Паровая турбина АР-6-11 Азербайджан Бакинский НПЗ Бакинский НПЗ 2;1952;1952;1952 6 Химическая
1_referentsii_repkh_eksport_po_stranam.pdf;1;2 Н-1050-13-1 Азербайджан Сумгаитский ХК Сумгаитский ХК 2;1959;1959;1959 Химическая
1_referentsii_repkh_eksport_po_stranam.pdf;1;алюминиевый завод 2;1963;1963;1963 3,15 525 3 0,9 0,098 Электродвигатель Металлургия Воздух
1_referentsii_repkh_eksport_po_stranam.pdf;1;5 Н-45-21-1 Азербайджан Сумгаитский ХК Сумгаитский ХК 1;1963;1963;1963 0,8 45,5 1 1,86 1,00 Электродвигатель Химическая пропилен
1_referentsii_repkh_eksport_po_stranam.pdf;1;6 К-105-61-1 Азербайджан Сумгаитский ХК Сумгаитский ХК 2;1964;1964;1964 3,5 115 3 1,715 0,147 Электродвигатель Химическая пропилен
1_referentsii_repkh_eksport_po_stranam.pdf;1;7 К-105-61-1 Азербайджан Сумгаитский ХК Сумгаитский ХК 1;1964;1964;1964 3,5 115 3 1,72 0,15 Электродвигатель Химическая пропилен
1_referentsii_repkh_eksport_po_stranam.pdf;1;8 К-350-61-2 Азербайджан Сумгаитский ХК Сумгаитский ХК 2;1964;1964;1964 9 370 3 7,35 0,97 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;1;9 К-350-61-2 Азербайджан Сумгаитский ХК Сумгаитский ХК 2;1965;1965;1965 9 370 3 7,35 0,97 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;1;10 К-350-62-1 Азербайджан Оргсинтез Оргсинтез 2;1970;1970;1970 9 370 3 7,35 0,97 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;1;11 К-210-62-1 Азербайджан Сумгаитхимпром Сумгаитхимпром 1;1979;1979;1979 6 222 3 1,72 0,14 Электродвигатель Химическая пропилен
1_referentsii_repkh_eksport_po_stranam.pdf;1;12 К-405-121-1 Азербайджан Сумгаитский ХК Сумгаитский ХК 2;1979;1979;1979 6 450 4 4,116 0,1274 Электродвигатель Химическая газы пиролиза
1_referentsii_repkh_eksport_po_stranam.pdf;1;13 К-60-82-1 Азербайджан Сумгаитхимпром Сумгаитхимпром 1;1979;1979;1979 2 67 3 2,16 0,11 Электродвигатель Химическая этилен
1_referentsii_repkh_eksport_po_stranam.pdf;1;алюминиевый завод 1;1982;1982;1982 6 915 3 0,735 0,095 Электродвигатель Металлургия воздух
1_referentsii_repkh_eksport_po_stranam.pdf;1;15 К-500-61-5 Азербайджан Оргсинтез Оргсинтез 2;1986;1986;1986 3,15 510 3 0,75 0,10 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;1;16 К-500-61-5 Азербайджан Сумгаитхимпром Сумгаитхимпром 2;1986;1986;1986 3,15 510 3 0,75 0,097 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;1;17 К-500-61-5 Азербайджан Оргсинтез Оргсинтез 1;1989;1989;1989 3,15 510 3 0,75 0,10 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;1;комбинат Металлургический комбинат 2;1953;1953;1953 2,5 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;2;Ангола ГЭС Капанда ГЭС Капанда 1 к-т;2007;2007;2007 ЗИП Энергетика
1_referentsii_repkh_eksport_po_stranam.pdf;2;Ангола ГЭС Капанда ГЭС Капанда 1 к-т;2007;2007;2007 НКУ, НВА Энергетика
1_referentsii_repkh_eksport_po_stranam.pdf;2;1 К-1500-61-2 Армения Армянский СНХ Армянский СНХ 1;1962;1962;1962 9 1558 3 7,68 0,96 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;2;Комбинат 1;1962;1962;1962 не менее 0.7 280 1 0,2353596 0,098 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;2;3 К-1500-62-2 Армения Армянский СНХ Армянский СНХ 1;1963;1963;1963 9 1590 3 0,74 0,10 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;2;комбинат 2;1963;1963;1963 не менее 0.4 230 1 0,171616375 0,098 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;2;5 К-1500-62-2 Армения Армянский СНХ Армянский СНХ 1;1964;1964;1964 9 1590 3 0,74 0,10 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;2;6 К-500-61-1 Армения Кировоканский ХК Кировоканский ХК 1;1964;1964;1964 3,15 525 3 0,9 0,098 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;2;7 К-1500-62-2 Армения Армянский СНХ Армянский СНХ 1;1965;1965;1965 9 1590 3 0,74 0,10 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;2;8 К-505-121-1 Армения Лизин Лизин 1;1968;1968;1968 3,15 500 3 0,98 0,09610517 Электродвигатель Химическая газы пиролиза метана
1_referentsii_repkh_eksport_po_stranam.pdf;2;9 Н-900-31-4 Армения Лизин Лизин 1;1981;1981;1981 4 980 1 0,33 0,10 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;2;10 Н-2900-12-1 Армения Алавердский ГМК Алавердский ГМК 3;1985;1985;1985 Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;2;1 Газовая турбина ГТТ-12 Аргентина Sapesa SL Sapesa SL 1;1996;1996;1996 12 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;2;1 Паровая турбина АР-2-1 Белоруссия Дубровская ГРЭС Дубровская ГРЭС 1;1949;1949;1949 2 Энергетика
1_referentsii_repkh_eksport_po_stranam.pdf;2;2 Паровая турбина АТ-6 Белоруссия Гомельская ЦЭС Гомельская ЦЭС 1;1955;1955;1955 6 Энергетика
1_referentsii_repkh_eksport_po_stranam.pdf;2;3 Паровая турбина АП-6-2 Белоруссия Пинская эл.станция Пинская эл.станция 1;1956;1956;1956 6 Энергетика
1_referentsii_repkh_eksport_po_stranam.pdf;2;электростанция Брестская электростанция 1;1956;1956;1956 6 Энергетика
1_referentsii_repkh_eksport_po_stranam.pdf;2;5 Паровая турбина АТ-6 Белоруссия Азот Азот 1;1957;1957;1957 6 Химическая
