sovetskoe_nazvanie;postavok;gody;sovremennoe;naydeno_v_reestre;inn;zakazchik_v_reestre;otlichitelnoe_slovo;nadezhnost
Магнитогорский МК;62;1951-1993;Публичное акционерное общество «Магнитогорский металлургический комбинат»;да;7414001629;"ОАО  ""МАГНИТОГОРСКИЙ ГИПРОМЕЗ""";магнитогорский;сомнительно: совпал только город или холдинг
Норильский ГМК;36;1966-1993;Публичное акционерное общество «Горно-металлургическая компания «Норильский никель»;да;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";никель,норильский;сомнительно: совпал только город или холдинг
Западно-Сибирский МК;34;1961-1993;Акционерное общество «ЕВРАЗ Западно-Сибирский металлургический комбинат»;да;4218000951;"АО ""ЕВРАЗ ЗСМК""";евраз;сомнительно: совпал только город или холдинг
Челябинский МК;31;1951-1993;Публичное акционерное общество «Мечел», Челябинский металлургический комбинат;да;7449006730;"ПАО ""Челябинский трубопрокатный завод""";челябинский;сомнительно: совпал только город или холдинг
Череповецкий МК;28;1954-1992;Публичное акционерное общество «Северсталь», Череповецкий металлургический комбинат;да;3528000597;"ПАО ""СЕВЕРСТАЛЬ""";северсталь;сомнительно: совпал только город или холдинг
Кузнецкий МК;24;1947-1988;Акционерное общество «ЕВРАЗ Западно-Сибирский металлургический комбинат»;да;4218000951;"АО ""ЕВРАЗ ЗСМК""";евраз;сомнительно: совпал только город или холдинг
Куйбышевазот;22;1964-1993;Акционерное общество «Куйбышевазот»;да;6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";куйбышевазот;надёжно
Салаватнефтеоргсинтез;18;1956-1988;ООО «Газпром нефтехим Салават»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
Тюментрансгаз;18;1965-1993;ООО «Газпром трансгас Сургут»;да;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";газпром;сомнительно: совпал только город или холдинг
Тулачермет;17;1956-1991;АО «Тулачермет»;да;7105008031;"АО ""Тулачермет""";тулачермет;надёжно
Орско-Халиловский МК;16;1958-1991;ПАО «Уральская сталь»;да;5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";уральская;сомнительно: совпал только город или холдинг
