email;domain;rol;gruppa;fajl_istochnik
zakupki@samspace.ru;samspace.ru;снабжение/закупки;вход;SPISOK-OBZVONA.csv
konkurs@ro41.fss.ru;ro41.fss.ru;снабжение/закупки;вход;VERIFY-10-cepochek.md
zakupki@ruschem.ru;ruschem.ru;снабжение/закупки;вход;SPISOK-OBZVONA.csv
zakupki@neftekhimia.ru;neftekhimia.ru;снабжение/закупки;вход;SPISOK-OBZVONA.csv
tender@azot.kuzbass.net;azot.kuzbass.net;снабжение/закупки;вход;SPISOK-OBZVONA.csv
zakupki@zavod-zvezda.ru;zavod-zvezda.ru;снабжение/закупки;вход;SPISOK-OBZVONA.csv
tender@kolagmk.ru;kolagmk.ru;снабжение/закупки;вход;SPISOK-OBZVONA.csv
zakupki@lorp.ru;lorp.ru;снабжение/закупки;вход;SPOSOBY-POISKA.md
snab@company.ru;company.ru;снабжение/закупки;вход;dyry/dyra-arhiv-yadro.md
zakupki@stavadm.ru;stavadm.ru;снабжение/закупки;вход;centro/rts-tender-centro.csv
zakupki@gks1nev.ru;gks1nev.ru;снабжение/закупки;вход;centro/rts-tender-centro.csv
zakupki@meshalkin.ru;meshalkin.ru;снабжение/закупки;вход;centro/rts-tender-centro.csv
tender@fesco.com;fesco.com;снабжение/закупки;вход;centro/rts-tender-centro.csv
zakupki@govvrn.ru;govvrn.ru;снабжение/закупки;вход;centro/rts-tender-centro.csv
zakupki@gupatz.ru;gupatz.ru;снабжение/закупки;вход;centro/rts-tender-centro.csv
zakupki@48.sfr.gov.ru;48.sfr.gov.ru;снабжение/закупки;вход;centro/rts-tender-centro.csv
omts@umupts.ru;umupts.ru;снабжение/закупки;вход;centro/rts-tender-centro.csv
omts@crimcement.com;crimcement.com;снабжение/закупки;вход;centro/rts-tender-centro.csv
zakupki@24.mchs.gov.ru;24.mchs.gov.ru;снабжение/закупки;вход;centro/rts-tender-centro.csv
zakupki@soda.ru;soda.ru;снабжение/закупки;вход;centro/HARVEST-telefony.md
zakupki@samcomsys.ru;samcomsys.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
zakupki@rusgasshelf.ru;rusgasshelf.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
snab@kpera.ru;kpera.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
tenders@uralmash.ru;uralmash.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
zakupki@gsp-center.ru;gsp-center.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
tender@vodadonbassa.ru;vodadonbassa.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
tender@gsp-r.ru;gsp-r.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
zakupki@vodokanal-arz.ru;vodokanal-arz.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
tender@gazdobtambey.ru;gazdobtambey.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
tender@gazprom-auto.ru;gazprom-auto.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
tender@sngp.com;sngp.com;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
zakupki@updk.ru;updk.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
zakupki@rusgas-service.ru;rusgas-service.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
zakupki@ak1825.ru;ak1825.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
tender@gsprom.ru;gsprom.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
zakupki@vdkanal.ru;vdkanal.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
tender@volma.ru;volma.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
zakupki@kbkha.ru;kbkha.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
tender@rector.msu.ru;rector.msu.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
tender@gesturbo.ru;gesturbo.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
torgi@svdk.su;svdk.su;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
tender@gcr.gazprom.ru;gcr.gazprom.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
tender@vostokgazprom.ru;vostokgazprom.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
tender@gtt.gazprom.ru;gtt.gazprom.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
tender@adm.energo.gazprom.ru;adm.energo.gazprom.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
zakupki@ratep.ru;ratep.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
zakupki@ak1825.e4u.ru;ak1825.e4u.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
tender@vrnvodokanal.ru;vrnvodokanal.ru;снабжение/закупки;вход;centro/etpgpb-kontakty-centro.csv
zakupki@kcvmir.ru;kcvmir.ru;снабжение/закупки;вход;centro/tektorg-kontakty-centro.csv
tender@ecosgroup.com;ecosgroup.com;снабжение/закупки;вход;centro/tektorg-kontakty-centro.csv
