inn;name;domen;domen_dlya_obhoda;otkuda_domen;region;vyruchka;telefony;pochty
7705013033;"ГУП ""МОСВОДОСТОК""";мосводосток.рф;xn--b1aesfkbbawel.xn--p1ai;кириллица;Москва;27600000000.0;+7 495 923-29-01 | +7 495 954-41-42 | +7 495 657-87-36 | +7 495 953-29-01 | +7 495 657-87-02 | +7 926 703-47-15;secretar-cra@mosvodostok.ru | secretar-cra@mosvodostoc.net | abonent@mosvodostok.net | secretar@mosvodstok.info | secret
7726445108;"ООО ""МОСКОМСТРОЙ""";moscom-stroy.ru;moscom-stroy.ru;почта;Москва;2000000000.0;+7 925 601-79-37 | +7 901 720-75-26;ok@moscom-stroy.ru
6623034200;"ООО ""ВОДОКАНАЛ-НТ""";voda-nt.ru;voda-nt.ru;почта;Свердловская область;2000000000.0;+7 343 523-07-30 | +7 343 523-07-03 | +7 343 523-07-15 | +7 343 523-07-12 | +7 343 547-80-02 | +7 343 523-07-47 | +7 343;vodocanal_bgd@mail.ru | voda@voda-nt.ru | vodokanal@voda-nt.ru
4707028015;"ОАО ""КВК""";oao-kvk.ru;oao-kvk.ru;почта;Ленинградская область;1700000000.0;+7 813 752-98-51 | +7 931 265-61-50 | +7 813 752-50-03 | +7 813 752-74-80 | +7 906 257-75-06;vodokanal-king@mail.ru | isaevaav@oao-kvk.ru | sharkovass@oao-kvk.ru | burkotv@oao-kvk.ru
9701020234;"ООО ""МИЛЛЕНИУМ ГРУПП""";yahoo.com;yahoo.com;почта;Москва;1400000000.0;+7 977 250-33-51;milleniumgrup@yahoo.com | natletter@mail.ru
5256049340;"ООО ""ЗАВОДСКИЕ СЕТИ""";volgoenergo.ru;volgoenergo.ru;почта;Нижегородская область;1300000000.0;+7 831 295-91-27 | +7 831 243-04-10 | +7 831 290-89-56 | +7 831 243-00-83 | +7 831 290-95-35;zc@volgoenergo.ru | averinain@volgaenergo.ru | zs@volgaenergo.ru | zs@volgoenergo.ru | kazakovatn@volgoenergo.ru
6513000783;"МУП ""НОГЛИКСКИЙ ВДК""";водоканал-ноглики.рф;xn----7sbagic6aamfhcvdhbh.xn--p1ai;кириллица;Сахалинская область;878700000.0;+7 424 449-63-21 | +7 924 187-72-00 | +7 424 449-16-94 | +7 424 449-12-36 | +7 424 449-66-70;vdk010507@mail.ru | sbelozer777@mail.ru | vdk10507@mail.ru | vdk01057@mail.ru | r65-sales@russianpost.ru | yuliyhka@mail
7453192705;"ООО ""ЮУВК""";ensaf.ru;ensaf.ru;почта;Челябинская область;757900000.0;+7 351 790-51-49 | +7 351 260-18-25;uvk@ensaf.ru
7730263559;"ООО ""РВК-ТИХОРЕЦК""";rvkmail.ru;rvkmail.ru;почта;Краснодарский край;756400000.0;+7 861 964-13-50 | +7 816 964-13-50 | +7 861 964-16-50 | +7 861 967-21-25 | +7 495 514-02-11;vodatih@mail.ru | ros-vodokanal@mail.ru | noreply@rvkmail.ru | office_tikh@rosvodakanal.ru | info@23.sfr.gov.ru | vodako
5244031860;"ООО ""БИОТЕХСЕРВИС""";volga-resource.ru;volga-resource.ru;почта;Нижегородская область;525800000.0;+7 831 446-82-15 | +7 951 906-13-32 | +7 910 101-17-24 | +7 891 010-11-72;tarakanova_el@volga-resource.ru | d@yandex.ru | surkova_sa@volga-resourse.ru | surkova_sa@volga-resource.ru | samokhina_
1701061444;"ООО ""ВОДОКАНАЛ-СЕРВИС""";arbitr.ru;arbitr.ru;почта;Республика Тыва;525400000.0;+7 394 226-31-96 | +7 394 227-75-76 | +7 394 225-22-21 | +7 800 200-53-51 | +7 962 062-00-66 | +7 394 226-17-95 | +7 394;agrohim_17@mail.ru | vodokanal-s17@mail.ru | tyva.info@arbitr.ru | tuva@sibgenco.ru | vodokanal-s17@mai.ru | vodokanal-s
7731047695;"АО ""ДРСУ""";tverreg.ru;tverreg.ru;почта;Московская область;491500000.0;+7 482 244-64-51 | +7 499 128-68-82 | +7 499 197-50-63 | +7 482 244-67-20 | +7 499 729-49-42 | +7 499 728-49-43;drsu-tver@mail.ru | mintrans@tverreg.ru
4726003577;"ООО ""ВОДОКАНАЛ""";sbor.net;sbor.net;почта;Ленинградская область;463900000.0;+7 911 830-68-91 | +7 813 694-36-86 | +7 813 697-39-17 | +7 813 697-23-30 | +7 911 930-94-97;vodokayal@sbor.net | vodokanal@sbor.net | a.a.chuykov@mail.ru | office@vodokanal.sbor.ru | ztg@vodokanal.sbor.ru
4712023326;"ООО ""ЛСС""";ruktvel.ru;ruktvel.ru;почта;Ленинградская область;374000000.0;+7 813 796-45-89;info@ruktvel.ru
5800004902;"ООО ""ВВП""";mayak-penza.ru;mayak-penza.ru;почта;Пензенская область;367000000.0;+7 903 323-24-50;mayakref@mayak-penza.ru
2428002817;"ООО ГК ""ВОДОКАНАЛ""";ws124.ru;ws124.ru;почта;Красноярский край;356900000.0;+7 950 974-57-48 | +7 391 612-98-99 | +7 902 990-11-24 | +7 391 242-11-24;lispuh.liuba@yandex.ru | torg@ws124.ru | gk@ws124.ru | vodokanalgk@yandex.ru | v.torg@ws124.ru | info@vksnab.com
6681010060;"ООО ""РИР - ЛЕСНОЙ""";rirls.ru;rirls.ru;почта;Свердловская область;345800000.0;+7 343 429-63-46 | +7 343 429-80-63 | +7 343 426-15-55 | +7 343 429-43-46 | +7 313 429-63-46 | +7 902 273-28-64;ekaakomarova@rirls.ru | vodosnab_2018@mail.ru | vodsnab2018@mail.ru | vodsnad_2018@mail.ru | zakupki@rirls.ru | vodsnab_
7725782615;"ООО ""ЭКО САПЛАЙ""";ecosupply.ru;ecosupply.ru;почта;Москва;344700000.0;+7 499 142-71-73 | +7 499 709-77-43 | +7 919 996-08-17;office@ecosupply.ru
5610237031;"ООО ""ЖИВАЯ ВОДА""";zhiv-voda.ru;zhiv-voda.ru;почта;Оренбургская область;344100000.0;+7 987 790-20-19 | +7 353 245-30-30;info@zhiv-voda.ru
9717058096;"ООО ""НЕВОД""";nevod-hydro.ru;nevod-hydro.ru;почта;Москва;338100000.0;+7 903 125-00-30 | +7 495 981-61-10;fta@nevod-hydro.ru | hr@nevod-hydro.ru | filippovata@pik.ru | vkh@nevod-hydro.ru
5322015508;"ООО СТАРОРУССКОЕ ""ЖКХ""";sudrf.ru;sudrf.ru;почта;Новгородская область;271500000.0;+7 881 525-61-79 | +7 816 525-61-79 | +7 816 525-27-05 | +7 921 196-55-67;vkh-star-glbuh@mail.ru | veaab@yandex.ru | parfvoda24@mail.ru | vkh.yvo@yandex.ru | vkx.yvo@yandex.ru | usd.nvg@sudrf.ru
3304000103;МУВКП;muvkp.ru;muvkp.ru;почта;Владимирская область;259500000.0;+7 492 412-38-03 | +7 492 412-53-63 | +7 492 412-66-12 | +7 492 412-16-65 | +7 242 412-38-03;vodokanalgus@muvkp.ru | urmuvkp@yandex.ru | vkpto@yandex.ru | vodokanalgus@yandex.ru | kadrmuvkp@yandex.ru
9723066137;"ООО ""ВКС""";vks-mos.ru;vks-mos.ru;почта;Москва;253800000.0;+7 926 253-44-85;info@vks-mos.ru | vks.mos@mail.ru
7802623806;"ООО ""ТД ""БИОЭКОЛОГИЯ""";bioec.ru;bioec.ru;почта;Санкт-Петербург;240500000.0;+7 812 334-89-49 | +7 812 334-89-40;tenders@bioec.ru
