inn;name;name_obzvon;division;segment;okved;okved_all;region;address;egrul_status;director;revenue_rub;revenue_h;priority_max;priority_total;equipment;site;activity;is_competitor;verified;best_email;contacts;contacts_n;phones;signals_n;hotness_max;news_event;news_what;news_url;stages;in_obzvon;in_sender;sent_n;sent_last
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";"ГУП ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";kc;;37.00;37.00|35.30.14|36.00.2|46.74|46.77|79.90.21|86.21|86.90.4|36.00.1|41.20|42.11|42.21|42.99|46.43.3|46.46|46.49.31|46.73.6|46.76|47.61|47.63.1|47.63.2|47.73|47.74|47.75|49.3|49.4|49.41|49.41.1|49.41.2|49.41.3|58.11|59.11|62.01|62.02|71.12|71.20.1|79.90.2|85.41|85.42.9|86|90.01|93.29;Санкт-Петербург;191015, г. Санкт-Петербург, ул. Кавалергардская, д. 42;Действующая компания;;52100000000.0;52,1 млрд руб.;4;31;Промышленные компрессоры от 200 000 ₽ | Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;водоканал-спб.рф;водоснабжение и водоотведение в Санкт-Петербурге;0;inn;kolesnikova_vm@vodokanal.spb.ru;"office@vodokanal.spb.ru|общий| ; kolesnikova_vm@vodokanal.spb.ru|снабжение/закупки|Колесникова В. ; baranova_ln@vodokanal.spb.ru|снабжение/закупки|Баранова Л.";3;[];;;;;;activity,checko,email,etp,site,verify;1;;;
7705013033;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ПО ЭКСПЛУАТАЦИИ МОСКОВСКИХ ВОДООТВОДЯЩИХ СИСТЕМ ""МОСВОДОСТОК""";"ГУП ""МОСВОДОСТОК""";kc;;37.00;37.00|38.1|38.2|42.21|42.22.1|42.22.2|42.91.2|42.91.4|43.12.3|43.22|43.99.4|43.99.6|49.41.1|49.41.2|50.30|50.40|52.21.23|52.29|71.12;Москва;119017, г. Москва, ул. Новокузнецкая, д. 26/8, стр. 1;Действующая компания;;27600000000.0;27,6 млрд руб.;4;31;Промышленные компрессоры от 200 000 ₽ | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;мосводосток.рф;эксплуатация и ремонт систем водоотведения и очистки поверхностных стоков Москвы;0;provider;tender@mosvodostok.net;"cancel@mosvodostok.net|приёмная| ; center@mosvodostok.net|общий| ; tender@mosvodostok.net|снабжение/закупки|Гамаюнов В.";3;"[""+74956578703"", ""+74956578738""]";;;;;;activity,checko,email,etp,phone,site,verify;1;;;
6445029380;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРНОВСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""БЛАГОУСТРОЙСТВО""";"МУП ""БЛАГОУСТРОЙСТВО""";kc;;37.00;37.00|36.00|35.30.2|35.30.3|35.30.5|35.30.1|35.30.6|35.30.4;Саратовская область;413540, Саратовская область, м. р-н Краснопартизанский, г. п. Горновское, рп. Горный, ул. Чапаевская, д. 28;Действующая компания;;15000000000.0;15 млрд руб.;4;13;Промышленные компрессоры от 200 000 ₽ | Генераторы кислорода | МКС — модульные или блочно-компрессорные станции;;;0;;;;;;;;;;;checko,etp;1;;;
1653006666;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА КАЗАНИ ""ВОДОКАНАЛ""";"МУП ""ВОДОКАНАЛ""";kc;новостные;37.00;37.00|36.00.1|43.29|35.12|36.00|41.20|42.21|42.22.1|42.22.2|42.91.5|42.99|43.12.3|43.22|43.32|43.33|43.34.1|43.34.2|43.99.3|43.99.7|49.41.1|49.41.2|49.50|71.20.1|81.29.9;Республика Татарстан;420087, Республика Татарстан, г. Казань, ул. Родины, д. 9;Действующая компания;Абдулхаков Рустам Рифгатович;8200000000.0;8,2 млрд руб.;5;55;Промышленные компрессоры от 200 000 ₽ | Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;kznvodokanal.ru;водоснабжение и водоотведение города Казани;0;provider;ks@kznvodokanal.ru;"2316104@kznvodokanal.ru|общий| ; ks@kznvodokanal.ru|снабжение/закупки|Галимов И.";2;"[""+7 (843) 231-62-60 (аварийно-диспетчерская служба)"", ""+7 (843) 231-62-62 (телефонная справочная)"", ""+7 (843) 231-69-06 (канцелярия)"", ""+7 (843) 231-62-75 (производственно-технический отдел)"", ""+7 (843) 231-61-33 (договорная группа юр.лица)"", ""+7 (843) 231-62-16 (ПТО технический надзор)"", ""+7 (843) 231-62-24 (ПТО техническая группа)"", ""+7 (843) 231-69-96 (горячая линия)""]";1;3;наём в компрессорную;МУП Водоканал: Слесарь-ремонтник (Эльмаш);https://hh.ru/search/vacancy?text=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C%20%D0%BF%D0%BE%20%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%D1%83%20%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F;best_email_v2,checko,crawl,email,etp,hh,phone,site,verify,zakupki;1;1;;
2308111927;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРАСНОДАР ВОДОКАНАЛ""";"ООО ""КРАСНОДАР ВОДОКАНАЛ""";kc;;37.00;37.00|36.00.1|36.00.2|96.09.9|35.12|35.13|35.30.1|35.30.2|35.30.3|42.21|42.22.1|42.22.2|46.74.2|55.90|63.99.1;Краснодар;350062, Краснодарский край, г. Краснодар, ул. им. Каляева, д. 198;Действующая компания;;7200000000.0;7,2 млрд руб.;4;29;Промышленные компрессоры от 200 000 ₽ | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;rosvodokanal.ru;управление региональными предприятиями водоснабжения и водоотведения;0;phone;e.valiullina@rosvodokanal.ru;"info@rosvodokanal.ru|общий| ; pr@rosvodokanal.ru|продажи| ; etika@rosvodokanal.ru|общий| ; krn_sec@rosvodokanal.ru|приёмная| ; webhelp@rosvodokanal.ru|общий| ; e.valiullina@rosvodokanal.ru|снабжение/закупки|Валиуллина Э. ; km.kulikova@rosvodokanal.ru|снабжение/закупки|Куликова К.";7;"[""+7 (495) 514-02-11"", ""8-800-250-17-47"", ""+7 (800) 200-36-46""]";;;;;;activity,best_email_v2,checko,email,etp,phone,site,verify;1;;;
5902817382;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВАЯ ГОРОДСКАЯ ИНФРАСТРУКТУРА ПРИКАМЬЯ""";"ООО ""НОВОГОР-ПРИКАМЬЕ""";kc;;37.00;37.00|35.30.14|36.00.1|36.00.2|46.90|47.99|33.11|33.14|33.20|35.30.1|35.30.3|35.30.4|35.30.5|41.20|42.21|42.22.2|43.12|43.12.1|43.12.3|43.22|68.20|71.12|71.12.1;Пермь;614065, Пермский край, г. Пермь, ул. Свиязева, д. 35;Действующая компания;;7100000000.0;7,1 млрд руб.;4;29;Промышленные компрессоры от 200 000 ₽ | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;;управление тепловыми сетями и котельными;0;mismatch;lobanov.e.p@novogor.perm.ru;"lobanov.e.p@novogor.perm.ru|снабжение/закупки|Лобанов Е. ; kolegova_na@novogor.perm.ru|снабжение/закупки|Колегова Н. ; hudyakova@novogor.perm.ru|снабжение/закупки|Худякова О.";3;"[""+7 (8142) 71-00-71"", ""+7 (8142) 71-00-52"", ""+7 (8142) 71-00-83"", ""+7 (911) 050-16-22""]";;;;;;activity,best_email_v2,checko,etp,phone;1;;;
7726671234;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РВК-ВОРОНЕЖ""";"ООО ""РВК-ВОРОНЕЖ""";kc;;37.00;37.00|36.00.1|46.73.3|96.09.9|08.99|35.12|35.13|35.30.1|35.30.2|35.30.3|36.00.2|38.12|38.22|41.10|41.20|42.11|42.21|42.22.1|42.22.2|42.91|42.99|43.12|43.12.3|43.13|43.21|43.22|43.29|43.99.4|43.99.5|43.99.7|43.99.9|46.74.2|46.90|69|70.22|71.12|71.12.1|71.12.11|71.12.3|74.20|74.30|80.20|82.92|85.30|85.41.9|86.90.9|94.11;Воронеж;394038, Воронежская область, г. Воронеж, ул. Пеше-Стрелецкая, д. 90;Действующая компания;;6800000000.0;6,8 млрд руб.;4;45;Промышленные компрессоры от 200 000 ₽ | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;voronezh.rosvodokanal.ru;водоснабжение и водоотведение города Воронеж;0;inn;i.razvorotneva@rosvodokanal.ru;"mail_vrn@rosvodokanal.ru|общий| ; etika@rosvodokanal.ru|общий| ; iv.sergeeva@rosvodokanal.ru|общий| ; i.razvorotneva@rosvodokanal.ru|снабжение/закупки|Разворотнева И. ; ed.babenko@rosvodokanal.ru|снабжение/закупки|Бабенко Е.";5;"[""8 (473) 206-77-06"", ""8-800-250-17-47"", ""+7(473) 206-77-07""]";;;;;;activity,best_email_v2,checko,email,etp,phone,site,verify;1;;;
5504097128;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОМСКВОДОКАНАЛ""";"АО ""ОМСКВОДОКАНАЛ""";kc;;37.00;37.00|36.00.2|46.90|49.41.3|33.12|35.11|35.13|35.14|35.2|35.30|36.00|41.2|43.12|43.2|43.3|49.10|49.20|49.3|52.10.2|69|72.19|80.10|80.20|80.30|84.22;;644042, Омская область, г. Омск, ул. Маяковского, д. 2;Действующая компания;;6300000000.0;6,3 млрд руб.;5;34;Промышленные компрессоры от 200 000 ₽ | Фотосепараторы | Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;;;0;;;i.orlova@rosvodokanal.ru|снабжение/закупки|Орлова И.;1;;;;;;;checko,etp;1;;;
2426004706;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИМПУЛЬС""";"ООО ""ИМПУЛЬС""";;;36.00 Забор, очистка и распределение воды;36.00|10.61.2|10.71.1|16.10.1|16.23.1|35.30.14|35.30.2|35.30.3|35.30.4|35.30.5|36.00.1|36.00.2|37.00|38.1|38.2|41.20|42.21|42.22.2|43.22|43.29|43.32|43.99|47.52.5|49.41.2|81.29.9;Красноярский край;663415, Красноярский край, Мотыгинский район, гп. Раздолинск, ул. Лесопильная, д. 32А;Действующая компания;Лазаренко Виталий Николаевич;5100000000.0;5,1 млрд руб.;4;47;Промышленные компрессоры от 200 000 ₽ | Фотосепараторы | Рентген-детекторы и рентген-инспекционные системы | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;ukimpuls.ru;Управляющая компания ЖКХ (управление и обслуживание многоквартирных домов, ОКВЭД 68.32);0;mismatch;;;;"[""8-495-801-79-99"", ""8-495-801-79-79"", ""8-967-208-16-97"", ""8-977-618-87-06""]";;;;;;activity,phone,site;1;;;
2457029066;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОРИЛЬСК ""КОММУНАЛЬНЫЕ ОБЪЕДИНЕННЫЕ СИСТЕМЫ""";"МУП ""КОС""";kc;;37.00;37.00|35.12.1|35.12.2|35.30.2|36.00.2|64.19|68.20.29|68.32.1|35.11|35.12|35.13|35.14|35.30.3|35.30.5|36.00.1|38.11|38.12|41.20|42.21|42.22.2|43.22|43.29|43.32|43.34.1|43.99|49.39.1|49.39.3|49.39.39|49.41|49.50|52.21|64.11|68.20.2|68.32|71.12|71.12.45|71.12.6|71.20|71.20.1|95.11;;663302, Красноярский край, г. о. город Норильск, г. Норильск, ул. Нансена, д. 18А;Действующая компания;Борисевич Евгений Николаевич;3300000000.0;3,3 млрд руб.;5;57;Промышленные компрессоры от 200 000 ₽ | Генераторы азота | Генераторы кислорода | МКС — мобильные компрессорные станции | МКС — модульные или блочно-компрессорные станции;;;0;;+lev1909@rambler.ru;"+lev1909@rambler.ru|снабжение/закупки|Левченко А. ; lev1909@rambler.ru|снабжение/закупки|Левченко А.";2;;;;;;;best_email_v2,checko,etp;1;;;
