domain;sprosili;whois_org;whois_inn;nash_inn;nash_name;verdikt
acron.ru;acron.ru;PJSC Acron;5321029508;5321029508;"ПАО ""АКРОН""";совпал
ammoni.ru;ammoni.ru;"""AMMONI"" SC";1627005779;1627005779;"АО ""АММОНИЙ""";совпал
ang-vodokanal.ru;ang-vodokanal.ru;;;3801006828;МУП АГО «Ангарский Водоканал»;владелец не указан
anhk.rosneft.ru;rosneft.ru;;;3801009466;"АО ""АНХК""";владелец не указан
anhk.ru;anhk.ru;JSC ANGARSK PETROCHEMICAL COMPANY;3801009466;3801009466;"АО ""АНХК""";совпал
aotek.spb.ru;aotek.spb.ru;Personal data, can not be publicly disclosed according to applicable laws.;;;АО «Теплосеть Санкт-Петербурга»;нет ИНН в whois
avk.irtel.ru;irtel.ru;;;3801006828;МУП АГО «Ангарский Водоканал»;владелец не указан
azot.kuzbass.net;kuzbass.net;;;4205000908;"КАО ""АЗОТ""";владелец не указан
bal-vod.ru;bal-vod.ru;;;6439053289;МУП «Балаково-Водоканал»;владелец не указан
barnaul.rosvodokanal.ru;rosvodokanal.ru;"Ltd. Management Company ""Regional United Systems Vodokanal""";5027116065;2221064060;ООО «Барнаульский водоканал»;РАЗОШЁЛСЯ
biorosva.ru;biorosva.ru;"JS ""BIOTEKHNOLOGICHESKII KOMPLEKS-ROSVA""";4029045298;4029045298;"АО ""БиоТех Росва""";совпал
bn.rosneft.ru;rosneft.ru;;;;ООО «Башнефть-Строй»;владелец не указан
ch-energo.ru;ch-energo.ru;;;;Филиал ПАО «Россети Волга» - «Чувашэнерго»;владелец не указан
chelnyvodokanal.ru;chelnyvodokanal.ru;;;1650297657;ООО «Челныводоканал»;владелец не указан
chvk.kamaz.net;kamaz.net;KAMAZ PTC;;1650297657;ООО «Челныводоканал»;нет ИНН в whois
corpo.toaz.ru;toaz.ru;"JS ""TOLIATTIAZOT""";6320004728;6320004728;"АО ""ТОАЗ""";совпал
diall.ru;diall.ru;;;7716182080;"ООО ""ДИАЛЛ АЛЬЯНС""";владелец не указан
dom-vodokanal.ru;dom-vodokanal.ru;MUP Domodedovskii Vodokanal;5009034660;5009034660;МУП «Домодедовский Водоканал»;совпал
dorogobuzh.ru;dorogobuzh.ru;;;6704000505;"ПАО ""Дорогобуж""";владелец не указан
drg.acron.ru;acron.ru;PJSC Acron;5321029508;6704000505;"ПАО ""Дорогобуж""";РАЗОШЁЛСЯ
ekaterinburg-tr.gazprom.ru;gazprom.ru;;;6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";владелец не указан
eurochem.ru;eurochem.ru;;;2303025270,2631015563,7116000066;"АО ""НАК ""АЗОТ""";владелец не указан
gazprom-neft.ru;gazprom-neft.ru;"PJSC ""Gazprom neft""";5504036333;7723006328,7728640182;"АО ""ГАЗПРОМНЕФТЬ - МНПЗ""";РАЗОШЁЛСЯ
gazpromneft-sm.ru;gazpromneft-sm.ru;;;7728640182;"ООО ""ГАЗПРОМНЕФТЬ -СМ""";владелец не указан
gdo.gazprom.ru;gazprom.ru;;;5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";владелец не указан
gupatz.ru;gupatz.ru;;;9001023536;ГУП «Автотранс Запорожской области»;владелец не указан
gvgold.ru;gvgold.ru;PAO Vysochaishy;3802008553;3802008553;"АО ""ВЫСОЧАЙШИЙ""";совпал
