srok;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik;zav_nomer;klass;dubl
active;центробежный компрессор;86-ТУ-800238-2026;27.04.2026;8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";Компрессор центробежный тип 4М9-8 зав.№ 4-8-3821F;ТУ;8605020617;"ООО ""АЛЬЯНСЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/86-%D0%A2%D0%A3-800238-2026;https://monitor-pb.ru/customer/8602060555;4-8-3821F;компрессор;да
active;центробежный компрессор;53-ТУ-24465-2025;26.06.2025;7709930344;"ООО ""ПРАКСАЙР АЗОТ ТОЛЬЯТТИ""";Центробежный компрессор Model TP14X22L0, зав. №40000612-010;ТУ;6321439320;"ООО ""ИЦ ФОРТИС""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-24465-2025;https://monitor-pb.ru/customer/7709930344;40000612-010;компрессор;нет
active;центробежный компрессор;63-ТУ-531611-2025;05.12.2025;6320004728;"АО ""ТОАЗ""";Центробежный компрессор 103J, тех.№ 401, зав.№ б/н, инв.№ 0053364;ТУ;5911057642;"ООО ""АПЭ""";соответствует;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-531611-2025;https://monitor-pb.ru/customer/6320004728;;компрессор;нет
active;центробежный компрессор;38-ТУ-68202-2025;15.08.2025;3801009466;"АО ""АНХК""";Центробежный компрессор марки К-500-61-1, поз. 5, зав. № 489;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-68202-2025;https://monitor-pb.ru/customer/3801009466;489;компрессор;нет
active;центробежный компрессор;38-ТУ-68168-2025;27.10.2025;3801009466;"АО ""АНХК""";Центробежный компрессор марки К-1500-62-1, поз. 35/4, зав. № 2453;ТУ;5001100952;"ООО ""ОРГЭНЕРГОНЕФТЬ""";соответствует;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-68168-2025;https://monitor-pb.ru/customer/3801009466;2453;компрессор;нет
active;центробежный компрессор;43-ТУ-282521-2022;06.12.2022;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";техническое устройство: Компрессор центробежный многовальный 32ВЦ-100/9 (зав.№88007, техн.№ 59);ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-282521-2022;https://monitor-pb.ru/customer/1658008723;88007;компрессор;да
active;центробежный компрессор;22-ТУ-03914-2025;24.02.2025;5321029508;"ПАО ""АКРОН""";Углекислотный центробежный компрессор GB-402, зав. № FFC00900, производство нитроаммофоски, цеха нитроаммофоски № 2;ТУ;7709122844;"ООО НПП ""МЕХАНИК""";соответствует;https://monitor-pb.ru/conclusion/22-%D0%A2%D0%A3-03914-2025;https://monitor-pb.ru/customer/5321029508;FFC00900;компрессор;да
active;центробежный компрессор;43-ТУ-45861-2025;11.04.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Концевой охладитель центробежного компрессора ЦК135/8 (М1), поз.№ВО-26Б/3, зав.№90044;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-45861-2025;https://monitor-pb.ru/customer/1658008723;90044;компрессор;нет
active;центробежный компрессор;48-ТУ-483711-2025;21.11.2025;4823006703;"ПАО ""НЛМК""";Кислородный-азотный центробежный компрессор КТК 12,5/35 СТ.№8, инв.№45530;ТУ;4826127181;"ООО ИТЦ ""МОНОЛИТ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-483711-2025;https://monitor-pb.ru/customer/4823006703;;компрессор;да
active;центробежный компрессор;63-ТУ-531685-2025;05.12.2025;6320004728;"АО ""ТОАЗ""";Центробежный компрессор типа К-1290-121-1, тех.№ 402, зав.№ 7814002, инв.№ 0053366;ТУ;5911057642;"ООО ""АПЭ""";соответствует;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-531685-2025;https://monitor-pb.ru/customer/6320004728;7814002;компрессор;да
