srok;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
active;центробежный компрессор;41-ТУ-01483-2021;19.01.2021;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус центробежного нагнетателя (компрессора) ЦБК тип Н-370-18-1 зав. № 5541 и ротор тип СПЧ 370-76-1,24 зав. № б/н, ст. № 6, инв. № 081088;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";не в полной мере;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-01483-2021;https://monitor-pb.ru/customer/0276053659
expiring;центробежный компрессор;13-ТУ-02820-2023;27.02.2023;4823006703;"ПАО ""НЛМК""";Центробежный кислородный компрессор 543ЦКК-400/40, инв. 94427, ст. 4;ТУ;4823073763;"ООО ""МЕЖРЕГИОНАЛЬНЫЙ ИНЖИНИРИНГОВЫЙ ЦЕНТР ЭКСПЕРТИЗЫ И ДИАГНОСТИКИ""";не в полной мере;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-02820-2023;https://monitor-pb.ru/customer/4823006703
expired;центробежный компрессор;53-ТУ-32100-2022;25.02.2022;6314006396;"АО ""КНПЗ""";компрессор центробежный 5ЦД-208/30-45М технологический индекс ЦК-1, зав. № 79002;ТУ;6312031510;"ООО ПФ ""ЭДТОН""";не в полной мере;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-32100-2022;https://monitor-pb.ru/customer/6314006396
expired;центробежный компрессор;13-ТУ-08357-2017;24.08.2017;4823006703;"ПАО ""НЛМК""";центробежный кислородный компрессор 543ЦКК-400/40 инв.№90264 ст.№2 кислородный цех;ТУ;4823073763;"ООО ""МЕЖРЕГИОНАЛЬНЫЙ ИНЖИНИРИНГОВЫЙ ЦЕНТР ЭКСПЕРТИЗЫ И ДИАГНОСТИКИ""";не в полной мере;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-08357-2017;https://monitor-pb.ru/customer/4823006703
expired;центробежный компрессор;53-ТУ-32612-2022;01.03.2022;6314006396;"АО ""КНПЗ""";компрессор центробежный 5ЦД-208/30-45М технологический индекс ЦК-1, зав. № 79002;ТУ;6312031510;"ООО ПФ ""ЭДТОН""";не в полной мере;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-32612-2022;https://monitor-pb.ru/customer/6314006396
expired;центробежный компрессор;51-ТУ-37135-2023;28.12.2023;6314006396;"АО ""КНПЗ""";компрессор центробежный 5(7)VR 200/490G технологический индекс ЦК-1, зав. № 430818,;ТУ;6315579093;"ООО ""ИЦ ""АЭ-СИСТЕМЫ""";не соответствует;https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-37135-2023;https://monitor-pb.ru/customer/6314006396
expired;центробежный компрессор;13-ТУ-02138-2015;09.04.2015;4823006703;"ПАО ""НЛМК""";Центробежный кислородный компрессор 543 ЦКК 400/40, инв. № 94427, зав. № 82001, ст. № 4, площадка кислородной станции № 2 Кислородного цеха;ТУ;4826051944;"ООО ЛТД ""Монолит""";не в полной мере;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-02138-2015;https://monitor-pb.ru/customer/4823006703
expired;центробежный компрессор;70-ТУ-05454-2019;20.06.2019;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";компрессор центробежный ЦК-135/8 ст. № 3/38М, зав. № 78016, инв. № 30800017158;ТУ;7709842345;"ООО ""БЕЗОПАСНОСТЬ В ПРОМЫШЛЕННОСТИ""";не в полной мере;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-05454-2019;https://monitor-pb.ru/customer/8401005730
expired;центробежный компрессор;13-ТУ-02615-2023;22.02.2023;4823006703;"ПАО ""НЛМК""";Центробежный кислородный компрессор КТК-12,5/3,5, инв. 77980, ст. 6;ТУ;4823073763;"ООО ""МЕЖРЕГИОНАЛЬНЫЙ ИНЖИНИРИНГОВЫЙ ЦЕНТР ЭКСПЕРТИЗЫ И ДИАГНОСТИКИ""";не в полной мере;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-02615-2023;https://monitor-pb.ru/customer/4823006703
expired;центробежный компрессор;13-ТУ-03028-2023;01.03.2023;4823006703;"ПАО ""НЛМК""";Центробежный азотный компрессор КТК-12,5/3,5, инв. 45530, ст. 8;ТУ;4823073763;"ООО ""МЕЖРЕГИОНАЛЬНЫЙ ИНЖИНИРИНГОВЫЙ ЦЕНТР ЭКСПЕРТИЗЫ И ДИАГНОСТИКИ""";не в полной мере;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-03028-2023;https://monitor-pb.ru/customer/4823006703
expired;центробежный компрессор;70-ТУ-04496-2019;24.05.2019;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";компрессор центробежный кислородный КТК-12,5/35, № 14/45М, зав. № 88004, инв. № 30800024010;ТУ;7709842345;"ООО ""БЕЗОПАСНОСТЬ В ПРОМЫШЛЕННОСТИ""";не в полной мере;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-04496-2019;https://monitor-pb.ru/customer/8401005730
expired;центробежный компрессор;70-ТУ-04519-2019;26.05.2019;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";компрессор центробежный кислородный КТК-12,5/35, № 5/28М, зав. № 82008, инв. № 30800022398;ТУ;7709842345;"ООО ""БЕЗОПАСНОСТЬ В ПРОМЫШЛЕННОСТИ""";не в полной мере;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-04519-2019;https://monitor-pb.ru/customer/8401005730
expired;центробежный компрессор;70-ТУ-09726-2018;08.10.2018;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";компрессор центробежный, кислородный КТК-12,5/35, зав. № 78008,ст. № 9/32М, инв. № 24012;ТУ;7816374814;"ООО ""ГЦЭ - СЕВЕР""";не в полной мере;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-09726-2018;https://monitor-pb.ru/customer/8401005730
expired;центробежный компрессор;70-ТУ-09747-2018;08.10.2018;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";компрессор центробежный, кислородный КТК-12,5/35, зав. № 80005,ст. № 6/29М, инв. № 022399;ТУ;7816374814;"ООО ""ГЦЭ - СЕВЕР""";не в полной мере;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-09747-2018;https://monitor-pb.ru/customer/8401005730
expired;центробежный компрессор;70-ТУ-12423-2018;03.12.2018;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";компрессор центробежный, кислородный КТК-12,5/35, зав. № 87004,ст. № 15/46М, инв. № 24011;ТУ;7816374814;"ООО ""ГЦЭ - СЕВЕР""";не в полной мере;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-12423-2018;https://monitor-pb.ru/customer/8401005730
expired;центробежный компрессор;22-ТУ-19533-2016;29.12.2016;5321029508;"ПАО ""АКРОН""";центробежный компрессор поз. GB-732B, зав. № 22-0574. Место эксплуатации: ПАО «Акрон», агрегат № 3 производства нитроаммофоски, 173012, Россия, г. Великий Новгород;ТУ;7816374814;"ООО ""ГЦЭ - СЕВЕР""";не в полной мере;https://monitor-pb.ru/conclusion/22-%D0%A2%D0%A3-19533-2016;https://monitor-pb.ru/customer/5321029508
expired;центробежный компрессор;70-ТУ-05579-2019;24.06.2019;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";компрессор центробежный кислородный КТК-12,5/35 ст. №11/34М, зав. № 80006, инв. № 30800022220;ТУ;7709842345;"ООО ""БЕЗОПАСНОСТЬ В ПРОМЫШЛЕННОСТИ""";не в полной мере;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-05579-2019;https://monitor-pb.ru/customer/8401005730
expired;центробежный компрессор;70-ТУ-05581-2019;24.06.2019;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";компрессор центробежный кислородный КТК-12,5/35 ст. № 18/10М, зав. № 90006, инв. № 30800025313;ТУ;7709842345;"ООО ""БЕЗОПАСНОСТЬ В ПРОМЫШЛЕННОСТИ""";не в полной мере;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-05581-2019;https://monitor-pb.ru/customer/8401005730
expired;центробежный компрессор;70-ТУ-05910-2019;08.07.2019;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";компрессор центробежный кислородный КТК-12,5/35 ст. № 3/14М, зав. № 79008, инв. № 30800015020;ТУ;7709842345;"ООО ""БЕЗОПАСНОСТЬ В ПРОМЫШЛЕННОСТИ""";не в полной мере;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-05910-2019;https://monitor-pb.ru/customer/8401005730
expired;центробежный компрессор;70-ТУ-06010-2018;30.05.2018;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";компрессор центробежный, воздушный К-1700-62-2, ст. № 15/63М, зав. № 9320, инв. № 025010;ТУ;7709842345;"ООО ""БЕЗОПАСНОСТЬ В ПРОМЫШЛЕННОСТИ""";не в полной мере;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-06010-2018;https://monitor-pb.ru/customer/8401005730
expired;центробежный компрессор;13-ТУ-04958-2022;12.04.2022;4823006703;"ПАО ""НЛМК""";Центробежный кислородный компрессор 543ЦКК-400/40, ст. № 2, инв. № 90264, площадка воздухоразделительных установок № 2;ТУ;4823073763;"ООО ""МЕЖРЕГИОНАЛЬНЫЙ ИНЖИНИРИНГОВЫЙ ЦЕНТР ЭКСПЕРТИЗЫ И ДИАГНОСТИКИ""";не в полной мере;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-04958-2022;https://monitor-pb.ru/customer/4823006703
