inn;predpriyatie;kartochek_vzyato;lyudej;s_mobilnym;ne_razobrano;pochemu
7707049388;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""";5;3;3;0;обойдено
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";5;2;0;0;обойдено
7736046504;АВИАПРЕДПРИЯТИЕ ГАЗПРОМ АВИА;5;4;0;0;обойдено
7714572888;АОСТНГ;18;4;0;0;обойдено
8904034777;"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";40;10;0;0;обойдено
7806369727;АО НЗЛ;40;13;0;0;обойдено
7810442793;«ГСП-Механизация»;21;6;1;0;обойдено
6663005798;"ПАО ""УРАЛМАШЗАВОД""";40;14;2;0;обойдено
7729082090;МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ М.В.ЛОМОНОСОВА, МГУ ИМЕНИ М.В.ЛОМОНОСОВА, МОСКОВСКИЙ УНИВЕРСИТЕТ ИЛИ МГУ;13;1;0;0;обойдено
7728171283;"ФГУП ""НПЦАП""";35;9;0;0;обойдено
9706009675;"АО ""АЙСОРС""";25;6;3;0;обойдено
5001000066;"АО ""КРИОГЕНМАШ""";40;18;1;0;обойдено
7737106202;ГСП Ремонт;18;3;0;0;обойдено
1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";18;2;0;0;обойдено
5920000593;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""";15;3;0;0;обойдено
7017156263;"ООО ""ГАЗПРОМ МЕТАНОЛ""";40;10;0;0;обойдено
