organizator;inn_organizatora;inn_primechanie;zakazchiki;inn_zakazchikov;predmet;summa;data_publikacii;region;stadiya;tip_procedury;sekciya;reestrovyy_nomer;ssylka;zapros;centrobezhnyy_predmet;centro_priznak;centro_shum
"ФГУП ""НПЦАП""";7728171283;;"ФГУП ""НПЦАП""";7728171283;Вентиляторы центробежные;136606.0;2019-10-10;Москва;completed;Запрос котировок;Закупки.Бизнес223;31908386788;https://etpgpb.ru/procedures/etp/276982-ventilyatory-tsentrobezhnye/;центробежный;да;центробежный+газовая машина;
"ООО ""КНГК-ГРУПП""";2311140501;;"ООО ""КНГК-ГРУПП""";2311140501;Поставка центробежного вентилятора;0.0;2023-02-02;Краснодарский край;commission;Запрос предложений;Закупки.Бизнес;ГП302342;https://etpgpb.ru/procedures/etp/739008-postavka-tsentrobezhnogo-ventilyatora/;центробежный;да;центробежный+газовая машина;
ПАО НПОИСКРА;5907001774;;ПАО НПОИСКРА;5907001774;вентилятор центробежный GR25V_41P.ZC.AR;;2020-06-05;Пермский край;completed;Предварительный отбор\Квалификационный отбор;Закупки.Бизнес;ГП006712;https://etpgpb.ru/procedures/etp/357866-ventilyator-tsentrobezhnyy-gr25v-41p-zc-ar/;центробежный;да;центробежный+газовая машина;
"ООО ""ЗАРУБЕЖНЕФТЬ-добыча Харьяга""";9701011913;;"ООО ""ЗАРУБЕЖНЕФТЬ-добыча Харьяга""";9701011913;Поставка воздуходувки центробежной;0.0;2023-01-18;Москва;completed;Запрос предложений;Закупки.Бизнес;ГП313520;https://etpgpb.ru/procedures/etp/731754-postavka-vozduhoduvki-tsentrobezhnoy/;центробежный+воздуходувная+воздуходувка;да;"воздуходувка; центробежный+газовая машина";
АО КРИОГЕНМАШ;5001000066;;АО КРИОГЕНМАШ;5001000066;Закупка центробежного компрессора азотного;;2017-10-23;Московская область;completed;Запрос предложений;Закупки.Бизнес;ГП722624;https://etpgpb.ru/procedures/etp/120847-zakupka-tsentrobezhnogo-kompressora-azotnogo/;компрессор+центробежный;да;центробежный+газовая машина;
"АО ""КРИОГЕНМАШ""";;нет в словаре площадки;АО КРИОГЕНМАШ;5001000066;Центробежный дожимающий компрессор, проект Магнитогорск;;2016-12-16;Московская область;completed;Запрос котировок;Закупки.Бизнес;ГП612861;https://etpgpb.ru/procedures/etp/80875-tsentrobezhnyy-dozhimayuschiy-kompressor-proekt-magnitogorsk/;компрессор+центробежный;да;центробежный+компрессор;
"АО ""КРИОГЕНМАШ""";;нет в словаре площадки;АО КРИОГЕНМАШ;5001000066;Запрос предложений на поставку воздушного центробежного компрессора;;2015-05-22;Московская область;completed;Запрос предложений;Закупки.Бизнес;ГП505440;https://etpgpb.ru/procedures/etp/25725-zapros-predlozheniy-na-postavku-vozdushnogo-tsentrobezhnogo-kompressora/;компрессор+центробежный;да;центробежный+газовая машина;
"АО ""КРИОГЕНМАШ""";;нет в словаре площадки;АО КРИОГЕНМАШ;5001000066;Запрос предложений на поставку центробежных воздушных компрессоров;;2014-12-02;Московская область;completed;Запрос предложений;Закупки.Бизнес;ГП412036;https://etpgpb.ru/procedures/etp/16318-zapros-predlozheniy-na-postavku-tsentrobezhnyh-vozdushnyh-kompressorov/;компрессор+центробежный;да;центробежный+компрессор;
"АО ""КРИОГЕНМАШ""";;нет в словаре площадки;АО КРИОГЕНМАШ;5001000066;Запрос (ценовых) котировок на центробежный компрессор, проект Азербайджан;;2016-03-11;Московская область;completed;Запрос котировок;Закупки.Бизнес;ГП603444;https://etpgpb.ru/procedures/etp/48750-zapros-tsenovyh-kotirovok-na-tsentrobezhnyy-kompressor-proekt-azerbaydzhan/;компрессор+центробежный;да;центробежный+газовая машина;
ФИЛИАЛ ООО КРИОГАЗ В Г. ЕКАТЕРИНБУРГ;5001071638;;ФИЛИАЛ ООО КРИОГАЗ В Г. ЕКАТЕРИНБУРГ;5001071638;Поставка запасных частей для центробежных компрессоров Ingerssoll Rand  (Cameron compression systems);39675.16;2019-01-18;Свердловская область;completed;Запрос предложений;Закупки.Бизнес;ГП913224;https://etpgpb.ru/procedures/etp/199839-postavka-zapasnyh-chastey-dlya-tsentrobezhnyh-kompressorov-ingerssoll-rand-cameron-compression-systems/;компрессор+центробежный;да;центробежный+газовая машина;
"АО ""ТБАНК""";;нет в словаре площадки;"АО ""ТБАНК""";;Исследование рынка поставщиков центробежных вентиляторов в рамках проекта строительства ЦОД;0.0;2025-04-16;Москва;commission;Предварительный отбор;Закупки.Бизнес;ГП528852;https://etpgpb.ru/procedures/etp/1108255-issledovanie-rynka-postavschikov-tsentrobezhnyh-ventilyatorov-v-ramkah-proekta-stroitelstva-tsod/;центробежный;да;центробежный+газовая машина;
"АО ""КРИОГЕНМАШ""";;нет в словаре площадки;АО КРИОГЕНМАШ;5001000066;Запрос предложений на поставку центробежного воздушного компрессора;;2016-01-15;Московская область;completed;Запрос предложений;Закупки.Бизнес;ГП601224;https://etpgpb.ru/procedures/etp/42797-zapros-predlozheniy-na-postavku-tsentrobezhnogo-vozdushnogo-kompressora/;компрессор+центробежный;да;центробежный+компрессор;
"АО ""КРИОГЕНМАШ""";;нет в словаре площадки;АО КРИОГЕНМАШ;5001000066;Запрос (ценовых) котировок на Центробежные воздушные компрессора;;2016-06-28;Московская область;completed;Запрос котировок;Закупки.Бизнес;ГП618267;https://etpgpb.ru/procedures/etp/61968-zapros-tsenovyh-kotirovok-na-tsentrobezhnye-vozdushnye-kompressora/;компрессор+центробежный;да;центробежный+компрессор;
"АО ""КРИОГЕНМАШ""";;нет в словаре площадки;АО КРИОГЕНМАШ;5001000066;Запрос (ценовых) котировок на центробежный компрессор, проект Азербайджан;;2016-04-15;Московская область;completed;Запрос котировок;Закупки.Бизнес;ГП604787;https://etpgpb.ru/procedures/etp/53410-zapros-tsenovyh-kotirovok-na-tsentrobezhnyy-kompressor-proekt-azerbaydzhan/;компрессор+центробежный;да;центробежный+газовая машина;
"АО ""КРИОГЕНМАШ""";;нет в словаре площадки;АО КРИОГЕНМАШ;5001000066;Запрос (ценовых) котировок на центробежный компрессор, проект Азербайджан;0.0;2016-06-02;Московская область;completed;Запрос котировок;Закупки.Бизнес;ГП606125;https://etpgpb.ru/procedures/etp/59039-zapros-tsenovyh-kotirovok-na-tsentrobezhnyy-kompressor-proekt-azerbaydzhan/;компрессор+центробежный;да;центробежный+газовая машина;
"АО ""КРИОГЕНМАШ""";;нет в словаре площадки;АО КРИОГЕНМАШ;5001000066;Запрос предложений на поставку дожимного воздушного центробежного компрессора;;2015-05-22;Московская область;completed;Запрос предложений;Закупки.Бизнес;ГП505441;https://etpgpb.ru/procedures/etp/25727-zapros-predlozheniy-na-postavku-dozhimnogo-vozdushnogo-tsentrobezhnogo-kompressora/;компрессор+центробежный;да;центробежный+газовая машина;
ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;;нет в словаре площадки;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;;25/ДТМЦ ЗИП на турбокомпрессор центробежный ТА-6000;0.0;2024-08-23;Республика Башкортостан;completed;Предварительный отбор;Закупки.Бизнес;ГП456273;https://etpgpb.ru/procedures/etp/998821-25-dtmts-zip-na-turbokompressor-tsentrobezhnyy-ta-6000/;турбокомпрессор+центробежный;да;"турбокомпрессор; центробежный+газовая машина";
"ПАО ""УРАЛМАШЗАВОД""";6663005798;;"ПАО ""УРАЛМАШЗАВОД""";6663005798;Центробежный вентилятор в комплекте с электродвигателем (аналоги рассматриваются);;2020-08-03;Свердловская область;completed;Запрос предложений;Закупки.Бизнес;ГП008092;https://etpgpb.ru/procedures/etp/377103-tsentrobezhnyy-ventilyator-v-komplekte-s-elektrodvigatelem-analogi-rassmatrivayutsya/;центробежный;да;центробежный+газовая машина;
АО РАТЕП;5043000212;;АО РАТЕП;5043000212;Открытый аукцион в электронной форме на право заключения договора купли-продажи вентиляторов центробежных.;122944.2;2016-04-20;Московская область;completed;Аукцион на понижение;Закупки.Бизнес223;ГП604974;https://etpgpb.ru/procedures/etp/53840-otkrytyy-auktsion-v-elektronnoy-forme-na-pravo-zaklyucheniya-dogovora-kupli-prodazhi-ventilyatorov-tsentrobezhnyh/;центробежный;да;центробежный+газовая машина;
"АО ""КРИОГЕНМАШ""";;нет в словаре площадки;АО КРИОГЕНМАШ;5001000066;Запрос предложений на поставку Центробежного воздушного компрессора, проект ЗапСибНефтехим;;2016-03-30;Московская область;completed;Запрос предложений;Закупки.Бизнес;ГП615583;https://etpgpb.ru/procedures/etp/51464-zapros-predlozheniy-na-postavku-tsentrobezhnogo-vozdushnogo-kompressora-proekt-zapsibneftehim/;компрессор+центробежный;да;центробежный+компрессор;
"ООО ""ГАЗПРОМНЕФТЬ -СМ""";7728640182;;"ООО ""ГАЗПРОМНЕФТЬ -СМ""";7728640182;Поставка газодинамического торцевого уплотнения для центробежного компрессора;0.0;2022-07-15;Санкт-Петербург;completed;Конкурентный отбор;Закупки.Бизнес;АП023641;https://etpgpb.ru/procedures/etp/658258-postavka-gazodinamicheskogo-tortsevogo-uplotneniya-dlya-tsentrobezhnogo-kompressora/;компрессор+центробежный;да;центробежный+газовая машина;
АО РКЦ ПРОГРЕСС;;нет в словаре площадки;АО РКЦ ПРОГРЕСС;;Ремонт центробежного компрессора К-500-61-1;4545497.24;2019-09-25;Самарская область;completed;Запрос предложений в электронной форме для СМСП;Закупки.Бизнес223;31908336967;https://etpgpb.ru/procedures/etp/272388-remont-tsentrobezhnogo-kompressora-k-500-61-1/;компрессор+центробежный;да;центробежный+газовая машина;
