inn;company_id;predpriyatie;vsego_na_ploshchadke;vzyato;zakupok;po_sekciyam;pochemu
5610058025;2;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2567;2567;2551;"{""fz223"": 878, ""commerce"": 937, ""gazprom"": 1630, ""trade_portal"": 722, ""nelikvid"": 213}";обойдено
7017156263;8;"ООО ""ГАЗПРОМ МЕТАНОЛ""";1806;1806;1796;"{""fz223"": 918, ""commerce"": 813, ""gazprom"": 986, ""trade_portal"": 757, ""nelikvid"": 56}";обойдено
﻿inn;company_id;predpriyatie;vsego_na_ploshchadke;vzyato;zakupok;po_sekciyam;pochemu
5610058025;2;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2567;2567;2551;"{""fz223"": 878, ""commerce"": 937, ""gazprom"": 1630, ""trade_portal"": 722, ""nelikvid"": 213}";обойдено
7017156263;8;"ООО ""ГАЗПРОМ МЕТАНОЛ""";1806;1806;1796;"{""fz223"": 918, ""commerce"": 813, ""gazprom"": 986, ""trade_portal"": 757, ""nelikvid"": 56}";обойдено
7736046504;11;АВИАПРЕДПРИЯТИЕ ГАЗПРОМ АВИА;3868;3868;3868;"{""fz223"": 3868, ""gazprom"": 3865}";обойдено
7736186950;15;"ООО ""ГАЗПРОМ ЭНЕРГО""";2213;2213;2213;"{""fz223"": 2139, ""commerce"": 54, ""gazprom"": 2155, ""trade_portal"": 54}";обойдено
8617002073;50;"ООО ""ГАЗПРОМ ТРАНСГАЗ СУРГУТ""";2559;2559;2541;"{""fz223"": 1351, ""commerce"": 796, ""gazprom"": 1762, ""trade_portal"": 682, ""nelikvid"": 114}";обойдено
3006006420;59;"ООО ""ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ""";2568;2568;2435;"{""fz223"": 1431, ""commerce"": 1126, ""gazprom"": 1440, ""trade_portal"": 691, ""nelikvid"": 433}";обойдено
8904034777;63;"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";4455;4455;4287;"{""fz223"": 2108, ""commerce"": 2340, ""gazprom"": 2099, ""trade_portal"": 1109, ""nelikvid"": 1129}";обойдено
5612002437;89;АО АК № 1825;518;518;518;"{""fz223"": 155, ""commerce"": 343, ""gazprom"": 175, ""trade_portal"": 341, ""nelikvid"": 2}";обойдено
0266008329;110;"ОАО ""Газпром нефтехим Салават""";900;900;887;"{""fz223"": 865, ""commerce"": 35, ""gazprom"": 419, ""nelikvid"": 17}";обойдено
0266036534;111;"АО ""СХЗ"" (ИНН 0266036534)";267;267;267;"{""fz223"": 267, ""gazprom"": 20}";обойдено
0263009557;123;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";55;55;55;"{""fz223"": 49, ""commerce"": 6, ""gazprom"": 26}";обойдено
5913001268;159;"АО ""МЕТАФРАКС КЕМИКАЛС""";1;1;1;"{""commerce"": 1}";обойдено
7204095194;226;"ООО ""ТЮМЕНЬ ВОДОКАНАЛ""";2375;2375;2375;"{""fz223"": 2364, ""commerce"": 11}";обойдено
3445042160;254;"ООО ""ГАЗПРОМ ТРАНСГАЗ ВОЛГОГРАД""";388;388;386;"{""commerce"": 388, ""trade_portal"": 355, ""nelikvid"": 12}";обойдено
6901093516;270;Тверь Водоканал;354;354;354;"{""fz223"": 354}";обойдено
2722010040;342;"АО ""ННК-ХАБАРОВСКИЙ НПЗ""";265;265;265;"{""commerce"": 265}";обойдено
5003063216;372;"ООО ""КРИОГАЗ СЕВЕРО-ЗАПАД""";114;114;114;"{""fz223"": 34, ""commerce"": 80}";обойдено
4629026667;418;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ ГОРОДА КУРСКА""";1;1;1;"{""fz223"": 1}";обойдено
5257086827;437;"АО ""НИЖЕГОРОДСКИЙ ВОДОКАНАЛ""";2162;2162;2162;"{""fz223"": 2038, ""commerce"": 124, ""trade_portal"": 4, ""nelikvid"": 113}";обойдено
2633001291;494;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" ГОРОДА СТАВРОПОЛЯ";96;96;96;"{""commerce"": 96}";обойдено
7840346335;718;"АО ""ГРУППА ""ИЛИМ""";1;1;1;"{""commerce"": 1}";обойдено
6625004271;719;"АО ""ПНТЗ""";3;3;3;"{""commerce"": 3}";обойдено
0266033685;734;"ООО ""ПВК""";901;901;901;"{""fz223"": 811, ""commerce"": 75, ""gazprom"": 407, ""trade_portal"": 21}";обойдено
1102054991;823;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";9;9;9;"{""commerce"": 9}";обойдено
3445042160;1838;"ООО ""ГАЗПРОМ ТРАНСГАЗ ВОЛГОГРАД""";1394;1394;1394;"{""fz223"": 892, ""gazprom"": 1393}";обойдено
7707049388;4502;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""";25754;4140;4132;"{""fz223"": 5, ""commerce"": 25749, ""trade_portal"": 25605, ""nelikvid"": 104}";взято не всё, потолок площадки
5001071638;4625;"ООО ""КРИОГАЗ"" (ИНН 5001071638)";146;146;146;"{""fz223"": 1, ""commerce"": 145}";обойдено
2511040110;4643;"МУП ""УССУРИЙСК-ВОДОКАНАЛ""";89;89;89;"{""fz223"": 87, ""commerce"": 2, ""trade_portal"": 2}";обойдено
7806151791;4799;АО РЭПХ;742;742;742;"{""commerce"": 742, ""geh_group"": 742}";обойдено
7703647595;4819;"АО ""ОХК ""УРАЛХИМ""";41;41;41;"{""commerce"": 41}";обойдено
0268008010;4826;"АО ""БСК""";85;85;28;"{""commerce"": 85, ""nelikvid"": 78}";обойдено
7118004789;4849;"ОАО ""Щекиноазот""";0;0;0;{};обойдено
7404052938;4864;АО Златмаш;2357;2357;2355;"{""fz223"": 2191, ""commerce"": 166, ""nelikvid"": 158}";обойдено
5001000066;4868;"АО ""КРИОГЕНМАШ""";7105;4000;4000;"{""commerce"": 7105, ""nelikvid"": 1}";взято не всё, потолок площадки
1434045743;4934;Эльгауголь;1134;1134;1134;"{""fz223"": 1, ""commerce"": 1133, ""nelikvid"": 1}";обойдено
7712025390;4936;АО ГИПРОКИСЛОРОД;653;653;653;"{""commerce"": 653}";обойдено
9701011913;4969;"ООО ""ЗАРУБЕЖНЕФТЬ-ДОБЫЧА ХАРЬЯГА""";2096;2096;2096;"{""fz223"": 3, ""commerce"": 2093, ""trade_portal"": 29}";обойдено
3834002314;4971;"ПАО ""КОРШУНОВСКИЙ ГОК""";1246;1246;1246;"{""commerce"": 1246}";обойдено
4214000608;4976;"ПАО ""ЮЖНЫЙ КУЗБАСС""";2996;2996;2996;"{""commerce"": 2996, ""nelikvid"": 6}";обойдено
