klyuch;procedure_id;nomer;predmet;zakazchik;slug;inn;v_ocheredi;summa;data;sekciya;ssylka
компрессор;302574;31908540874;Компрессор;АО РКЦ ПРОГРЕСС;ao-raketno-kosmicheskiy-tsentr-progress;6312139922;;455120.12;2019-11-20;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/290673-kompressor/
компрессор;215241;31807372268;Компрессоры и ЗИП для компрессоров;"ФГУП ""НПЦАП""";fgup-nauchno-proizvodstvennyy-tsentr-avtomatiki-i-priborostroeniya-imeni-akademika-napilyugina-1;7728171283;да;123927.2;2018-12-27;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/196892-kompressory-i-zip-dlya-kompressorov/
компрессор;233745;31907660200; Компрессоры и ЗИП для компрессоров;"ФГУП ""НПЦАП""";fgup-nauchno-proizvodstvennyy-tsentr-avtomatiki-i-priborostroeniya-imeni-akademika-napilyugina-1;7728171283;да;173572.52;2019-03-20;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/218068-kompressory-i-zip-dlya-kompressorov/
компрессор;330575;32008886119;Компрессоры;"ФГУП ""НПЦАП""";fgup-nauchno-proizvodstvennyy-tsentr-avtomatiki-i-priborostroeniya-imeni-akademika-napilyugina-1;7728171283;да;1535662.1;2020-02-17;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/321271-kompressory/
компрессор;670085;32211068296;Компрессор;АО РКЦ ПРОГРЕСС;ao-raketno-kosmicheskiy-tsentr-progress;6312139922;;1924566.0;2022-01-26;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/591686-kompressor/
компрессор;503325;32110190652;Компрессор;АО ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ТУЛА;ao-gazprom-gazoraspredelenie-tula;7107029245;;1856040.0;2021-04-14;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/472436-kompressor/
компрессор;305041;31908570159;Винтовые компрессоры;АО РКЦ ПРОГРЕСС;ao-raketno-kosmicheskiy-tsentr-progress;6312139922;;1300000.0;2019-11-26;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/293092-vintovye-kompressory/
компрессор;204371;ГП811425;запчасти для компрессоров ДЭН;"ООО ""УК ""КОЛМАР""";ooo-upravlyayuschaya-kompaniya-kolmar;7701924275;;;2018-11-07;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/185672-zapchasti-dlya-kompressorov-den/
компрессор;1557494;ГП529132;Компрессор;"АО ""МОСКОКС""";ao-moskovskiy-koksogazovyy-zavod;5003003915;;0.0;2025-05-21;Закупки.Бизнес;https://etpgpb.ru/procedure/tender/etp/1120338-kompressor/
компрессор;558960;32110485637;Компрессоры спиральные;"ФГУП ""НПЦАП""";fgup-nauchno-proizvodstvennyy-tsentr-avtomatiki-i-priborostroeniya-imeni-akademika-napilyugina-1;7728171283;да;169032.61;2021-07-20;Закупки.Бизнес223;https://etpgpb.ru/procedure/tender/etp/512734-kompressory-spiralnye/
