company_id;name;inn;kpp;slug
1;Газпром геологоразведка;2460066149;720301001;ooo-gazprom-geologorazvedka-1
2;"ООО ""Газпром добыча Оренбург""";5610058025;997250001;ooo-gazprom-dobycha-orenburg
3;ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ;6608007434;667001001;ooo-gazprom-transgaz-ekaterinburg-1
4;АО ГАЗПРОМ КОСМИЧЕСКИЕ СИСТЕМЫ;5018035691;505001001;ao-gazprom-kosmicheskie-sistemy
5;Газпром экспорт;7706193766;784001001;ooo-gazprom-eksport
6;"ООО ""Газпром добыча Ноябрьск""";8905026850;997250001;ooo-gazprom-dobycha-noyabrsk
7;Востокгазпром;7017005296;701701001;oao-vostokgazprom
8;Газпром метанол;7017156263;701701001;ooo-sibirskaya-metanolnaya-himicheskaya-kompaniya
11;АВИАПРЕДПРИЯТИЕ ГАЗПРОМ АВИА;7736046504;775101001;aviapredpriyatie-gazprom-avia
12;ООО Газпром центрремонт;5050073540;997250001;ooo-gazprom-tsentrremont
14;ГАЗПРОМ ГЕОТЕХНОЛОГИИ;7719002546;780101001;ooo-gazprom-geotehnologii
15;«Газпром энерго»;7736186950;772801001;ooo-gazprom-energo
16;"ООО ""Лазурная""";2319070831;231901001;ooo-lazurnaya
17;"ООО ""Газпром подземремонт Уренгой""";8904051130;891450001;ooo-gazprom-podzemremont-urengoy
18;Каневской ЗГА;2334013965;233401001;ooo-kanevskoy-zavod-gazovoy-apparatury
19;"ООО ""Газпром телеком""";7740000020;772801001;ooo-gazprom-svyaz
20;Газпромтранс;7728262893;772801001;ooo-gazpromtrans
21;"ООО ""Газпром трансгаз Нижний Новгород""";5260080007;997250001;ooo-gazprom-transgaz-nizhniy-novgorod-1
22;ООО «Газпром трансгаз Югорск»;8622000931;862201001;ooo-gazprom-transgaz-yugorsk
23;ТюменНИИгипрогаз;7203095297;720301001;ooo-tyumenniigiprogaz
25;«Газпром трансгаз Санкт-Петербург»;7805018099;781001001;ooo-gazprom-transgaz-sankt-peterburg-1
26;ОЗОН;5609026406;561001001;ooo-po-ozdorovleniyu-organizatsii-otdyha-i-uslug-v-oblasti-kultury-i-sporta-ozon
27;КЗИТ;7411015454;743001001;ooo-kopeyskiy-zavod-izolyatsii-trub
28;АО «Дальтрансгаз»;6500000930;272001001;ao-daltransgaz
32;АО Газпром добыча Томск;7019035722;701701001;oao-tomskgazprom
34;ПАО ГАЗПРОМ;7736050003;781401001;pao-gazprom
35;"ООО ""Газпром добыча Краснодар""";2308065678;230801001;ooo-gazprom-dobycha-krasnodar
36;«Газпром межрегионгаз»;5003021311;781301001;ooo-gazprom-mezhregiongaz
37;ГАЗПРОМ МОРСКИЕ ПРОЕКТЫ;2466091092;246001001;ooo-krasnoyarskgazprom-neftegazproekt
39;"ООО ""Газпром информ""";7727696104;772701001;ooo-gazprom-inform
43;Курортный комплекс Надежда;2304030699;230401001;ooo-kurortnyy-kompleks-nadezhda
44;ЗАО Газпром инвест Юг;7728260399;772801001;zao-gazprom-invest-yug-1
46;«Газпром трансгаз Ухта»;1102024468;110201001;ooo-gazprom-transgaz-uhta
47;"ООО ""ГАЗПРОМ ГАЗНАДЗОР""";7740000051;772701001;ooo-gazprom-gaznadzor-1
49;"ООО ""Газпром трансгаз Казань""";1600000036;166001001;ooo-gazprom-transgaz-kazan
50;ГАЗПРОМ ТРАНСГАЗ СУРГУТ;8617002073;860201001;ooo-gazprom-transgaz-surgut
52;ГАЗПРОМ ДОБЫЧА НАДЫМ;8903019871;890301001;ooo-gazprom-dobycha-nadym
55;Газпром СПГ Владивосток;7736182401;253101001;ooo-gazprom-spg-vladivostok
58;ГАЗПРОМ ТРАНСГАЗ СТАВРОПОЛЬ;2636032629;263601001;ooo-gazprom-transgaz-stavropol
59;ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ;3006006420;301501001;ooo-gazprom-dobycha-astrahan
61;"ООО ""Газпром газобезопасность""";5003028148;775101001;ooo-gazprom-gazobezopasnost-1
63;"ООО ""Газпром добыча Ямбург""";8904034777;890401001;ooo-gazprom-dobycha-yamburg
64;АО «Центргаз»;7107002282;710701001;ao-tsentrgaz-1
65;АО ГИПРОГАЗЦЕНТР;5260900490;526001001;ao-giprogaztsentr-1
66;"ООО ""Газпром трансгаз Краснодар""";2308128945;997250001;ooo-gazprom-transgaz-krasnodar
69;Газпром экспо;7736045557;783801001;ooo-gazprom-ekspo
71;«Газпром трансгаз Саратов»;6453010110;645301001;ooo-gazprom-transgaz-saratov
73;"ООО ""Газпром добыча кузнецк""";4216000032;420501001;ooo-gazprom-dobycha-kuznetsk
74;«Газпром трансгаз Самара»;6315000291;631601001;ooo-gazprom-transgaz-samara
75;"ООО ""Газпром Персонал""";7728794168;772801001;ooo-gazprom-personal
78;"ООО ""Газпром ВНИИГАЗ""";5003028155;500301001;ooo-nauchno-issledovatelskiy-institut-prirodnyh-gazov-i-gazovyh-tehnologiy-gazprom-vniigaz
79;"АО ""Дружба""";5030019801;775101001;oao-druzhba
82;Газпром подземремонт Оренбург;5610113519;561001001;ooo-gazprom-podzemremont-orenburg
84;ПАО ТМ;7203001556;720301001;pao-tyumenskie-motorostroiteli
85;"АО ""Газэнергосервис""";7709105630;770901001;oao-gazenergoservis
86;"АО ""Газпром центрэнергогаз""";5050002450;505001001;ao-gazprom-tsentrenergogaz
87;Молния Ямал;2355002668;236501001;jbschestvo-s-ogranichennoy-otvetstvennostyu-molniya-yamal
89;АО АК № 1825;5612002437;561201001;zao-avtokolonna-1825
90;ДОК Сигнал;2304044300;230401001;ooo-detskiy-ozdorovitelnyy-kompleks-signal
92;КЗГО;6147018880;614701001;ooo-kamenskiy-zavod-gazoispolzuyuschego-oborudovaniya
93;САНАТОРИЙ ОРЕН-КРЫМ;9110004614;911001001;ooo-sanatoriy-oren-krym
94;ПАО «Газпром спецгазавтотранс»;1834100050;184001001;pao-gazprom-spetsgazavtotrans
95;НовосибирскНГП;5401156540;540101001;oao-novosibirskneftegazpererabotka
96;АО ГСП ОРГЭНЕРГОГАЗ;5003000696;781001001;ao-gazprom-orgenergogaz
97;Газпром торг Томск;5610057871;701401001;ooo-gazprom-torg-tomsk
99;"ООО ""Кавказгазторг""";2607011991;260701001;ooo-kavkazgaztorg
100;Юггазторг;3006006371;300601001;ooo-yuggaztorg
101;Газпром СПГ Портовая;7728173890;783801001;ooo-gazprom-spg-sankt-peterburg
102;"ООО ""Газ-Ойл""";3906229324;772801001;ooo-gaz-oyl
103;ГАЗПРОМ ТОРГ КРАСНОДАР;2308066022;230801001;ooo-gazprom-torg-krasnodar
