employer;hits;queries;agency;profile_match;inn;egrul_name;okved;region;ruk;ruk_post;match_score;sugg_total
Холдинг Селигдар;13;главный энергетик;;да;1402047184;"ПАО ""СЕЛИГДАР""";70.10;Респ Саха (Якутия);Татаринов Сергей Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
ООО Газпром трансгаз Томск;9;начальник компрессорной станции;;да;7017005289;"ООО ""ГАЗПРОМ ТРАНСГАЗ ТОМСК""";49.50.21;Томская обл;Бородин Владислав Иванович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
Сибирская генерирующая Компания;7;"главный инженер; главный энергетик; начальник компрессорной станции";;;7709832989;"ООО ""СИБИРСКАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ""";70.22;г Москва;Кузнецов Сергей Владимирович;ИСПОЛНИТЕЛЬНЫЙ ДИРЕКТОР;1.0;8
Группа Компаний Петро Велт Технолоджис;7;начальник компрессорной станции;;;7706425914;"ООО ""ПЕТРО ВЕЛТ ТЕХНОЛОДЖИС""";70.22;г Москва;Трегубов Андрей Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
ООО Газпром гелий сервис;7;начальник компрессорной станции;;да;2502052817;"ООО ""ГАЗПРОМ ГЕЛИЙ СЕРВИС""";49.41.1;Приморский край;Бриш Любовь Александровна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;2
ООО ПМЗ;6;начальник компрессорной станции;;;;;;;;;;8
Мираторг, Агропромышленный холдинг;5;"главный инженер; главный механик";;да;7704669440;"ООО ""АПХ ""МИРАТОРГ""";70.22;Московская обл;Линник Виктор Вячеславович;ПРЕЗИДЕНТ;0.5;1
ООО Сервис Инжиниринг Системс;5;начальник компрессорной станции;;;;;;;;;;2
АО ДГК;5;начальник компрессорной станции;;;;;;;;;;7
ООО Тридерзет;5;начальник компрессорной станции;;;7300028666;"ООО ""ТРИДЕРЗЕТ""";43.99;Ульяновская обл;Дерябин Никита Павлович;ДИРЕКТОР;1.0;1
Лента, федеральная розничная сеть, Гипермаркет;4;главный инженер;;;7814148471;"ООО ""ЛЕНТА""";47.11;г Санкт-Петербург;Сорокин Владимир Леонидович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
Красное Белое, розничная сеть;4;"главный инженер; главный энергетик; главный механик";;;2543091558;"ООО ""БЕЛОЕ И КРАСНОЕ""";47.25;Приморский край;Цветов Владислав Валерьевич;ДИРЕКТОР;1.0;0
ООО РН-Транспорт;4;"главный инженер; главный механик; начальник компрессорной станции";;;0274089610;"ООО ""РН-ТРАНСПОРТ""";49.41.1;Респ Башкортостан;Валеев Ринат Фаритович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО Инжиниринговый холдинг «эВ-групп»;4;"главный инженер; главный энергетик";;;7709476057;"ООО ""ЭВ-ГРУПП""";70.22;г Москва;Шиганов Александр Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
Кадровое агентство ИМПЕРИЯ КАДРОВ;4;главный энергетик;да;;;;;;;;;1
АО КРЫМТЭЦ;4;"главный энергетик; начальник компрессорной станции";;да;9102070194;"АО ""КРЫМТЭЦ""";35.14;Респ Крым;Лукиных Алексей Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Отель-Т;4;главный механик;;;2512305792;"ООО ""ОТЕЛЬ-Т""";55.10;Приморский край;Демидчик Ульяна Петровна;ДИРЕКТОР;1.0;8
АО «Интер РАО – Электрогенерация» (Электрогенерация);4;начальник компрессорной станции;;;7704784450;"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";35.11.1;г Москва;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР РАО-УПРАВЛЕНИЕ ЭЛЕКТРОГЕНЕРАЦИЕЙ""";;1.0;0
ООО УК Энергофит;4;начальник компрессорной станции;;да;7751264433;"ООО ""УК ЭНЕРГОФИТ""";70.10;г Москва;Зюков Максим Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Русская Платина;4;начальник компрессорной станции;;да;7704609673;"ООО ""РУССКАЯ ПЛАТИНА""";70.10.1;г Москва;Оздамиров Ислам Хамзатович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;3
ООО Финмаркт;3;"главный инженер; главный энергетик; главный механик";;;7704650103;"ООО ""ФИНМАРКТ""";68.20;Московская обл;Астамиров Инал Магомедович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ИП Шарпилова Татьяна Викторовна;3;"главный инженер; главный энергетик; главный механик";;;;;;;;;;1
МашСталь;3;"главный инженер; главный энергетик; главный механик";;;5837053102;"ООО ""МАШСТАЛЬ""";46.77;г Москва;Комиссарова Екатерина Геннадьевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
АО ГНПП РЕГИОН;3;"главный инженер; главный механик";;;7724552070;"АО ""ГНПП ""РЕГИОН""";25.40;г Москва;Крылов Игорь Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;3
АО НПП Респиратор;3;"главный инженер; главный энергетик; главный механик";;;5034050231;"АО ""НПП ""РЕСПИРАТОР""";30.30.5;Московская обл;Климов Андрей Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;2
ПАО ТАТТЕЛЕКОМ;3;"главный инженер; главный энергетик";;;1681000024;"ПАО ""ТАТТЕЛЕКОМ""";61.10.1;Респ Татарстан;Нурутдинов Айрат Рафкатович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;2
ООО Максигрупп;3;"главный инженер; главный энергетик";;;9705136582;"ООО ""МАКСИГРУПП""";46.69;г Москва;Площенко Денис Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
АО МЕТАЛЛСЕРВИС;3;"главный инженер; главный энергетик; главный механик";;да;7721040281;"АО ""МЕТАЛЛСЕРВИС""";46.72;г Москва;Манченко Александр Петрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
MacCoffee;3;главный энергетик;;;;;;;;;;0
Группа Компаний Мечел;3;"главный энергетик; главный механик";;;7703370008;"ПАО ""МЕЧЕЛ""";64.99;г Москва;Хафизов Игорь Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
ООО МК Астра;3;главный энергетик;;;7113013300;"ООО ""МК АСТРА""";10.12.2;Тульская обл;Белан Анна Григорьевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО Даль-Восток Сервис;3;главный механик;;;2543188430;"ООО ""ДВ СЕРВИС""";33.12;Приморский край;Горбачева Анастасия Игоревна;ДИРЕКТОР;0.5;8
Делекто;3;главный механик;;;9722089220;"АО ""ДЕЛЕКТО""";64.20;г Москва;Чемёркин Максим Андреевич;ДИРЕКТОР;1.0;8
АО Независимая нефтегазовая компания;3;начальник компрессорной станции;;да;;;;;;;;1
Ивдельское ЛПУМГ, Филиал ООО Газпром трансгаз Югорск;3;начальник компрессорной станции;;да;8622000931;ИВДЕЛЬСКОЕ ЛИНЕЙНОЕ ПРОИЗВОДСТВЕННОЕ УПРАВЛЕНИЕ МАГИСТРАЛЬНЫХ ГАЗОПРОВОДОВ (ИВДЕЛЬСКОЕ ЛПУМГ);;Свердловская обл;;;1.0;0
ООО «РУСАГРО», Сахарное бизнес-направление;3;начальник компрессорной станции;;да;7728278043;"ООО ""ГРУППА КОМПАНИЙ ""РУСАГРО""";46.36;Белгородская обл;Липатов Тимур Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
