fio;dolzhnost_doslovno;predpriyatie;inn;inn_istochnik;tip_dokumenta;pole;nomer_procedury;ssylka;data_dokumenta_ili_snyatiya;primechanie
В. А. Кузнецов;"Инициатор мероприятия: Начальник УЭПБ и ОТ";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ Ростехнадзора (ИНН и название в одной записи);техническое задание + пояснительная записка (.doc);Инициатор мероприятия;91190746;https://rostender.info/tender/91190746;2026-07-30;"в том же листе согласования он же «И.о. заместителя генерального директора (по промышленной, экологической безопасности и охране труда)»"
О. Н. Бурков;"Согласовано: Главный эколог – начальник ОЭБ";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ Ростехнадзора;техническое задание + пояснительная записка (.doc);Согласовано;91190746;https://rostender.info/tender/91190746;2026-07-30;
В. А. Кузнецов;"Инициатор мероприятия: Начальник УЭПБ и ОТ";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ Ростехнадзора;ТЗ «Аудит СУПБ по ФЗ116 2028» (.doc);Инициатор мероприятия;91231729;https://rostender.info/tender/91231729;2026-07-30;
Е. С. Егоров;"Согласовано: И.о. начальника ОПромБ";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ Ростехнадзора;ТЗ «Аудит СУПБ по ФЗ116 2028» (.doc);Согласовано;91231729;https://rostender.info/tender/91231729;2026-07-30;
В. А. Кузнецов;"Инициатор мероприятия: Начальник УЭПБиОТ";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ Ростехнадзора;ТЗ на обслуживание ПСП на 2027 год (.docx);Инициатор мероприятия;93431889;https://rostender.info/tender/93431889;2026-07-30;
М. М. Паньшин;"Согласовано: Начальник ОПБ УЭПБиОТ";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ Ростехнадзора;ТЗ на обслуживание ПСП на 2027 год (.docx);Согласовано;93431889;https://rostender.info/tender/93431889;2026-07-30;
А. М. Миронов;"Исп. А.М. Миронов 38-32";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ Ростехнадзора;ТЗ на обслуживание ПСП на 2027 год (.docx);Исп.;93431889;https://rostender.info/tender/93431889;2026-07-30;"38-32 — внутренний номер предприятия, не городской; как телефон не использовать без базового номера"
А. В. Максимов;"Инициатор мероприятия Начальник цеха №4";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ Ростехнадзора;приложение к закупке (.docx, имя файла — GUID);Инициатор мероприятия;93646780;https://rostender.info/tender/93646780;2026-07-30;
Е. В. Дьяков;"Инициатор мероприятия Начальник цеха №4";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ Ростехнадзора;ТЗ «Обследование футеровки котла-утилизатора» (.docx);Инициатор мероприятия;92902250;https://rostender.info/tender/92902250;2026-07-30;"в цехе №4 два разных инициатора в разные даты — роль привязана к цеху, не к человеку"
С. Г. Бабаян;"Инициатор мероприятия Начальник цеха №8 НПЗ";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ Ростехнадзора;ТЗ/ПЗ чистка резервуаров об. Н-641 цех 8 НПЗ (.pdf);Инициатор мероприятия;90512900;https://rostender.info/tender/90512900;2026-07-30;
Э. В. Ваганов;"Согласующие лица: Главный механик (первичной переработки НПЗ)";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ Ростехнадзора;ТЗ/ПЗ чистка резервуаров (.pdf) и ПЗ/ТЗ чистка Е-6/2 УПБ ц.3 (.docx);Согласующие лица;90512900;https://rostender.info/tender/90512900;2026-07-30;"целевая роль для компрессоров; встречается в двух процедурах (90512900, 87261648)"
П. П. Железнов;"Инициатор мероприятия Начальник цеха №11";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ Ростехнадзора;ТЗ гидромеханическая чистка змеевика печи П-2 (.docx);Инициатор мероприятия;90359187;https://rostender.info/tender/90359187;2026-07-30;
А. С. Резяпкин;"Инициатор мероприятия Начальник цеха №54";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ Ростехнадзора;ТЗ на гуммировку Ф-28/3, Ф-28/6 (.docx);Инициатор мероприятия;89695557;https://rostender.info/tender/89695557;2026-07-30;
Э. М. Кайбушев;"Инициатор мероприятия Начальник цеха №3 НПЗ";ООО «Газпром нефтехим Салават»;0266048970;реестр ЭПБ Ростехнадзора;ПЗ/ТЗ на чистку Е-6/2 УПБ ц.3 (.docx);Инициатор мероприятия;87261648;https://rostender.info/tender/87261648;2026-07-30;
Кирюхин А. М.;"Инициатор мероприятия – Начальник лаборатории";ООО «Газпром нефтехим Салават»;0266048970;"реестр ЭПБ + процедура найдена в выдаче РосТендера по этому ИНН";ТЗ НТЦ (.docx, имя файла содержит snos.ru);Инициатор мероприятия;87384864;https://rostender.info/tender/87384864;2026-07-30;
Алябьев А. С.;"Согласующие лица: Начальник НТЦ";ООО «Газпром нефтехим Салават»;0266048970;"реестр ЭПБ + процедура в выдаче по ИНН";ТЗ НТЦ (.docx);Согласующие лица;87384864;https://rostender.info/tender/87384864;2026-07-30;"в другой процедуре (92728667) он же «Зам. директора по науке и производству» — должности расходятся, требуется уточнение"
