inn;nash_zakazchik_epb;nazvanie_v_erknm;vid_nadzora;vid_knm;status;data_nachala;organ;adres_obekta;erpid;tekst_predosterezheniya;istochnik;data_sbora
1004001744;"АО ""КАРЕЛЬСКИЙ ОКАТЫШ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАРЕЛЬСКИЙ ОКАТЫШ""";Федеральный государственный надзор в области промышленной безопасности;Объявление предостережения;Предостережение объявлено;2026-06-04;СЕВЕРО-ЗАПАДНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО ЭКОЛОГИЧЕСКОМУ, ТЕХНОЛОГИЧЕСКОМУ И АТОМНОМУ НАДЗОРУ;Респ Карелия, г Костомукша, шоссе Горняков, стр 284;78260111000021962951; ПРЕДОСТЕРЕЖЕНИЕ о недопустимости нарушения обязательных требований 04 июня 2026 г. Петрозаводск Акционерное общество «Карельский окатыш» (АО «Карельский окатыш») ОГРН 1021000879316, ИНН 1004001744, юридический адрес: 186930, Республика Карелия, г. Костомукша, ш. Горняков, стр. 284 при осуществлении федерального государственного надзора в области промышленной безопасности при наблюдении за соблюдением обязательных требований (мониторинге безопасности) поступили сведения действиях (бездействии): АО «Карельский окатыш», связанных с возможными нарушениями обязательных требований или признаках нарушений обязательных требований в области промышленной безопасности, а именно: при проведении анализа данных, имеющихся у контрольного (надзорного) органа, в том числе данных, которые предоставляются контролируемыми лицами в рамках исполнения обязательных требований, а также данных, содержащихся в государственных и муниципальных информационных системах установлено, что при эксплуатации Акционерным обществом «Карельский окатыш» (АО «Карельский окатыш») ОГРН 1021000879316, ИНН 1004001744 опасного производственного объекта II класса опасности - площадка склада по хранению нефтепродуктов, с регистр;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
4200000333;"АО ""КУЗБАССЭНЕРГО""";КУЗБАССКОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЭНЕРГЕТИКИ И ЭЛЕКТРИФИКАЦИИ;Федеральный государственный надзор в области промышленной безопасности;Объявление предостережения;Предостережение объявлено;2026-06-29;СИБИРСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО ЭКОЛОГИЧЕСКОМУ, ТЕХНОЛОГИЧЕСКОМУ И АТОМНОМУ НАДЗОРУ;г Кемерово, ул Свободы, д 10;42260111000022192414; При осуществлении федерального государственного надзора в области промышленной безопасности, а именно: в соответствии со статьей 74 Федерального закона от 31.07.2020 № 248-ФЗ «О государственном контроле (надзоре) и муниципальном контроле в Российской Федерации» (далее – Закон № 248-ФЗ) при наблюдении за соблюдением обязательных требований (мониторингом безопасности) установлено следующее. В Сибирское управление Ростехнадзора поступила жалоба жителей многоквартирного дома, расположенного по адресу: г. Кемерово, пр. Ленинградский, 15А, по вопросу подтопления подвального помещения по магистральному трубопроводу тепловой сети. Вследствие подтопления происходит намокание электрооборудования, находящегося в подвальном помещении вышеуказанного жилого дома, возникает риск короткого замыкания. В соответствии с пунктами 367, 385 Федеральных норм и правил в области промышленной безопасности «Правила промышленной безопасности при использовании оборудования, работающего под избыточным давлением», утвержденных приказом Федеральной службы по экологическому, технологическому и атомному надзору от 15.12.2020 №536 (далее - ФНП ОРПД), при эксплуатации трубопроводов и арматуры в порядке, установленно;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
4221000535;"АО ""РУСАЛ НОВОКУЗНЕЦК""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУСАЛ НОВОКУЗНЕЦКИЙ АЛЮМИНИЕВЫЙ ЗАВОД""";Федеральный государственный надзор в области промышленной безопасности;Объявление предостережения;Есть возражение;2026-06-29;СИБИРСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО ЭКОЛОГИЧЕСКОМУ, ТЕХНОЛОГИЧЕСКОМУ И АТОМНОМУ НАДЗОРУ;Кемеровская область-Кузбасс, г. Новокузнецк, ул. Обнорского, 65;42260111000022192775;" При анализе сведений об организации производственного контроля за соблюдением требований промышленной безопасности Сибирским управлением Ростехнадзора получены сведения о возможных нарушениях требований промышленной безопасности, установленных: пунктом 1 статьи 9 Федерального закона от 21.07.1997 № 116 – ФЗ «О промышленной безопасности опасных производственных объектов» (далее – Федеральный закон № 116 – ФЗ), пункта 4 федеральных норм и правил в области промышленной безопасности «Правила проведения экспертизы промышленной безопасности», утвержденные приказом Федеральной службы по экологическому, технологическому и атомному надзору от 20.10.2020 № 420, (далее – ФНиП № 420). Установлено, что в АО «РУСАЛ Новокузнецк», ИНН 4221000535 имеются признаки о возможном нарушении требований промышленной безопасности, а именно: указанные в сведениях характеризующих опасный производственный объект «Участок химического производства фторсолей», рег. № А68-00343-0015 эксплуатируются следующие технические устройства с истекшим (неустановленным) сроком эксплуатации: - Насосы центробежные № 48-50; - Насосы дозировочные № 70-1, 70-2; - Трубопровод каустической соды и алюминатного раствора; - 5 теплово";ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
4312126856;"ООО ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";Федеральный государственный надзор в области промышленной безопасности;Объявление предостережения;Предостережение объявлено;2026-06-05;ЗАПАДНО-УРАЛЬСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО ЭКОЛОГИЧЕСКОМУ, ТЕХНОЛОГИЧЕСКОМУ И АТОМНОМУ НАДЗОРУ;Кировская область, г. Кирово-Чепецк, пер. Пожарный, 7, промплощадка Завод Полимеров;59260111000021975383; В Западно-Уральском Управлении Ростехнадзора имеется информация о нарушениях обязательных требований промышленной безопасности при эксплуатации опасного производственного объекта (далее-ОПО) 1. Не выполнены мероприятия дальнейшей безопасной эксплуатации здания корпуса № 144а рекомендованные к устранению подпунктом 8.2 заключения экспертизы промышленной безопасности № 43-ЗС-703858-2026 и перечисленные в Приложении 6.6 технического отчета указанного заключения экспертизы промышленной безопасности 2. В постоянный технологический регламент производства гексафторпропилена и октофторциклобутана № 01/134, утвержденный директором ООО «ГалоПолимер Кирово-Чепецк» А.Г. Гневновым 17.01.2020, не внесены изменения в связи с реконструкцией узла приема Мономера-4 из цеха № 27 в печи пиролиза на поз. 703/1,2,3,4,5,6,7, и демонтажем сборников поз. 302/1, 302/2 ;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
4312126856;"ООО ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";Федеральный государственный надзор в области промышленной безопасности;Объявление предостережения;Предостережение объявлено;2026-06-05;ЗАПАДНО-УРАЛЬСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО ЭКОЛОГИЧЕСКОМУ, ТЕХНОЛОГИЧЕСКОМУ И АТОМНОМУ НАДЗОРУ;Кировская область, г. Кирово-Чепецк, пер. Пожарный, 7, промплощадка Завод Полимеров;59260111000021979799;В Западно-Уральском Управлении Ростехнадзора имеется информация о нарушениях обязательных требований промышленной безопасности при эксплуатации опасного производственного объекта (далее-ОПО) 1.Не устранены дефекты и повреждения строительных конструкций здания корпуса № 165 рекомендованные к устранению подпунктом 1 пункта 8.2 заключения экспертизы промышленной безопасности № В009-00109-43/03670089 и перечисленные в Приложении 6.6 указанного заключения экспертизы промышленной безопасности. 2.Не устранены дефекты и повреждения строительных конструкций здания корпуса № 234 рекомендованные к устранению подпунктом 1 пункта 8.2 заключения экспертизы промышленной безопасности № В009-00109-43/04079690 и перечисленные в Приложении 6.6 указанного заключения экспертизы промышленной безопасности. 3.Не устранены дефекты и повреждения строительных конструкций здания корпуса № 238 рекомендованные к устранению подпунктом 1 пункта 8.2 заключения экспертизы промышленной безопасности № В009-00109-43/04040239 и перечисленные в Приложении 6.6 указанного заключения экспертизы промышленной безопасности. 4.В корпусе 160 системы вентиляции В-2/1, В-2/2, В-2/3, В-3/1, В-3/2, В-3/3 не исправны (часть воздухов;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
4312126856;"ООО ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";Федеральный государственный надзор в области промышленной безопасности;Объявление предостережения;Предостережение объявлено;2026-06-05;ЗАПАДНО-УРАЛЬСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО ЭКОЛОГИЧЕСКОМУ, ТЕХНОЛОГИЧЕСКОМУ И АТОМНОМУ НАДЗОРУ; Кировская область, г. Кирово-Чепецк, пер. Пожарный, 7, промплощадка Завод Полимеров;59260111000021974434;В Западно-Уральском Управлении Ростехнадзора имеется информация о нарушениях обязательных требований промышленной безопасности при эксплуатации опасного производственного объекта (далее-ОПО): 1. Не выполнены мероприятия дальнейшей безопасной эксплуатации здания корпуса № 145 рекомендованные к устранению подпунктом 8.2 заключения экспертизы промышленной безопасности № 01-ЗС-05294-2023 и перечисленные в Приложении 3.1 указанного заключения экспертизы промышленной безопасности 2. Не выполнены мероприятия рекомендованные к устранению подпунктом 1 пункта 8.2 заключения экспертизы промышленной безопасности № В009-00109-43/04073478 на здание корпуса № 145б и перечисленные в Приложении 6.6 указанного заключения экспертизы промышленной безопасности 3. Не выполнены мероприятия рекомендованные к устранению подпунктом 1 пункта 8.2 заключения экспертизы промышленной безопасности № В009-00109-43/04074000 на здание корпуса № 145а и перечисленные в Приложении 6.6 указанного заключения экспертизы промышленной безопасности;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
4823006703;"ПАО ""НЛМК""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОЛИПЕЦКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""";Федеральный государственный надзор в области промышленной безопасности;Объявление предостережения;Предостережение объявлено;2026-06-05;ВЕРХНЕ-ДОНСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО ЭКОЛОГИЧЕСКОМУ, ТЕХНОЛОГИЧЕСКОМУ И АТОМНОМУ НАДЗОРУ;48, г. Липецк, пл. Металлургов, 2;36260111000021970996;" Возможная эксплуатация технического устройства, турбокомпрессор К-3000-61-1 CTN №4, инв. №77981, предназначенного для сжатия и подачи воздуха, принадлежащее Кислородному цеху ПАО «НЛМК» по адресу: 398040, обл. Липецкая, г. Липецк, пл. Металлургов, д. 2; согласно выводам заключения экспертизы промышленной безопасности от 26.05.2026 рег.№48-ТУ-845161-2026, указанное техническое устройство не соответствует требованиям промышленной безопасности, что может привести к нарушению ст. 9 Федерального Закона от 21.07.1997 № 116-ФЗ «О промышленной безопасности опасных производственных объектов» ";ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
5191431170;"АО ""КОЛЬСКАЯ ГМК""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОЛЬСКАЯ ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ""";Федеральный государственный надзор в области промышленной безопасности;Профилактический визит;Завершено;2026-06-05;СЕВЕРО-ЗАПАДНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО ЭКОЛОГИЧЕСКОМУ, ТЕХНОЛОГИЧЕСКОМУ И АТОМНОМУ НАДЗОРУ;Мурманская обл., г.Заполярный;78260111000021870739;;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
5404037541;"ООО  ""ГОФ Анжерская""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОФ АНЖЕРСКАЯ""";Федеральный государственный надзор в области промышленной безопасности;Объявление предостережения;Предостережение объявлено;2026-06-05;СИБИРСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО ЭКОЛОГИЧЕСКОМУ, ТЕХНОЛОГИЧЕСКОМУ И АТОМНОМУ НАДЗОРУ;Кемеровская область. г. Анжеро-Судженск, ул. Войкова, 14;42260111000021968522;"В Сибирское управление Ростехнадзора поступило обращение УФСБ России по Кемеровской области – Кузбассу, о нарушениях требований федерального законодательства в области промышленной безопасности со стороны ООО «ГОФ Анжерская» (г. Анжеро – Судженск), эксплуатирующего опасный производственный объект: «Фабрика обогащения угля» (далее – Фабрика), рег. № А60-07553-0001 (далее - ОПО), по поводу ведения работ без многофункциональной системы безопасности (МФСБ), обеспечивающей мониторинг и предупреждение условий возникновения опасности аэрологического и техногенного характера; оперативный контроль соответствия технологических процессов заданным параметрам; эксплуатации систем противоаварийной защиты людей, технических устройств, зданий и сооружений, систем вентиляции и аспирации, автоматической сигнализации управления эвакуацией и оповещения людей о возникновении пожара в производственных помещениях в неработоспособном состоянии, отсутствия противопожарной защиты конвейеров, не осуществления производственного контроля за соблюдением требований промышленной безопасности, отсутствия аттестации в области промышленной безопасности у инженерно-технического персонала, экспертиз промышленной безоп";ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
7448000013;"АО ""ЧЦЗ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕЛЯБИНСКИЙ ЦИНКОВЫЙ ЗАВОД""";Федеральный государственный надзор в области промышленной безопасности;Профилактический визит;Завершено;2026-06-05;УРАЛЬСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО ЭКОЛОГИЧЕСКОМУ, ТЕХНОЛОГИЧЕСКОМУ И АТОМНОМУ НАДЗОРУ;Свердловский тракт, д. 24, г. Челябинск, Челябинская обл., 454008;66260111000021908831;;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
