nomer;data_reg;data_konec;deklarant;izgotovitel;produkt;est_v_zerkale;istochnik;data_sbora
ЕАЭС N RU Д-CN.РА05.В.89006/26;10.07.2026;09.07.2031;"Общество с ограниченной ответственностью ""НОРД СЕРВИС""";"""SHENYANG BLOWER WORKS GROUP GEAR COMPRESSOR CORPORATION""";Центробежный компрессор;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-CN.РА04.В.81009/26;08.06.2026;03.06.2031;"Общество с ограниченной ответственностью ""Уралэнергомаш""";Turbo-Tech Compressor Wuxi Cо., Ltd;Центробежный компрессор;да;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-CN.РА04.В.69602/26;01.06.2026;31.05.2027;"Общество с ограниченной ответственностью ""ВЕКТОР ТРЕЙД""";Shandong Huadong Blower Co.,Ltd;Оборудование комрессорное: Одноступенчатая воздуходувка, центробежный компрессор, модель: НКБ-75;да;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-CN.РА04.В.67975/26;01.06.2026;31.05.2031;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДВД-ГРУПП""";SHANDONG ZHANGQIU BLOWER CO., LTD.;Многоступенчатый центробежный компрессор.;да;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-CN.РА03.В.47606/26;16.04.2026;15.04.2031;"Общество с ограниченной ответственностью ""НОРД СЕРВИС""";"""Bozhuang (Lanzhou) Petrochemical Equipment Co., Ltd.""";Центробежный компрессор, позиция: 4-C-101;да;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-CN.РА03.В.37224/26;14.04.2026;13.04.2031;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНТЕХ""";Turbo-Tech Wuxi Compressor Co., Ltd.;Центробежный компрессор, модели: Mn, Mnh, Re, Ra, Ti;да;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-CN.РА02.В.77898/26;23.03.2026;22.03.2031;"Общество с ограниченной ответственностью ""НОРД СЕРВИС""";"""Bozhuang (Lanzhou) Petrochemical Equipment Co., Ltd.""";Центробежный компрессор, позиция: 1-C-301;да;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-CN.РА02.В.35762/26;05.03.2026;04.03.2031;"Общество с ограниченной ответственностью ""НОРД СЕРВИС""";"""Bozhuang (Lanzhou) Petrochemical Equipment Co., Ltd.""";Центробежный компрессор;да;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-CN.РА02.В.35753/26;05.03.2026;04.03.2031;"Общество с ограниченной ответственностью ""НОРД СЕРВИС""";"""Bozhuang (Lanzhou) Petrochemical Equipment Co., Ltd.""";Центробежный компрессор;да;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-CN.РА01.В.55014/26;09.02.2026;05.02.2031;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕОКЛИМА""";SHANGHAI HANBELL PRECISE MACHINERY CO.,LTD.;"Центробежные компрессоры используемые в холодильном оборудовании моделей RT120,130,140,160,180,200,240,260,280 c шариковыми подшипниками с панелью управления ; Центробежные компрессора моделей RTM 030,050,070,090,120,140,180,050P Magnetic Centrifugal Compressor (Inovance) with control panel (Магнитный центробежный компрессор (Inovance) с панелью управления); Центробежные компрессора моделей RTА с воздушными подшипниками серии RTA-015,020,025,035,040 с панелью управления , общей торговой марки HANBELL.Magnetic Centrifugal Compressor (Inovance) with control panel (Магнитный центробежный компрессор (Inovance) с панелью управления.)";да;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-CN.РА11.В.85764/25;19.12.2025;18.12.2030;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСПЕРТИЗА""";Zhejiang Kaishan Centrifugal Machinery CO.,LTD.;Центробежный компрессор, модели: T300, T600, T800, T1000, T1500, T2000, T3000, T4000, T6000, T8000;да;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-CN.РА11.В.85816/25;19.12.2025;18.12.2030;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСПЕРТИЗА""";Zhejiang Kaishan Centrifugal Machinery CO.,LTD.;Центробежный компрессор, модель: T2000 (210N-7-3A);да;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-CN.РА11.В.61479/25;18.12.2025;17.12.2030;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНТЕХ""";Nantong Dart-rich Fan Co., Ltd.;Центробежный компрессор, типы: DM, DHM, DML, KPM;да;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-CN.РА11.В.59775/25;12.12.2025;11.12.2030;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНТЕХ""";Nantong Dart-rich Fan Co., Ltd.;Центробежный компрессор, типы: DM, DHM, DML, KPM.;да;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
