nomer_stroki;model;strana;zakazchik_i_obekt;zakazchik;god_postavki;hvost_stroki;istochnik;data_sbora
1;Н-1100-22;Россия;Кузнецкий МК Кузнецкий МК;Кузнецкий МК;1947;Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
2;Н-3500;Украина;МЗ им.Дзержинского МЗ им.Дзержинского;МЗ им.Дзержинского;1947;1,3 4000 1 0,09 0,09 Электродвигатель Металлургия агломерационный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
3;Н-2000-31;Украина;МЗ им.Ильича МЗ им.Ильича;МЗ им.Ильича;1947;;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
4;1800 1 0,24 0,10 Паровая турбина Металлургия воздух 4 Н-4000-42;Украина;Макеевский МЗ Макеевский МЗ;Макеевский МЗ;1947;13,7 4000 1 0,29 0,10 Паровая турбина Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
5;Н-100-11;Украина;Азовсталь Азовсталь;Азовсталь;1948;0,1 100 1 0,12 0,10 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
6;Н-1100-11;Украина;Азовсталь Азовсталь;Азовсталь;1948;0,15 1100 1 0,10 0,10 Электродвигатель Металлургия коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
7;Н-1100-11;Украина;Запорожсталь МЗ Запорожсталь МЗ;Запорожсталь МЗ;1948;0,15 1100 1 0,10 0,10 Электродвигатель Металлургия коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
8;Н-1100-13;Россия;Нижнетагильский МК Нижнетагильский МК;Нижнетагильский МК;1948;0,15 1100 1 0,10 0,10 Электродвигатель Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
9;Н-3500;Украина;Макеевский МЗ Макеевский МЗ;Макеевский МЗ;1948;1,3 4000 1 0,09 0,09 Электродвигатель Металлургия агломерационный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
10;Н-2000-31;Украина;МЗ им.Ильича МЗ им.Ильича;МЗ им.Ильича;1948;4 1800 1 0,24 0,10 Паровая турбина Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
11;;;ОК-500-1 N 117;ОК-500-1 N 117;1948;0,1 500 1 0,10 0,10 Электродвигатель коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
12;Н-500-11;Украина;МЗ им. Петровского МЗ им. Петровского;МЗ им. Петровского;1949;0,1 500 1 0,10 0,10 Электродвигатель Металлургия коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
13;Н-500-12;Россия;Новомосковский жестекат.завод Новомосковский жестекат.завод;Новомосковский жестекат.завод;1949;0,1 550 1 0,11 0,10 Электродвигатель Металлургия генераторный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
14;Н-3500;Россия;Иртышский полиметаллический комбинат Иртышский полиметаллический комбинат;Иртышский полиметаллический комбинат;1949;1,3 4000 1 0,09 0,09 Электродвигатель Металлургия агломерационный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
15;Н-920-31;Украина;Донецкий МК Донецкий МК;Донецкий МК;1949;2,5 800 1 0,31 0,10 Паровая турбина/ Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
16;Н-920-31;Украина;Енакиевский МЗ Енакиевский МЗ;Енакиевский МЗ;1949;2,5 800 1 0,31 0,10 Паровая турбина/ Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
17;Н-2000-32;Россия;Алмазянский МЗ Алмазянский МЗ;Алмазянский МЗ;1950;Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
18;Н-2000-32;Россия;Свободный Сокол МЗ Свободный Сокол МЗ;Свободный Сокол МЗ;1950;Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
19;Н-100-11;Украина;Запорожсталь МЗ Запорожсталь МЗ;Запорожсталь МЗ;1950;0,1 100 1 0,12 0,10 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
20;Н-500-12;Россия;Коминтерн МЗ Коминтерн МЗ;Коминтерн МЗ;1950;0,1 550 1 0,11 0,10 Электродвигатель Металлургия генераторный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
21;Н-1100-13;Россия;Московский коксо-газовый завод Московский коксо-газовый завод;Московский коксо-газовый завод;1950;0,15 1100 1 0,10 0,10 Электродвигатель Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
22;Н-920-31;Казахстан;Прибалхашский медеплав.завод Прибалхашский медеплав.завод;Прибалхашский медеплав.завод;1950;2,5 800 1 0,31 0,10 Паровая турбина/ Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
23;ОК-500-92;Россия;Норильский комбинат Норильский комбинат;Норильский комбинат;1950;3,5 500 1 0,88 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
24;Н-3350-43;Украина;Запорожсталь МЗ Запорожсталь МЗ;Запорожсталь МЗ;1950;9 3000 1 0,29 0,27 Паровая турбина Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
25;Н-3350-43;Россия;Новолипецкий МК Новолипецкий МК;Новолипецкий МК;1950;9 3000 1 0,29 0,27 Паровая турбина Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
26;ОК-500-92;Узбекистан;Электрохимпром Электрохимпром;Электрохимпром;1950;3,5 500 1 0,88 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
27;Н-680;Казахстан;Балхашский ГМК Балхашский ГМК;Балхашский ГМК;1950;не менее 0.2 680 1 0,22 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
28;Н-1200-21;Россия;Баглейский коксо-химический завод Баглейский коксо-химический завод;Баглейский коксо-химический завод;1951;0,65 1200 1 0,13 0,09 Паровая турбина Химическая коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
29;Н-500-11;Россия;Газосланцевый завод Газосланцевый завод;Газосланцевый завод;1951;0,1 500 1 0,10 0,10 Электродвигатель Металлургия коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
30;Н-1200-21;Россия;Челябинский МК Челябинский МК;Челябинский МК;1951;0,65 1200 1 0,13 0,09 Паровая турбина Металлургия коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
31;Н-1200-23;Россия;Курьяновская станция аэрации Курьяновская станция аэрации;Курьяновская станция аэрации;1951;не менее 1.1 750 1 0,15 0,10 Электродвигатель Химическая коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
32;Н-270;Россия;Ленгаз Ленгаз;Ленгаз;1951;Газовая;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
33;Н-1200-21-1;Россия;Магнитогорский МК Магнитогорский МК;Магнитогорский МК;1951;0,65 1200 1 0,13 0,09 Паровая турбина Металлургия коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
34;Н-920-31;Украина;Енакиевский МЗ Енакиевский МЗ;Енакиевский МЗ;1951;2,5 800 1 0,31 0,10 Паровая турбина/ Электродвигатель Металлургия воздух РЕФЕРЕН;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
35;Н-670-23;Россия;Подземгаз Подземгаз;Подземгаз;1951;не менее 0.6 485 1 0,16 0,10 Электродвигатель Общего назначения энергетический г;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
36;ОК-500-92;Россия;Куйбышевуголь Куйбышевуголь;Куйбышевуголь;1951;3,5 500 1 0,88 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
37;ОК-500-2;Румыния;2;2;1951;не менее 0.2 500 1 0,12 0,10 Электродвигатель сланцевый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
38;ОК-500-2;Россия;Саратовский крекинг завод Саратовский крекинг завод;Саратовский крекинг завод;1951;не менее 0.2 500 1 0,12 0,10 Электродвигатель сланцевый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
39;ОК-500-92;Узбекистан;Электрохимпром Электрохимпром;Электрохимпром;1951;3,5 500 1 0,88 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
40;Н-2700-31;Россия;Новолипецкий МК Новолипецкий МК;Новолипецкий МК;1951;6 2150 1 0,24 0,97 Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
41;Н-1200-21;Россия;Баглейский коксо-химический завод Баглейский коксо-химический завод;Баглейский коксо-химический завод;1952;0,65 1200 1 0,13 0,09 Паровая турбина Химическая коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
