tip;id;predmet;zakazchik;cena;url_kartochki;kontaktnoe_lico;istochnik;data_sbora
B2B-закупка;5438800;Компрессор;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОХИМ ТЕРМИНАЛ УСТЬ - ЛУГА""";Не определена;https://zakupki.mos.ru/need/5438800;Митрофанов Алексей Владимирович;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;4973736;Компрессор;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ХОЗЯЙСТВЕННО-ЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ""";29 469,17 ₽;https://zakupki.mos.ru/need/4973736;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;3745344;Компрессор;МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №15;25 000,00 ₽;https://zakupki.mos.ru/need/3745344;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Котировочная сессия;9988851;КОМПРЕССОРЫ;Государственное бюджетное учреждение города Москвы «Жилищник района Ясенево» (ИНН: 7728866101);121 871,00 ₽;https://zakupki.mos.ru/auction/9988851;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
B2B-закупка;5001911;Компрессор;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЕКАМСКОЕ ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ИСКУССТВЕННЫХ КОЖ""";Не определена;https://zakupki.mos.ru/need/5001911;Байбурин Руслан;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Котировочная сессия;9566113;КОМПРЕССОРЫ;Государственное бюджетное учреждение культуры города Москвы «Детский театр эстрады» (ИНН: 7710042865);16 340,00 ₽;https://zakupki.mos.ru/auction/9566113;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;3784642;Компрессор;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАНЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ";17 200,00 ₽;https://zakupki.mos.ru/need/3784642;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;3551166;Компрессор;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""СЕРГИЕВО-ПОСАДСКАЯ РАЙОННАЯ БОЛЬНИЦА""";490 000,00 ₽;https://zakupki.mos.ru/need/3551166;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;282091;Компрессор;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ "" АВАРИЙНО-СПАСАТЕЛЬНАЯ СЛУЖБА ТИМАШЕВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ ТИМАШЕВСКОГО РАЙОНА """;39 000,00 ₽;https://zakupki.mos.ru/need/282091;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;5437453;Компрессор;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КУЗБАССКИЙ ЦЕНТР КРОВИ""";3 780,00 ₽;https://zakupki.mos.ru/need/5437453;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
