inn;kompaniya;izveshcheniya_eis;predmet_plana;summa;telefonov_v_baze
0274983458;"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""БЕСПИЛОТНЫЕ ОБЪЕДИНЕННЫЕ ТЕХНОЛОГИИ""";32616181237;Поставка, монтаж и пусконаладочные работы компрессорного оборудования;4 372 873,34 ₽;0
0277077282;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАШКИРСКАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ""";32413674163 | 32413725229 | 32514830937 | 32514984421 | 32515014163 | 32615994476 | 32616137943 | 32616197030 | 32616199766 | 32616209321 | 32616216959 | 32616226412 | 32616228067 | 32616230792;Поставка модернизированного облопаченного ротора турбоагрегата ПТ-30-90/10 для Уфимской ТЭЦ-3 филиал ООО «БГК»;405 726 461,30 ₽;7
1101205461;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМИ ТЕПЛОВАЯ КОМПАНИЯ""";32616220818;Поставка компрессоров;665 000,00 ₽;0
1103047637;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОРКУТИНСКИЙ ВОДОКАНАЛ"" МУНИЦИПАЛЬНОГО ОКРУГА ""ВОРКУТА"" РЕСПУБЛИКИ КОМИ";32616242559;Поставка материалов для установки турбокомпрессора ТВ 80-1,2;268 202,27 ₽;0
1431008422;"АКЦИОНЕРНОЕ ОБЩЕСТВО ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ЯКУТЦЕМЕНТ""";32616233501;Поставка компрессора (ЯОбЗ030382);253 435,00 ₽;0
1434031363;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ""";32616233351;ОКПД2 71.20.12.000 Оказание услуг по проведению испытаний, снятию характеристик, наладке системы автоматического регулирования (САР) турбоагрегатов для Партизанской ГРЭС, г. Партизанск;877 163,00 ₽;0
1435142972;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САХАТРАНСНЕФТЕГАЗ""";32616233236;"Поставка компрессоров и насосов для УГРС АО ""Сахатранснефтегаз""";219 672,75 ₽;6
1500004950;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНФРАСТРУКТУРНЫЕ ПРОЕКТЫ""";32413732708 | 32413776119 | 32413802140 | 32413842425 | 32515077159 | 32616221288 | 32616227118 | 32616227921 | 32616228607 | 32616244825;"ОКПД2 26.51.55.131: Система непрерывного контроля вибрации и механических величин турбоагрегата для энергоблока № 8 с шеф-монтажом аппаратуры и пуско-наладочными работами для филиала АО ""Инфраструктур";25 198 400,00 ₽;13
1683018700;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТУТАЕВСКАЯ ПГУ""";32616047061;"Выполнение работ по капитальному ремонту винтового компрессора GEA GRASSO типа ХВР-ХВ48Т-28 (зав.№ ХВ0373) ООО ""Тутаевская ПГУ""";9 891 660,00 ₽;3
2457029066;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОРИЛЬСК ""КОММУНАЛЬНЫЕ ОБЪЕДИНЕННЫЕ СИСТЕМЫ""";32616218223 | 32616235545;Приобретение водокольцевых компрессоров и запасных частей;879 024,34 ₽;6
2706000260;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""АМУРСКИЙ ПАТРОННЫЙ ЗАВОД ""ВЫМПЕЛ"" ИМЕНИ П.В.ФИНОГЕНОВА""";32616229195;Поставка осушителя воздуха для компрессора DVK 75-7,5;729 263,67 ₽;0
3661022760;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ГОРОДСКОГО ОКРУГА ГОРОД ВОРОНЕЖ МУНИЦИПАЛЬНАЯ ТРАНСПОРТНАЯ КОМПАНИЯ ""ВОРОНЕЖПАССАЖИРТРАНС""";32616228251;Поставка турбокомпрессора;957 000,00 ₽;0
4716016979;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЕДЕРАЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ - РОССЕТИ""";32413828566 | 32413836067 | 32413838560 | 32413843749 | 32413846645 | 32515063424 | 32515066572 | 32515069505 | 32515070735 | 32515073594 | 32515076911 | 32616248653 | 32616248733 | 32616248854 | 32616248904;Выполнение работ (РД, авторский надзор, СМНР, поставка МТРиО) по инвестиционному проекту: Монтаж охранно-пожарной сигнализации зданий ОПУ, компрессорная №2 и административного здания, реконструкция пр;13 518 487,00 ₽;14
4909095279;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УСТЬ-СРЕДНЕКАНГЭССТРОЙ""";32413842770 | 32515030398 | 32616194145 | 32616234100 | 32616238116 | 32616241911 | 32616245257 | 32616247308;ОКПД2 24.20.11 Поставка стальных бесшовных труб «Реконструкция энергетического производственно-технологического комплекса Владивостокской ТЭЦ-2 с заменой турбоагрегатов ст. №№1, 2, 3 и установкой 3-х ;19 320 667,80 ₽;9
5003065767;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ПХГ""";32616224914;"Выполнение работ по ремонту компрессорных азотных станций для нужд ООО ""Газпром ПХГ"" в 2027 г.";3 064 955,98 ₽;0
5018216345;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ТЕХНОЛОГИЧЕСКИЙ ЦЕНТР ""ГОРИЗОНТ""";32616150964;Винтовой компрессор с ременным приводом;313 672,00 ₽;0
5034068091;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РСО ЭЛЕКТРОГОРСК""";32514844979 | 32514907567;Оказание услуг по техническому обслуживанию компрессора XELERON;90 000,00 ₽;3
5190930843;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРКТИКМОРНЕФТЕГАЗРАЗВЕДКА""";32616213207;Поставка СЗЧ для воздушных компрессоров на СПБУ «Невская;2 810 453,48 ₽;0
5406323202;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ №11""";32413499384 | 32413559795 | 32413610300 | 32514823396 | 32514974607 | 32515065526 | 32615997178 | 32616216280 | 32616236137 | 32616247616;"Комплекты рабочих лопаток РВД турбоагрегата Р-60-130-1 ст.№13 ТЦ СП ""ТЭЦ-3"" для АО ""ТГК-11""";23 277 650,00 ₽;0
6164288981;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-РОСТОВЭНЕРГО""";32616236084;Ремонт и техническое обслуживание компрессоров AIRRUS с системой подготовки сжатого воздуха в составе модульной компрессорной станции на РТЭЦ-2;1 491 000,00 ₽;0
6671156423;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭЛ5-ЭНЕРГО""";32414266913 | 32514729198 | 32514738215 | 32515283124 | 32515295255 | 32515310756 | 32515322357;Поставка запасных частей к газодожимным компрессорам IR/Сameron для нужд Невинномысской и Среднеуральской ГРЭС в 2027 году;30 000 000,00 ₽;7
6901067107;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ ЦЕНТР""";32413837950 | 32413841157 | 32515057805 | 32515062753 | 32515068208 | 32515076476 | 32616225685 | 32616244436 | 32616244594 | 32616246780 | 32616247268 | 32616247440 | 32616248626;Выполнение СМР, ПНР с поставкой материалов и оборудования по техперевооружению ПС 110/35/10 кВ Компрессорная с заменой оборудования СОПТ (щит постоянного тока - 1 шт, зарядно-подзарядные устройства - ;10 623 339,10 ₽;13
7327063643;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕПЛИЧНОЕ""";32616241397;Выполнение работ по техническому обслуживанию двух турбокомпрессоров АВВ типа TPS 48 F32;1 762 200,00 ₽;0
7701791321;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОВМЕСТНАЯ КОМПАНИЯ ""РУСВЬЕТПЕТРО""";32413707001 | 32514932098 | 32514975000 | 32515001727 | 32616224985 | 32616232171 | 32616232182 | 32616232191 | 32616238782 | 32616242778 | 32616244905 | 32616248866;Реинжиниринг деталей и узлов компрессорного блока GEA GRASSO типа ZP-Z55J-52;3 668 856,22 ₽;20
7701984274;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";32616244331 | 32616244775 | 32616247923;"Поставка пробок пневматических нагнетательных для восполнения аварийного запаса АО ""Мосводоканал"" в 2027 году";46 000 000,00 ₽;5
7704784450;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";32413786725 | 32413806632 | 32413837887 | 32413842369 | 32413845554 | 32515009687 | 32515025599 | 32515037899 | 32515056440 | 32515069727 | 32515077443 | 32616234587 | 32616239435 | 32616242908 | 32616243843 | 32616244528 | 32616246974;Ремонт турбоагрегатов ст. №№ 1,2,3 для Харанорской ГРЭС;75 218 166,76 ₽;4
7730263559;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РВК-ТИХОРЕЦК""";32615994814 | 32616202569;"Выполнение работ по ремонту Турбокомпрессора ТВ 175-1,6 очистных сооружений канализации ООО ""РВК-Тихорецк""";2 374 440,00 ₽;5
