oboznachenie;inn;predpriyatie;nomer_zaklyucheniya;data;obekt
433ГЦ2-143/25-321;0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";41-ТУ-05286-2023;25.01.2023;Заключение экспертизы промышленной безопасности на техническое устройство центробежный ком
433ГЦ2-143/25-321;0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";41-ТУ-22179-2023;28.03.2023;Заключение экспертизы промышленной безопасности на техническое устройство центробежный ком
433ГЦ2-143/25-321;3627000397;"АО ""МИНУДОБРЕНИЯ""";12-ТУ-10009-2020;27.08.2020;компрессор центробежный типа 433ГЦ2-143/25-321 ПМЗ, поз. № 401
433ГЦ2-143/25-321;0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";41-ТУ-64557-2019;25.12.2019;центробежный компрессор типа 433ГЦ2-143/25-321 ПМ2 (модернизированный), поз. 401, зав. № 8
433ГЦ2-143/25-321;0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";41-ТУ-09920-2019;04.03.2019;Центробежный компрессор типа 433ГЦ2-143/25-321 ПМ2, поз. 401, зав. № 84001 (установка комп
4ГЦ1-250/5;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";24-ТУ-795512-2026;20.04.2026;ЗАКЛЮЧЕНИЕ экспертизы промышленной безопасности № 0028-ЗЭ-2026 на техническое устройство, 
4ГЦ1-250/5;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";66-ТУ-02440-2025;14.02.2025;ЗАКЛЮЧЕНИЕ экспертизы промышленной безопасности № 0093-ЗЭ-2025 Техническое устройство: Ком
4ГЦ1-250/5;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";66-ТУ-18008-2024;13.11.2024;ЗАКЛЮЧЕНИЕ экспертизы промышленной безопасности № 0016-ЗЭ-2024 Техническое устройство: Ком
4ГЦ1-250/5;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";66-ТУ-03854-2024;21.03.2024;ЗАКЛЮЧЕНИЕ экспертизы промышленной безопасности № 0021-ЗЭ-2024 Техническое устройство: Ком
4ГЦ1-250/5;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";70-ТУ-09835-2017;27.12.2017;Компрессор центробежный, кислородный 4ГЦ-1-250/5, зав. № 90001, ст. № 3/51М, инв. № 025053
4ГЦ1-250/5;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";66-ТУ-10659-2021;10.08.2021;Компрессор кислородный центробежный 4ГЦ-1-250/5 ст. №3/51М, зав. №90001, инв. №30800025053
4ГЦ1-250/5;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";66-ТУ-05953-2021;11.05.2021;на техническое устройство: Компрессор кислородный центробежный 4ГЦ-1-250/5 ст. №1/49М, зав
4ГЦ1-250/5;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";70-ТУ-07212-2017;25.10.2017;компрессор кислородный, центробежный 4ГЦ-1-250/5, ст. № 1/49М, зав. № 87001, инв.№ 024945,
4ГЦ1-250/5;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";70-ТУ-07745-2015;17.12.2015;Компрессор кислородный центробежный тип 4ГЦ-1-250/5, ст. №2/50 М, зав. №93001, инв. №02533
4ГЦ1-250/5;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";24-ТУ-795512-2026;20.04.2026;ЗАКЛЮЧЕНИЕ экспертизы промышленной безопасности № 0028-ЗЭ-2026 на техническое устройство, 
