nazvanie_u_kkm;istochniki;nash_inn;nashe_nazvanie;obshchie_tokeny
Айхальский ГОК;PDF screw-compressors-series-6VV;;;
Аммоний;сайт ККМ;1627005779;"АО ""АММОНИЙ""";АММОНИЙ
Апатит;PDF screw-compressors-series-6VV;5103070023;"АО ""АПАТИТ""";АПАТИТ
Арктикгаз;сайт ККМ;;;
Башнефть;сайт ККМ;;;
Башнефть-Добыча;сайт ККМ;0274051582;"ПАО АНК ""БАШНЕФТЬ""";БАШНЕФТЬ
Башнефть-Добыча;сайт ККМ;0275075378;"ООО ""Башнефть-Сервис НПЗ""";БАШНЕФТЬ
Башнефть-Добыча;сайт ККМ;0277106840;"ООО ""БАШНЕФТЬ-ДОБЫЧА""";БАШНЕФТЬ,ДОБЫЧА
ВНИИР;сайт ККМ;;;
Г оревский ГОК;PDF screw-compressors-series-6VV;;;
ГАЗПРОМ;НИИТК;;;
ГИАП;сайт ККМ;;;
ГМК «Норильский никель;сайт ККМ;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";НИКЕЛЬ,НОРИЛЬСКИЙ
ГМК Норильский Никель;сайт ККМ;8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";НИКЕЛЬ,НОРИЛЬСКИЙ
Газпром;"PDF Takat.pdf.txt; НИИТК; сайт ККМ";;;
Газпром ВНИИГАЗ;НИИТК;5003028155;"ООО ""ГАЗПРОМ ВНИИГАЗ""";ВНИИГАЗ,ГАЗПРОМ
Газпром Трансгаз Казань;НИИТК;1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";ГАЗПРОМ,КАЗАНЬ,ТРАНСГАЗ
Газпром автоматизация;сайт ККМ;;;
Газпром добыча Ноябрьск;сайт ККМ;8905026850;"ООО ""ГАЗПРОМ ДОБЫЧА НОЯБРЬСК""";ГАЗПРОМ,ДОБЫЧА,НОЯБРЬСК
Газпром добыча Оренбург;сайт ККМ;5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";ГАЗПРОМ,ДОБЫЧА,ОРЕНБУРГ
Газпром добыча Ямбург;сайт ККМ;8904034777;"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";ГАЗПРОМ,ДОБЫЧА,ЯМБУРГ
