inn;predpriyatie;vozdushnyh_zaklyucheniy;istekaet;prosrocheno;deystvuet;posledneye_zaklyuchenie;marki_mashin;kartochka
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";112;14;61;37;2026-02-12;CКР 100/170, GEH500, GKRV 100/170, GKRV 300/650, GKRV-100/170, GMB 14;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-690761-2026
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";109;4;15;90;2026-07-27;HS-0034, LC-0059, LG 360, LS-0051, LS-0052, LS-0053;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-40428-2021
3801009466;"АО ""АНХК""";102;10;55;37;2026-06-15;HG 30/52, ВР120-28-10, ВР80-75, ВЦ 5 50, ВЦ 5-50, К-1500;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-60106-2025
3801046700;"АО ""АЗП""";100;1;67;32;2026-01-20;GMA 13, RPA 70, RPD135, А67-00348, В-201/1, В-201/2;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-626644-2026
4218000951;"АО ""ЕВРАЗ ЗСМК""";97;9;50;38;2025-12-01;А68-00341-0076, ВОК-500, ВОК-500-9-1, ВОК-79, ВОТ-380, К-1500-62-2;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-07544-2022
0274051582;"ПАО АНК ""БАШНЕФТЬ""";74;0;34;40;2025-12-25;BCSN542, RVJ 1600, ВД-501, ВДН-11, К-250-61-5, К-500-61-1;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-81582-2024
5501041254;"АО ""ГАЗПРОМНЕФТЬ-ОНПЗ""";73;3;26;44;2026-07-16;DB-349, GC-341, GCM-311, GCM311, GCМ 321, GV-342;https://monitor-pb.ru/conclusion/61-%D0%A2%D0%A3-35129-2020
5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";70;1;20;49;2026-03-26;ETRU-1250, LRM-630, MD 1400/1320, MD710/1350, SLIA 113, SLIA 144;https://monitor-pb.ru/conclusion/48-%D0%97%D0%A1-39524-2023
2457061937;"ООО ""НОРИЛЬСКНИКЕЛЬРЕМОНТ""";69;2;47;20;2026-02-16;ВОК 79, ВОК-79, ЗЭ-2022, К-500-61, К-500-61-1, К-500-61-5;https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-02926-2017
2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";58;6;30;22;2025-05-23;В-3201, В-3251, В-3252, Л-203/1, ТВ 200-1, ТВ 200-1-1;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-01678-2022
7116000066;"АО ""НАК ""АЗОТ""";52;0;36;16;2024-12-02;SV-863, В-56/1, В-56/2, ТВ-200-1;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-08349-2019
0258005638;"АО ""ПОЛИЭФ""";52;1;23;28;2025-02-05;CFL 315, DТ 66/202, FQ 501, L3487-0002, MD-9016, RVK 063/160-30;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-76080-2022
6325004584;"АО ""СНПЗ""";48;3;7;38;2026-05-26;LRMV 710/2, SD120-40, ЛГ 35/11-300, М400-26, МХЕ125, ТВ 80-1;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-36402-2024
5191431170;"АО ""КОЛЬСКАЯ ГМК""";47;0;36;11;2026-07-03;ВОК-79, К-150-62-5, К-1500, К-1500-62-5, К-250-61-2, К-250-61-5;https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-04487-2025
2624022320;"ООО ""СТАВРОЛЕН""";41;1;15;25;2024-09-23;GMB 14, GMB 15, К 5532, К-250-61-5, ЦК-135/8;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-29962-2024
4214000608;"ПАО ""ЮЖНЫЙ КУЗБАСС""";40;5;33;2;2025-08-28;ESD 351, HSG-1100, WZY1200, БС-550, ВЦ 14-46, МО-212;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-44072-2025
0266008329;"ОАО ""Газпром нефтехим Салават""";35;0;35;0;2016-10-18;DF-0600, OZ2000, SG0192, К-500-61-1, К-905-61-1, КК-1000;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-34420-2015
3006006420;"ООО ""ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ""";35;6;29;0;2018-12-13;SNH 80, VDR-100-0, ЦК-135/8, Ш40-4-18/4;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-04160-2016
5905018998;"АО ""СИБУР-ХИМПРОМ""";32;0;13;19;2026-01-15;KXE-125, SB 0140, SB 0530, SB0140, SB0530, SВ 0140;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-84953-2022
6314006396;"АО ""КНПЗ""";31;1;9;21;2025-11-28;C-201-2, DZ-1000, MB-411, ZH7000, ВДН-12, ВДН-20;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-319116-2025
6330000553;"АО ""НК НПЗ""";30;2;10;18;2026-04-29;RSA 32, А53-00301-0008, ЛСИ-200, ТВ-200-1, ЦК-135/8;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-48480-2022
7118004789;"ОАО ""Щекиноазот""";30;0;13;17;2025-09-08;AA-171, ВОТ-260, К-350-61-1, К-350-61-2, К350-61-1, К905-61-1;https://monitor-pb.ru/conclusion/11-%D0%97%D0%A1-37488-2024
7206025040;"ООО ""СИБУР Тобольск""";28;0;28;0;2018-12-20;BA-103-1, GB-101-1, ВI-601, К-250-61-5, К-500-61-5, М-15/1;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-33101-2017
4205000908;"КАО ""АЗОТ""";25;0;12;13;2026-03-05;К-905-61-1, КТК-12, ОК-500-94, ЦК 135/8, ЦК-135/8, ЭПБ-0533-11-2022;https://monitor-pb.ru/conclusion/42-%D0%A2%D0%A3-726258-2026
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";25;3;21;1;2025-12-19;GM 130, GM 150, GМ-130, HSG-1100, KLG 400, NPK 200-560;https://monitor-pb.ru/conclusion/42-%D0%A2%D0%A3-573035-2025
7101006354;"ООО ""Проктер энд Гэмбл-Новомосковск""";25;9;16;0;2023-05-11;D401-01, D404-01, D405-01, D407-01, F802-01, F803-01;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-05443-2023
6227007322;"АО ""РНПК""";24;1;15;8;2026-01-14;AH-102, HN-1400-900, ZH800, АА-102, АН-102, АС-102;https://monitor-pb.ru/conclusion/03-%D0%97%D0%A1-03818-2025
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";24;0;14;10;2025-10-09;В-101/2, В-11/1, В-11/2, В-603/1, В-603/2, В-603/3;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-38152-2025
4708007089;"ООО""КИНЕФ""";22;1;11;10;2025-07-09;BW-2111, BW-2112, BW-2121, BW-2122, CVEV-130-7, E-80-315;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-56365-2025
5249002485;"ФКП ""ЗАВОД ИМЕНИ Я.М.СВЕРДЛОВА""";22;2;7;13;2025-12-16;ОП 701-25, ОП 702-25, ОП 703-25, ОП 704-25, ОП 705-25, ОП 709-25;https://monitor-pb.ru/conclusion/63-%D0%97%D0%A1-27822-2020
6623000680;"ПАО ""ЕВРАЗ""";20;1;17;2;2026-06-10;К-1500, К-1500-62-2, К-250-61-5;https://monitor-pb.ru/conclusion/54-%D0%97%D0%A1-09700-2019
0268036071;"ОАО ""Синтез-Каучук""";20;0;14;6;2023-06-21;К-250-61-1, Р-10/1, ТВ-175-1, ТВ-80-1, ТГ-80-1, Э 200-31-1;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-49708-2020
3435900186;"АО ""ВТЗ""";19;1;9;9;2025-08-29;К-250-61, К-250-61-1, К-250-61-2, К-250-61-5, К-500-61-5, ТУ-0297-2025;https://monitor-pb.ru/conclusion/34-%D0%A2%D0%A3-19521-2025
2365004375;"ООО ""РН-ТУАПСИНСКИЙ НПЗ""";18;12;0;6;2024-09-12;VD-1001, VD-2001, АВТ-12, ВК9020, ВК9030, Е-450/56-63;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-16415-2024
5607019523;"АО ""УРАЛЬСКАЯ СТАЛЬ""";16;0;15;1;2024-07-04;К-1500-61-2, К-250, К-345-91-1;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-41496-2024
6330017980;"АО ""ННК""";16;2;7;7;2026-02-04;V-8019, V-8794, С-700, ТВ-115/1, ТВ-115/2, ТВ-175-1;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-17623-2023
5103070023;"АО ""АПАТИТ""";15;0;9;6;2026-07-13;К-250-61-5, К-500-61-1, ТУ-7492-2026, ЦК 115/9, ЦК 135, ЦК-115/9;https://monitor-pb.ru/conclusion/12-%D0%97%D0%A1-07187-2024
6704000505;"ПАО ""Дорогобуж""";13;4;4;5;2025-12-18;GB 335, GB 354, GB 356, GB 740, GВ 740/3;https://monitor-pb.ru/conclusion/04-%D0%A2%D0%A3-13249-2019
7601001107;"ПАО ""СЛАВНЕФТЬ-ЯНОС""";13;0;9;4;2026-05-05;К-250-61-5, К250-61-5;https://monitor-pb.ru/conclusion/18-%D0%A2%D0%A3-07327-2015
4223057424;"ООО ""ОФ ""Коксовая""";13;2;10;1;2026-02-03;PTD 306, ГЦР-150, ДО 080, МО-318, ФГВ-1321, ШН-250-34;https://monitor-pb.ru/conclusion/42-%D0%A2%D0%A3-671434-2026
4219000048;"АО  ""ЦОФ ""Абашевская""""";13;0;10;3;2026-07-23;DT 90/552, MACO146, NP1110, SCN2022, ГИСТ72-2, Д320-50;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-18119-2016
8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";13;2;7;4;2021-03-15;ГРФ 500, КЦ 101/5, КЦ-101/1, КЦ-101/3, КЦ-101/4, КЦ-101/5;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-02204-2015
6618000220;"ОАО ""Святогор""";12;0;8;4;2025-04-17;Э-1700-11, Э-1700-11-2М, Э1700-11, Э1700-11-2М;https://monitor-pb.ru/conclusion/54-%D0%97%D0%A1-04972-2017
4633001577;"АО ""МИХАЙЛОВСКИЙ ГОК ИМ. А.В. ВАРИЧЕВА""";12;1;10;1;2024-04-01;ТВ-175, ТВ-80;https://monitor-pb.ru/conclusion/07-%D0%A2%D0%A3-19055-2022
4407006010;"ООО ""СВИСС КРОНО""";11;0;5;6;2025-11-06;K50-30, SRB 125, SRB101, SRB125, НПО-2023/2105-02-29, НПО-2023/2105-04-7;https://monitor-pb.ru/conclusion/17-%D0%A2%D0%A3-02326-2024
7705739450;"ООО ""НЕСТЛЕ РОССИЯ""";11;0;7;4;2025-08-27;BAT-001-002;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-16906-2022
1103019252;"АО ""Воркутауголь""";10;0;8;2;2026-07-21;RBS 175, ТВ-80/1, ТВ-80/1,4;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-937829-2026
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";10;1;9;0;2019-01-28;У-170/171, У-31/32, ЦК-135/8, ЦК-135/8 М1;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-44900-2017
6323049893;"ООО ""ТОЛЬЯТТИКАУЧУК""";10;1;8;1;2026-07-09;ТВ-80-1, ТК-0131, ЦК 135/8, ЦК-135/8, ЦНВ 200/3;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-14899-2017
6451114900;"ПАО ""САРАТОВСКИЙ НПЗ""";9;7;2;0;2022-11-07;ТВ-300-1;https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-38894-2022
5606001611;"ООО ""ММСК""";9;1;6;2;2024-04-15;;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-24559-2024
4203001617;"ПАО ""ЦОФ ""Березовская""""";9;1;8;0;2025-05-29;DME 150, EPC 840-250, S 75-3, VSF 120/10, WF-100/11, В-1200;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-15367-2025
0270007455;"АО ""УЧАЛИНСКИЙ ГОК""";9;1;8;0;2024-12-03;SM 4000-900-2, К-250-61-5;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-07038-2019
5615002700;"ПАО ""ОРСКНЕФТЕОРГСИНТЕЗ""";8;3;3;2;2025-11-18;;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-23259-2022
4029045298;"АО ""БиоТех Росва""";8;0;0;8;2022-11-30;;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-03622-2022
7728640182;"ООО ""ГАЗПРОМНЕФТЬ -СМ""";8;0;6;2;2025-01-21;MARE6000, В-617/1, ТВ-50-1, ТВ-50-1,6, ТВ-80-1, ТВ-80-1,4;https://monitor-pb.ru/conclusion/61-%D0%A2%D0%A3-23241-2014
3627000397;"АО ""МИНУДОБРЕНИЯ""";7;0;5;2;2024-01-31;К-250-61-5, К250-61-5;https://monitor-pb.ru/conclusion/12-%D0%A2%D0%A3-11584-2020
3445042160;"ООО ""ГАЗПРОМ ТРАНСГАЗ ВОЛГОГРАД""";7;0;0;7;2025-07-31;;https://monitor-pb.ru/conclusion/34-%D0%A2%D0%A3-26238-2025
4212024138;"АО ""СУЭК-КУЗБАСС""";7;1;5;1;2025-11-17;РН-100, РН-150;https://monitor-pb.ru/conclusion/42-%D0%A2%D0%A3-462012-2025
5036074848;"ООО ""ХАЙДЕЛЬБЕРГЦЕМЕНТ РУС""";7;0;4;3;2026-07-06;К250-61-5;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-906457-2026
6625004271;"АО ""ПНТЗ""";7;0;7;0;2015-09-23;К250-61-2, К250-61-5;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-06082-2015
6451122250;"ООО ""САРАТОВОРГСИНТЕЗ""";6;0;5;1;2023-12-20;;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-00670-2019
1106014140;"ООО ""ЛУКОЙЛ-Коми"" (ИНН 1106014140)";6;0;6;0;2022-05-06;FDRC 80-400, RRF-350, КМ 100-65-200;https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-01877-2019
7113502396;"ООО ""КАРГИЛЛ""";6;0;0;6;2026-07-21;DN 125, RВS 46, НПО-2023/0131-12-20, НПО-2023/0131-12-38, НПО-2023/0131-14-16, НПО-2023/0131-27-8;https://monitor-pb.ru/conclusion/71-%D0%A2%D0%A3-937776-2026
6335007320;"АО ""ПРОМСИНТЕЗ""";6;3;0;3;2026-06-15;ТВ-200-1;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-873973-2026
7117000076;"АО ""Пластик""";6;0;3;3;2022-09-20;;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-18663-2022
7723332561;"ООО ""НПП ""НЕФТЕХИМИЯ""";6;0;4;2;2025-05-06;НКО-0068-2024, НКО-0069-2024, РК-804, ТУ-2017;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-09188-2025
7728060368;"ОАО ""КБК ""ЧЕРЕМУШКИ""";6;0;2;4;2024-04-17;ЭФ-106;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-12813-2024
5404037541;"ООО  ""ГОФ Анжерская""";6;2;4;0;2025-05-29;RDH 710, ВДН-12, ВР 80-75, ВР 85-77, ТВ-80-1, ТВ-80/1;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-15278-2024
2204001528;"ФКП  ""БОЗ""";6;0;6;0;2019-06-04;ТВ 100-1, ТВ 200-1, ТВ 200-1,12, ТВ-100-1, ТВ-100-1,12, ТВ100-1;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-23736-2014
7723451304;"ООО ""ГК ""СИНЕРГИЯ""";6;0;0;6;2025-11-05;ТВ-200-1, ТВ-200-1,12;https://monitor-pb.ru/conclusion/23-%D0%A2%D0%A3-429637-2025
4218000253;"АО ""ЦОФ ""КУЗНЕЦКАЯ""";6;0;6;0;2023-06-26;EBW 48, МО-318, ТВ-80, ТВ-80-1, ТВ-80-1,8, ТВ200-1;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-25437-2016
2631805988;"ООО МЭЗ ""РЕСУРС""";6;0;6;0;2021-01-19;ТВ-200-1, ТВ-200-1,12;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-00474-2021
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";6;0;3;3;2023-12-12;К-250-61-5;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-29528-2020
6626002291;"ПАО ""СТЗ""";6;0;6;0;2017-04-21;К250-61-1, К500-61-1;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-15374-2016
6612005052;"АО ""РУСАЛ УРАЛ""";6;0;6;0;2015-10-05;ВЦ-160/9, К-250-61-1, К-500-61-1;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-02859-2015
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";6;0;0;6;2020-08-10;НЦВЭ-56/1, НЦВЭ-56/1,45;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-06988-2020
4205037640;"ООО ""ОФ ""Тайбинская""";6;0;6;0;2021-09-02;ГЦМ-350, ГЦМ-360, МПЛ-150, СВП-500, ТВ-200-1, ТВ-200-1,4-1;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-22686-2016
6320004728;"АО ""ТОАЗ""";5;0;2;3;2025-11-19;ГТЭ-3675, ЦВД-2, ЭПБ-21;https://monitor-pb.ru/conclusion/23-%D0%97%D0%A1-474184-2025
1627005779;"АО ""АММОНИЙ""";5;0;4;1;2025-09-18;ТУ-2025, ЦК-135;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-85853-2025
1648032420;"АО ""ПОЗИС""";5;0;5;0;2023-03-03;К-250-61-2, ЦК-135/8;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-289820-2023
0268004714;"АО ""СНХЗ""";5;0;0;5;2026-06-29;К-250-61-1, Р-10/1;https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-492360-2025
7704214548;"ООО""АФИПСКИЙ НПЗ""";5;0;0;5;2025-07-22;H-101/1;https://monitor-pb.ru/conclusion/23-%D0%97%D0%A1-61725-2025
7727547920;"АО ""КБК ""Черемушки""";5;0;0;5;2023-05-25;;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-10987-2023
6142025298;"ООО ТУ ""Шолоховское""";5;0;5;0;2017-12-11;ТВ-200-1, ТВ-80-1, ТВ-80-1,8-01;https://monitor-pb.ru/conclusion/29-%D0%A2%D0%A3-16865-2017
5321029508;"ПАО ""АКРОН""";5;1;2;2;2026-04-17;;https://monitor-pb.ru/conclusion/22-%D0%A2%D0%A3-07698-2024
7718018279;"ОАО ""Мелькомбинат в Сокольниках""";5;0;5;0;2018-06-18;НМ-250, ТВ 250-1, ТВ 250-1,12;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-06430-2018
1004001744;"АО ""КАРЕЛЬСКИЙ ОКАТЫШ""";5;0;5;0;2020-12-15;К-250-61, К-250-61-5, К-250-61-5М, К-500-61-1;https://monitor-pb.ru/conclusion/24-%D0%A2%D0%A3-01336-2015
6623000708;"ОАО ""ВГОК"" (ИНН 6623000708)";5;0;3;2;2026-03-10;К-250-61, К-250-61-1, К-250-61-5;https://monitor-pb.ru/conclusion/77-%D0%A2%D0%A3-726989-2026
3327112205;"ООО ""ДИС"" (ИНН 3327112205)";5;0;0;5;2026-02-10;К-500-61, К-500-61-5М;https://monitor-pb.ru/conclusion/77-%D0%A2%D0%A3-687150-2026
7718918689;"ООО ""КФ""Черемушки""";4;0;0;4;2024-01-30;;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-02920-2024
5019002730;"ОАО ""БАЙСАД-КАШИРА""";4;0;0;4;2026-05-14;;https://monitor-pb.ru/conclusion/77-%D0%A2%D0%A3-826209-2026
1102057865;"ООО  ""ЛУКОЙЛ-УНП""";4;1;0;3;2026-06-16;ВДН-17;https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-07786-2023
2455024746;"ООО ""КДВ Минусинск""";4;0;2;2;2025-11-13;АВБ-60, БКВ-160, ВG 250, ЦР-600;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-446011-2025
5020002781;"ОАО ""ГЕРКУЛЕС""";4;0;1;3;2025-12-01;GSLА 10, GМА 12, GМА 13, НПО-2023/0131-11/17, НПО-2023/0131-26-1;https://monitor-pb.ru/conclusion/50-%D0%A2%D0%A3-510152-2025
2303025270;"ООО ""ЕВРОХИМ-БМУ""";4;2;2;0;2022-03-31;;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-10407-2021
5249051203;"АО ""СИБУР-НЕФТЕХИМ""";4;0;3;1;2025-01-31;GM-35, GMA-10, С-1601, С-1901;https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-06687-2015
2457080792;"ООО ""МЕДВЕЖИЙ РУЧЕЙ""";4;0;1;3;2024-08-13;ВОК-79, К-500-61-1;https://monitor-pb.ru/conclusion/55-%D0%A2%D0%A3-12504-2024
7704655662;"АО НПКЦ ""ЭНЕРГИЯ"" (ИНН 7704655662)";4;0;0;4;2026-04-14;ЦК-135;https://monitor-pb.ru/conclusion/24-%D0%A2%D0%A3-783319-2026
2426005202;"ООО ""БОГОЛЮБОВСКОЕ""";4;0;2;2;2026-06-11;СМХ-02-0103-2026, СМХ-02-0104-2026, СМХ-02-0128-2024, СМХ-02-0129-2024, ТВ-200-1, ТВ-200-1,4-01;https://monitor-pb.ru/conclusion/24-%D0%A2%D0%A3-871609-2026
3524015320;"ООО ""ШКХП""";4;0;0;4;2025-02-03;ВПЗ 9,6/120, ТУ-2024, ЭПБ-1372, ЭПБ-1373, ЭПБ-1374, ЭПБ-1375;https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-02235-2025
8904034777;"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";3;1;0;2;2020-03-25;;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-11508-2020
7706415345;"ООО ""КДВ ВОСКРЕСЕНСК""";3;0;0;3;2025-12-22;BL-520-400;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-541766-2025
7017156263;"ООО ""ГАЗПРОМ МЕТАНОЛ""";3;0;0;3;2024-02-21;;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-05537-2024
5250051800;"ООО ""СИБУР-КСТОВО""";3;0;0;3;2026-01-16;;https://monitor-pb.ru/conclusion/52-%D0%A2%D0%A3-42209-2025
2205001753;"АО ""АЛТАЙ-КОКС""";3;0;2;1;2024-08-22;;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-26035-2024
0266036534;"АО ""СХЗ"" (ИНН 0266036534)";3;0;1;2;2022-07-22;;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-44791-2022
5501085734;"ООО ""ПОЛИОМ""";3;0;0;3;2025-02-18;GM 150;https://monitor-pb.ru/conclusion/61-%D0%A2%D0%A3-04484-2025
4011033206;"ООО ""МИРФУДС""";3;0;0;3;2025-06-26;GMA 11, GMA 12;https://monitor-pb.ru/conclusion/09-%D0%A2%D0%A3-25041-2025
4220023963;"ООО ""ШАХТА №12""";3;0;2;1;2025-06-24;CRE 15-4, CRE 20-3, HSG1200, WZ1200, В-1200, В-1400;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-19504-2025
0275075378;"ООО ""Башнефть-Сервис НПЗ""";3;2;1;0;2018-10-05;ТВ-80-1;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-37611-2018
5406766317;"ООО ""ГОФ Красногорская""";3;0;3;0;2021-05-18;;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-10888-2019
