nazvanie;inn;nazvanie_egrul;kpp;region;okved;status;rukovoditel;dolzhnost;kandidatov;pochemu
2130230898;2130230898;"ООО ""ТД ""ТМ""";213001001;Чувашская Республика - Чувашия;25.62;ACTIVE;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕРН ""ТРАКТОРНЫЕ ЗАВОДЫ""";;1;один кандидат
7718560636;7718560636;"ПАО ""ГРУППА ЧЕРКИЗОВО""";501901001;Московская обл;70.22;ACTIVE;Михайлов Сергей Игоревич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
2124009521;2124009521;"ПАО ""ХИМПРОМ""";212401001;Чувашская Республика - Чувашия;20.13;ACTIVE;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРУППА ОРГСИНТЕЗ""";;1;один кандидат
7417001747;7417001747;"ПАО ""КОМБИНАТ ""МАГНЕЗИТ""";745701001;Челябинская обл;23.20.1;ACTIVE;Верзаков Василий Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
4220020218;4220020218;"АО ""ТОППРОМ""";421701001;Кемеровская область - Кузбасс;46.71.1;LIQUIDATED;Макаров Александр Иванович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
2127309097;2127309097;"ООО ""СЛЦ ""ТМ""";213001001;Чувашская Республика - Чувашия;49.41.2;ACTIVE;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕРН ""ТРАКТОРНЫЕ ЗАВОДЫ""";;1;один кандидат
0266048970;0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";026601001;Респ Башкортостан;19.20.1;ACTIVE;Семенько Евгений Леонидович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
6612005052;6612005052;"АО ""РУСАЛ УРАЛ""";661201001;Свердловская обл;24.42;ACTIVE;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ АЛЮМИНИЙ МЕНЕДЖМЕНТ""";;5;несколько кандидатов, взят первый
7705880068;7705880068;"АО ""РУССКИЙ УГОЛЬ""";770701001;г Москва;46.71.1;ACTIVE;Коротин Владимир Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
7730248021;7730248021;"ООО ""ИСО""";773001001;г Москва;33.12;ACTIVE;Баранчиков Александр Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
3006006420;3006006420;"ООО ""ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ""";301501001;Астраханская обл;06.20.2;ACTIVE;Мельниченко Андрей Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
1117000011;1117000011;"АО ""БОКСИТ ТИМАНА""";111701001;Респ Коми;24.42;ACTIVE;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ АЛЮМИНИЙ МЕНЕДЖМЕНТ""";;2;несколько кандидатов, взят первый
8602016725;8602016725;"СГМУП ""ГВК""";860201001;Ханты-Мансийский Автономный округ - Югра;37.00;ACTIVE;Бондаренко Григорий Анатольевич;ДИРЕКТОР;1;один кандидат
7730248430;7730248430;"АО ""РУСАЛ МЕНЕДЖМЕНТ""";773001001;г Москва;70.10;ACTIVE;Берстенев Владимир Владимирович;ДИРЕКТОР ПО БЕЗОПАСНОСТИ И ЗАЩИТЕ ГОСУДАРСТВЕННОЙ ТАЙНЫ;1;один кандидат
3804039638;3804039638;"ООО ""РУСАЛ ИТЦ""";246501001;Красноярский край;72.19.9;ACTIVE;Макаров Дмитрий Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
7704758153;7704758153;"ООО ""ЛОКОТЕХ-СЕРВИС""";770901001;г Москва;33.17;ACTIVE;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОКОМОТИВНЫЕ ТЕХНОЛОГИИ""";;5;несколько кандидатов, взят первый
2624022320;2624022320;"ООО ""СТАВРОЛЕН""";262401001;Ставропольский край;20.16;ACTIVE;Шулындин Владимир Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
5905099475;5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";590501001;Пермский край;19.20.1;ACTIVE;Шарафутдинов Ильшат Миргазиянович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
4223036696;4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";422301001;Кемеровская область - Кузбасс;05.10.23;ACTIVE;Михайленко Сергей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
6626002291;6626002291;"АО ""СТЗ""";667901001;Свердловская обл;24.20;LIQUIDATED;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРУБНАЯ МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ""";;2;несколько кандидатов, взят первый
1656025681;1656025681;"ФКП ""КГКПЗ""";165601001;Респ Татарстан;25.40;ACTIVE;Лившиц Александр Борисович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
0263009557;0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";026301001;Респ Башкортостан;20.15.3;ACTIVE;Дьяк Роман Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
7017075536;7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";701701001;Томская обл;20.16;ACTIVE;Рябиков Рамиль Митхатович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
6320005915;6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";632401001;Самарская обл;20.15.3;ACTIVE;Герасименко Александр Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;2;несколько кандидатов, взят первый
0258005638;0258005638;"АО ""ПОЛИЭФ""";025801001;Респ Башкортостан;20.14.7;ACTIVE;Корнеев Андрей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
1004001744;1004001744;"АО ""КАРЕЛЬСКИЙ ОКАТЫШ""";100401001;Респ Карелия;07.10.2;ACTIVE;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРСТАЛЬ МЕНЕДЖМЕНТ""";;3;несколько кандидатов, взят первый
6670061296;6670061296;"АО ""РМК""";667101001;Свердловская обл;24.44;ACTIVE;Васильченко Андрей Григорьевич;ПРЕЗИДЕНТ;2;несколько кандидатов, взят первый
