inn;predpriyatie;kartochek;lyudej;s_mobilnym;sboev;pochemu
7830001910;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКИЙ ЗАВОД""";10;0;0;0;обойдено
2902059091;"АО ""ПО ""СЕВМАШ""";10;0;0;0;обойдено
7701984274;"АО ""Мосводоканал""";10;0;0;0;обойдено
7839395419;"АО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";10;0;0;0;обойдено
2902060361;"АО ""ЦС ""ЗВЕЗДОЧКА""";10;0;0;0;обойдено
7702038150;"ГУП ""Московский метрополитен""";10;0;0;0;обойдено
7727656790;Государственное бюджетное учреждение города Москвы «Автомобильные дороги»;10;0;0;0;обойдено
5024001482;Государственное бюджетное учреждение здравоохранения города Москвы «Московская городская онкологическая больница № 62 Де;10;0;0;0;обойдено
7729071411;Государственное унитарное предприятие города Москвы «Медицинский центр Управления делами Мэра и Правительства Москвы»;10;0;0;0;обойдено
7725262013;Государственное автономное учреждение города Москвы Инженерный научно-практический центр «Гормедтехника Департамента здр;10;0;0;0;обойдено
7709886600;Государственное бюджетное учреждение города Москвы «Автомобильные дороги Центрального административного округа»;10;0;0;0;обойдено
7710177774;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ФИНАНСОВО-ХОЗЯЙСТВЕННОЕ УПРАВЛЕНИЕ""";10;0;0;0;обойдено
5944202327;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛ - ТРАНСКОМ""";11;1;1;0;обойдено
5034065171;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МОСКОВСКОЙ ОБЛАСТИ ""КОММУНАЛЬНЫЕ СИСТЕМЫ МОСКОВСКОЙ ОБЛАСТИ""";11;1;0;0;обойдено
7704747169;Государственное автономное учреждение культуры города Москвы «Московское агентство организации отдыха и туризма»;10;0;0;0;обойдено
5038004331;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""МОСОБЛЛЕС""";20;8;0;0;обойдено
7734703698;"Государственное бюджетное учреждение города Москвы ""Жилищник района Хорошево-Мневники""";10;0;0;0;обойдено
7729466258;Государственное бюджетное учреждение города Москвы «Жилищник района Ново-Переделкино»;10;0;0;0;обойдено
7726738619;Государственное бюджетное учреждение города Москвы «Жилищник Нагорного района»;10;0;0;0;обойдено
7716789300;Государственное бюджетное учреждение города Москвы «Жилищник Ярославского района»;10;0;0;0;обойдено
7709064286;Государственное бюджетное учреждение здравоохранения города Москвы «Научно-практический клинический центр диагностики и ;10;0;0;0;обойдено
5193600346;"ГОСУДАРСТВЕННОЕ ОБЛАСТНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""МУРМАНСКВОДОКАНАЛ""";20;10;0;0;обойдено
7724322904;Государственное бюджетное учреждение города Москвы «Жилищник района Орехово-Борисово Северное»;10;0;0;0;обойдено
6027143462;"ГБУ ПО ""ПСКОВАВТОДОР""";19;4;3;0;обойдено
5024022700;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОДОКАНАЛ""";11;1;0;0;обойдено
7830001758;САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ПАССАЖИРСКОГО АВТОМОБИЛЬНОГО ТРАНСПОРТА;20;14;0;0;обойдено
7727260438;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 69 Департамента здра;10;0;0;0;обойдено
6318105574;"АО ""МЕТАЛЛИСТ-САМАРА""";19;2;0;0;обойдено
3328007468;Общество с ограниченной ответственностью «Научно-производственное предприятие БИОТУМ»;10;0;0;0;обойдено
7715488540;Государственное бюджетное учреждение города Москвы «Жилищник Бутырского района»;10;0;0;0;обойдено
7449006184;ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЧЕЛЯБИНСКИЙ КУЗНЕЧНО-ПРЕССОВЫЙ ЗАВОД;10;0;0;0;обойдено
7843003128;"АО ""КРОНШТАДТСКИЙ МОРСКОЙ ЗАВОД""";10;0;0;0;обойдено
7820016674;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР КОМПЛЕКСНОГО БЛАГОУСТРОЙСТВА""";20;8;4;0;обойдено
9715005116;Государственное бюджетное учреждение города Москвы «Жилищник района Марфино»;10;0;0;0;обойдено
5022030985;"МУП ""ТЕПЛО КОЛОМНЫ""";11;1;0;0;обойдено
7708117908;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕМРОС""";10;0;0;0;обойдено
5917004527;"ГБУЗ ПК ""КБ""";11;0;0;1;1 карточек не снялось — перезапросить
1003018230;АКЦИОНЕРНОЕ ОБЩЕСТВО КОНДОПОЖСКИЙ ЦЕЛЛЮЛОЗНО-БУМАЖНЫЙ КОМБИНАТ;10;0;0;0;обойдено
5007102138;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЖКХ И БЛАГОУСТРОЙСТВО"" ДМИТРОВСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ";11;1;0;0;обойдено
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";18;2;0;0;обойдено
3901500276;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""33 СУДОРЕМОНТНЫЙ ЗАВОД""";10;0;0;0;обойдено
7810715360;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""МУЗЕЙНО-ВЫСТАВОЧНЫЙ ЦЕНТР""";13;2;0;0;обойдено
