inn;predpriyatie;vzyato;pochemu
2130230898;ТД Транспортное машиностроение;28;обойдено
7718560636;ПАО Группа Черкизово;0;обойдено
2124009521;"ПАО ""ХИМПРОМ""";2;обойдено
7705880068;Русский Уголь;0;обойдено
7730248021;"ООО ""ИСО""";0;обойдено
1650032058;КАМАЗ;0;обойдено
7730248430;РУСАЛ Менеджмент (непрофильные активы);0;обойдено
3804039638;РУСАЛ ИТЦ;0;обойдено
7704758153;ГК ЛокоТех;0;обойдено
3528000967;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА ЧЕРЕПОВЦА ""ВОДОКАНАЛ""";0;обойдено
5700012360;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНАЯ СЛУЖБА""";0;обойдено
7733019171;"федеральное государственное унитарное предприятие ""Государственный научно-исследовательский институт биологического приб";0;обойдено
1435333590;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕГИОНАЛЬНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";0;обойдено
5009057184;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮЖНЫЙ ВОДОКАНАЛ""";0;обойдено
3605000114;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БУТУРЛИНОВСКИЙ МЕЛЬКОМБИНАТ""";0;обойдено
7724654924;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВЕСТГРУПП-ЭНЕРДЖИ""";0;обойдено
2508010281;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТИВИДОРНАЯ КОМПАНИЯ ""МАЛЫЙ ПОРТ""";6;обойдено
7404040139;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЛАТОУСТОВСКИЙ ""ВОДОКАНАЛ""";0;обойдено
2466301060;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УПРАВЛЕНИЕ ЗЕЛЕНОГО СТРОИТЕЛЬСТВА""";0;обойдено
2311209369;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ИНДУСТРИАЛЬНЫЙ ПАРК КРАСНОДАР""";0;обойдено
3810036184;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ИРКУТСКАВТОТРАНС"" Г.ИРКУТСКА";0;обойдено
6726022823;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГИОНАЛЬНЫЕ ОБЪЕДИНЕННЫЕ СИСТЕМЫ ВОДОСНАБЖЕНИЯ И ВОДООТВЕДЕНИЯ СМОЛЕНСКОЙ ОБЛ";0;обойдено
6633029960;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БОГДАНОВИЧСКАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ""";0;обойдено
4802011639;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОДОКАНАЛ""";0;обойдено
4312153088;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛГО-ВЯТСКИЕ КОММУНАЛЬНЫЕ СИСТЕМЫ"" Г. КИРОВО-ЧЕПЕЦКА";0;обойдено
4317002773;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГАЗСТРОЙ""";0;обойдено
8607100272;"ЛАНГЕПАССКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ТЕПЛОВОДОКАНАЛ""";0;обойдено
5515201236;"специализированное автономное учреждение Омской области ""Калачинский лесхоз""";0;обойдено
5214007997;"Муниципальное унитарное предприятие жилищно-коммунального хозяйства ""Жилсервис"" Володарского района";0;обойдено
