nomer;predmet;tip;zakazchik;zakazchik_inn;organizator;organizator_inn;cena;data_nachala;data_okonchaniya;status;region;ssylka;centrobezhnyy_predmet;klyuch;istochnik;data_sbora
5438800;Компрессор;B2B;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОХИМ ТЕРМИНАЛ УСТЬ - ЛУГА""";4707032163;;;;03.04.2025;10.04.2025;Прием предложений завершен;г Москва;https://zakupki.mos.ru/need/5438800;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4973736;Компрессор;закупка по потребностям;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ХОЗЯЙСТВЕННО-ЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ""";8602003388;;;29469.17;02.05.2024;13.05.2024;Прием предложений завершен;г Сургут;https://zakupki.mos.ru/need/4973736;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
3745344;Компрессор;закупка по потребностям;МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №15;5011019316;;;25000;09.07.2021;13.07.2021;Прием предложений завершен;обл Московская;https://zakupki.mos.ru/need/3745344;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
3551166;Компрессор;закупка по потребностям;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""СЕРГИЕВО-ПОСАДСКАЯ РАЙОННАЯ БОЛЬНИЦА""";5042009621;;;490000;13.11.2020;16.11.2020;Прием предложений завершен;обл Московская;https://zakupki.mos.ru/need/3551166;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
282091;Компрессор;закупка по потребностям;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ "" АВАРИЙНО-СПАСАТЕЛЬНАЯ СЛУЖБА ТИМАШЕВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ ТИМАШЕВСКОГО РАЙОНА """;2369005281;;;39000;28.02.2020;08.07.2020;Прием предложений завершен;край Краснодарский;https://zakupki.mos.ru/need/282091;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5437453;Компрессор;закупка по потребностям;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КУЗБАССКИЙ ЦЕНТР КРОВИ""";4205192212;;;3780;03.04.2025;03.04.2025;Прием предложений завершен;обл Кемеровская - Кузбасс;https://zakupki.mos.ru/need/5437453;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5350311;Компрессор;B2B;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС ИНЖИНИРИНГ СИСТЕМС""";3849096450;;;;19.02.2025;23.02.2025;Прием предложений завершен;г Москва;https://zakupki.mos.ru/need/5350311;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9713265;КОМПРЕССОРЫ;котировочная сессия;Государственное автономное учреждение города Москвы Инженерный научно-практический центр «Гормедтехника Департамента здравоохранения города Москвы»;7725262013;;;61100;07.02.2024;08.02.2024;Проведена;г Москва;https://zakupki.mos.ru/auction/9713265;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9640992;Компрессор;котировочная сессия;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа в Некрасовке»;7721692544;;;6234;18.10.2023;19.10.2023;Проведена;г Москва;https://zakupki.mos.ru/auction/9640992;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
1150030;Компрессор;закупка по потребностям;"ГОСУДАРСТВЕННОЕ СТАЦИОНАРНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ СИСТЕМЫ СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ""ЦЕНТР СОДЕЙСТВИЯ СЕМЕЙНОМУ ВОСПИТАНИЮ Г.ЧЕЛЯБИНСКА""";7450007778;;;6189;26.11.2019;27.11.2019;Прием предложений завершен;г Челябинск;https://zakupki.mos.ru/need/1150030;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
6053525;Компрессор;B2B;"АКЦИОНЕРНОЕ ОБЩЕСТВО ЦЕНТР СУДОРЕМОНТА ""ЗВЕЗДОЧКА""";2902060361;;;;05.05.2026;12.05.2026;Прием предложений завершен;;https://zakupki.mos.ru/need/6053525;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5358419;Компрессор;B2B;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛ - ТРАНСКОМ""";5944202327;;;;26.02.2025;05.03.2025;Прием предложений завершен;г Москва;https://zakupki.mos.ru/need/5358419;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5242112;Компрессор;закупка по потребностям;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 68 ПРИМОРСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;7814471266;;;16410;02.12.2024;03.12.2024;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/5242112;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9735900;Компрессор;котировочная сессия;"государственное бюджетное профессиональное образовательное учреждение ""Чайковский индустриальный колледж""";5920011316;;;15500;18.03.2024;19.03.2024;Не состоялась;край Пермский;https://zakupki.mos.ru/auction/9735900;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
3750803;Компрессор;закупка по потребностям;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ПРОИЗВОДСТВЕННО-ТЕХНИЧЕСКОЕ ОБЪЕДИНЕНИЕ УПРАВЛЕНИЯ ДЕЛАМИ ПРАВИТЕЛЬСТВА ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА""";8901020511;;;38400;16.07.2021;19.07.2021;Прием предложений завершен;АО Ямало-Ненецкий;https://zakupki.mos.ru/need/3750803;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
6079128;Компрессоры;B2B;"Акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие""";2902059091;;;;22.05.2026;01.06.2026;Прием предложений завершен; Архангельская область;https://zakupki.mos.ru/need/6079128;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9937020;КОМПРЕССОРЫ;котировочная сессия;Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Юго-Восточного административного округа»;7722597903;;;2433356.16;03.03.2025;04.03.2025;Проведена;г Москва;https://zakupki.mos.ru/auction/9937020;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9988851;КОМПРЕССОРЫ;котировочная сессия;Государственное бюджетное учреждение города Москвы «Жилищник района Ясенево»;7728866101;;;121871;04.06.2025;04.06.2025;Проведена;г Москва;https://zakupki.mos.ru/auction/9988851;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5001911;Компрессор;B2B;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЕКАМСКОЕ ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ИСКУССТВЕННЫХ КОЖ""";0264005146;;;;27.05.2024;30.05.2024;Прием предложений завершен;г Москва;https://zakupki.mos.ru/need/5001911;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
