nazvanie;inn;nazvanie_egrul;kpp;region;okved;status;rukovoditel;dolzhnost;kandidatov;pochemu
"""Carmac Group S.r.l."";Via Igna № 33, 36010, Carre (VICENZA), Италия";;;;;;;;;;кандидатов нет
"""Carmac Group s.r.l."";Via Igna № 33, 36010, Carre (VICENZA), Италия";;;;;;;;;;кандидатов нет
"""SPE RIGCO, INC."";931 Nation Dr., Azle, TX 76020, Соединенные Штаты Америки";;;;;;;;;;кандидатов нет
"""Балаковоатомэнергоремонт"" - филиал акционерного общества ""Атомэнергоремонт""";;;;;;;;;;кандидатов нет
"""Калининатомэнергоремонт""-филиал открытого акционерного общества ""Атомэнергоремонт""";;;;;;;;;;кандидатов нет
"""Колатомэнергоремонт"" - филиал акционерного общества ""Атомэнергоремонт""";;;;;;;;;;кандидатов нет
"""Ленатомэнергоремонт"" - филиал АО""Атомэнергоремонт""";5029112443;"""ЛЕНАТОМЭНЕРГОРЕМОНТ""-ФИЛИАЛ АО ""АТОМЭНЕРГОРЕМОНТ""";472643001;Ленинградская обл;;ACTIVE;;;2;несколько кандидатов, взят первый
"""Рус-КР""";7736645755;"ООО ""РУС-КР""";773601001;г Москва;46.90;ACTIVE;Первушин Вадим Евгениевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
"""ФГУП ""Атомфлот""";5192110268;"ФГУП ""АТОМФЛОТ""";519001001;Мурманская обл;52.22.18;ACTIVE;Антонов Яков Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;4;несколько кандидатов, взят первый
1-ГПЗ;2014043978;"ООО ""ГПЗ-1""";201401001;Чеченская Респ;45.31;ACTIVE;Асланов Сайяр Адалат Оглы;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
"AIR LIQUIDE ENGINEERING S.A.;6, rue Cognacq-Jay, 75007 Paris, Франция";;;;;;;;;;кандидатов нет
"AMT Technology Kft.;2040 Budaörs, Farkasréti u. 25., Венгрия";;;;;;;;;;кандидатов нет
"GEA Brewery Systems GmbH;Heinrich-Huppmann-Strasse 1, 97318, Kitzingen, Германия";;;;;;;;;;кандидатов нет
"ROCKWOOL INTERNATIONAL A/S;Hovedgaden 584 DK-2640 Hedehusene, Дания";;;;;;;;;;кандидатов нет
"Shandong Kerui Machinery Manufacture Co., Ltd;#267, No.2 South Road Dongying City, Shandong People’s Republic of China , Китай";;;;;;;;;;кандидатов нет
"«BRP ED SA»;BRP European Distribution SA Chemin de Messidor 5-7 1006 Lausanne, Швейцария";;;;;;;;;;кандидатов нет
"«Buhler AG»;СН-9240, Uzwil, Switzerland, Швейцария";;;;;;;;;;кандидатов нет
«Волгодонскатомэнергоремонт» - филиал ОАО «Атомэнергоремонт»;;;;;;;;;;кандидатов нет
«Ленатомэнергоремонт» - филиал Открытого акционерного общества «Атомэнергоремонт».;;;;;;;;;;кандидатов нет
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ТЕХНИЧЕСКАЯ АКАДЕМИЯ РОСАТОМА""";4025450383;"АНО ДПО ""ТЕХНИЧЕСКАЯ АКАДЕМИЯ РОСАТОМА""";402501001;Калужская обл;85.42.9;ACTIVE;Селезнёв Юрий Николаевич;РЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""33 СУДОРЕМОНТНЫЙ ЗАВОД""";3901500276;"АО ""33 СРЗ""";390101001;Калининградская обл;33.15;ACTIVE;Касьянов Олег Вячеславович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";7839395419;"АО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";783901001;г Санкт-Петербург;30.11;ACTIVE;Быстров Андрей Владимирович;ВРИО  ГЕНЕРАЛЬНОГО ДИРЕКТОРА;2;несколько кандидатов, взят первый
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЕКСЕЕВСКИЙ КОМБИКОРМОВЫЙ ЗАВОД""";3122506590;"АО ""АЛЕКСЕЕВСКИЙ КОМБИКОРМОВЫЙ ЗАВОД""";312201001;Белгородская обл;10.91.1;ACTIVE;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ РБПИ ГРУПП""";;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРМАДА ТРЕЙД""";9703061204;"АО ""АРМАДА ТРЕЙД""";770301001;г Москва;46.69.9;ACTIVE;Дубровная Кристина Алексеевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;3;несколько кандидатов, взят первый
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМСПЕЦТРАНС""";7717609102;"АО ""АТОМСПЕЦТРАНС""";771701001;г Москва;49.20.1;ACTIVE;Нащокин Владимир Владимирович;ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМСТРОЙЭКСПОРТ""";7701186067;АО АСЭ;526001001;Нижегородская обл;71.12.2;ACTIVE;Петров Андрей Ювенальевич;ПРЕЗИДЕНТ;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМТЕХЭКСПОРТ""";7705408850;"АО ""АТЭК""";772301001;г Москва;35.11.3;REORGANIZING;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСАТОМ СЕРВИС""";;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМЭНЕРГОРЕМОНТ""";5029112443;"АО ""АТОМЭНЕРГОРЕМОНТ""";772501001;г Москва;35.11.3;ACTIVE;Петров Сергей Владимирович;ВРЕМЕННЫЙ ЕДИНОЛИЧНЫЙ ИСПОЛНИТЕЛЬНЫЙ ОРГАН;2;несколько кандидатов, взят первый
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЕДУЩИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ХИМИЧЕСКОЙ ТЕХНОЛОГИИ""";7724675770;"АО ""ВНИИХТ""";772001001;г Москва;72.19;LIQUIDATED;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСАТОМ НАУКА""";;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЕДУЩИЙ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИЙ И НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ПРОМЫШЛЕННОЙ ТЕХНОЛОГИИ""";7724683379;"АО ""ВНИПИПРОМТЕХНОЛОГИИ""";772401001;г Москва;71.12.12;ACTIVE;Гладышев Андрей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛГА""";5244009279;"АО ""ВОЛГА""";524401001;Нижегородская обл;17.12;ACTIVE;Пондарь Сергей Иосифович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛОКОЛАМСКОЕ ПРОИЗВОДСТВЕННО-ТЕХНИЧЕСКОЕ ПРЕДПРИЯТИЕ РАЙОННОГО ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА""";5004021787;"АО ""ВОЛОКОЛАМСКОЕ ПТП РЖКХ""";500401001;Московская обл;35.30.14;ACTIVE;Малявинский Игорь Васильевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЫСОКОТЕХНОЛОГИЧЕСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ НЕОРГАНИЧЕСКИХ МАТЕРИАЛОВ ИМЕНИ АКАДЕМИКА А.А. БОЧВАРА""";7734598490;"АО ""ВНИИНМ""";773401001;г Москва;72.19.11;ACTIVE;Карпюк Леонид Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЛОПОЛИМЕР ПЕРМЬ""";5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";590801001;Пермский край;20.13;ACTIVE;Кондаков Сергей Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОЗНАК""";7813252159;"АО ""ГОЗНАК""";781301001;г Санкт-Петербург;18.12.9;ACTIVE;Трачук Аркадий Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННЫЙ НАУЧНЫЙ ЦЕНТР - НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ АТОМНЫХ РЕАКТОРОВ""";7302040242;"АО ""ГНЦ НИИАР""";732901001;Ульяновская обл;72.19.11;ACTIVE;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСАТОМ НАУКА""";;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИЗОТОП""";7704674312;"АО ""В/О""ИЗОТОП""";770401001;г Москва;46.69.9;ACTIVE;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСАТОМ НАУКА""";;5;несколько кандидатов, взят первый
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОММЕРЧЕСКИЙ ЦЕНТР""";6163011391;"ПАО КБ ""ЦЕНТР-ИНВЕСТ""";616301001;Ростовская обл;64.19;ACTIVE;Скрипка Сергей Григорьевич;ПРЕДСЕДАТЕЛЬ ПРАВЛЕНИЯ;5;несколько кандидатов, взят первый
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНСИСТ - ОПЕРАТОР СВЯЗИ""";7711077412;"АО ""КОНСИСТ-ОС""";772101001;г Москва;62.02.9;ACTIVE;Холкин Илья Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ВОЗДУШНО-КОСМИЧЕСКОЙ ОБОРОНЫ ""АЛМАЗ - АНТЕЙ""";7731084175;"АО ""КОНЦЕРН ВКО ""АЛМАЗ - АНТЕЙ""";773101001;г Москва;26.51.2;ACTIVE;Новиков Ян Валентинович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ТИТАН-2""";7827004484;"АО ""КОНЦЕРН ТИТАН-2""";770301001;г Москва;42.22.3;ACTIVE;Нагинский Григорий Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРОНШТАДТСКИЙ МОРСКОЙ ЗАВОД""";7843003128;"АО ""КРОНШТАДТСКИЙ МОРСКОЙ ЗАВОД""";784301001;г Санкт-Петербург;33.15;ACTIVE;Иванов Леонид Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;2;несколько кандидатов, взят первый
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД""";2462206345;"АО ""КРАСМАШ""";246201001;Красноярский край;30.30.4;ACTIVE;Дюкарев Александр Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНЭНЕРГОСБЫТ""";5190907139;"АО ""МЭС""";519001001;Мурманская обл;35.30.14;ACTIVE;Лыженков Алексей Германович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ И КОНСТРУКТОРСКИЙ ИНСТИТУТ МОНТАЖНОЙ ТЕХНОЛОГИИ - АТОМСТРОЙ""";7715719854;"АО ""НИКИМТ-АТОМСТРОЙ""";771501001;г Москва;71.12.2;ACTIVE;Шилин Роман Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ЦЕНТРАЛЬНЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ТЕХНОЛОГИИ МАШИНОСТРОЕНИЯ""";7723564851;"АО ""НПО ""ЦНИИТМАШ""";772301001;г Москва;72.19.9;ACTIVE;Орлов Виктор Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЕКАМСКОЕ ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ИСКУССТВЕННЫХ КОЖ""";0264005146;"АО ""ИСКОЖ""";026401001;Респ Башкортостан;13.96.4;ACTIVE;Киршина Лиана Раифовна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИИЭФА ИМ. Д.В. ЕФРЕМОВА""";7817331468;"АО ""НИИЭФА""";781701001;г Санкт-Петербург;72.19.9;ACTIVE;Герцог Сергей Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВАВИНД""";;;;;;;;;;кандидатов нет
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОРИЛЬСКТРАНСГАЗ""";2457081355;"АО ""НОРИЛЬСКТРАНСГАЗ""";245701001;Красноярский край;49.50.21;ACTIVE;Шилыковский Марк Игоревич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЕСПЕЧЕНИЕ РФЯЦ-ВНИИЭФ""";5254081010;"АО ""ОБЕСПЕЧЕНИЕ РФЯЦ-ВНИИЭФ""";525401001;Нижегородская обл;35.14;ACTIVE;Румянцев Андрей Вадимович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЪЕДИНЕННАЯ РАКЕТНО-КОСМИЧЕСКАЯ КОРПОРАЦИЯ""";7722692000;"АО ""ОРКК""";772201001;г Москва;72.19.9;ACTIVE;Гуреев Сергей Борисович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОКТЕКС""";5027070068;"АО ""ОКТЕКС""";502701001;Московская обл;13.92;ACTIVE;Лыков Алексей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;2;несколько кандидатов, взят первый
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОПЫТНО-ДЕМОНСТРАЦИОННЫЙ ЦЕНТР ВЫВОДА ИЗ ЭКСПЛУАТАЦИИ УРАН-ГРАФИТОВЫХ ЯДЕРНЫХ РЕАКТОРОВ""";7024033350;"АО ""ОДЦ УГР""";702401001;Томская обл;43.11.1;ACTIVE;Марков Сергей Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОПЫТНОЕ КОНСТРУКТОРСКОЕ БЮРО МАШИНОСТРОЕНИЯ ИМЕНИ И. И. АФРИКАНТОВА""";5259077666;"АО ""ОКБМ АФРИКАНТОВ""";525901001;Нижегородская обл;25.30.22;ACTIVE;Зверев Дмитрий Леонидович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР - ГЕНЕРАЛЬНЫЙ КОНСТРУКТОР;1;один кандидат
