nomer;lot;predmet;organizator;organizator_inn;organizator_kpp;zakazchik;zakazchik_inn;sekciya;region;cena;data_okonchaniya;status;gde_najdeno;tegi_ploshchadki;ssylka;centrobezhnyy_predmet;klyuch;istochnik;data_sbora
0375400000926000051;1;Поставка техники (бензопила и воздуходувное устройство);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""САНАТОРИЙ РАБОТНИКОВ ОРГАНОВ ПРОКУРАТУРЫ РОССИЙСКОЙ ФЕДЕРАЦИИ ""РОССИЯ""";9103094864;910301001;;;Государственные закупки (44-ФЗ);91. Республика Крым;151 946,67;29.04.2026 07:00;Процедура завершена;;бензопила | бензопила профессиональная | бензопила садовая | бензопила ручная | бензопила с аккумулятором | бензопила с бензиновым двигателем | моторная пила | пила бензиновая;https://www.roseltorg.ru/procedure/0375400000926000051/1;сомнительно;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
0373200644421000031;1;Поставка запчастей для воздуходувных устройств, бензопил и триммеров;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЯРОСЛАВСКОГО РАЙОНА""";7716789300;771601001;;;Государственные закупки (44-ФЗ);77. г. Москва;64 369,96;06.10.2021 09:00;Процедура завершена;;воздуходувное устройство | устройство бензопилы | устройство | запчасть | триммер | бензопила | воздуходувный | воздуходувное устройство;https://www.roseltorg.ru/procedure/0373200644421000031/1;сомнительно;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
0318300028422000146;1;Поставка воздуходувных устройств STIHL BG 50 или эквивалент;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ДИНСКОЙ РАЙОН;2330024645;233001001;;;Государственные закупки (44-ФЗ);23. Краснодарский край;43 000,00;17.06.2022 09:00;Процедура завершена;;воздуходувное устройство | устройство | эквивалент | воздуходувный | воздуходувное устройство | устройство | эквивалент | воздуходувный;https://www.roseltorg.ru/procedure/0318300028422000146/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32110540139;1;Оказание услуг по техническому обслуживанию воздуходувных агрегатов Siemens;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;;;Закупки среди субъектов МСП;77. г. Москва;3 272 099,31;18.08.2021 12:00;Процедура завершена;наименовании процедуры Открытый конкурс;техническое обслуживание | воздуходувные агрегаты | обслуживание | агрегат | технический | воздуходувный | техническое обслуживание | воздуходувные агрегаты;https://www.roseltorg.ru/procedure/32110540139/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32009551498;1;Оказание услуг по техническому обслуживанию воздуходувных агрегатов Siemens;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;;;Закупки среди субъектов МСП;77. г. Москва;3 213 308,24;15.10.2020 10:00;Процедура завершена;наименовании процедуры Открытый конкурс;обслуживание оборудования | механическое оборудование | Siemens | подшипники качения | обслуживание воздуходувных агрегатов | демонтаж мотор-редуктора | замена смазки | услуги по техническому обслуживанию;https://www.roseltorg.ru/procedure/32009551498/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
B1203261241434;1;Диагностика и техническое обслуживание трех нагнетателей Н360-21 воздуходувной насосной станции БОС;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМА""";5916031750;591601001;;;Росэлторг.Бизнес;59. Пермский край;;25.03.2026 13:41;Процедура завершена;;;https://www.roseltorg.ru/procedure/B1203261241434/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
0121600018122000039;1;Поставка ранцевого воздуходувного устройства STIL BR 700 или эквивалент;АДМИНИСТРАЦИЯ КОЧУБЕЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА СТАВРОПОЛЬСКОГО КРАЯ;2610020629;261001001;;;Государственные закупки (44-ФЗ);26. Ставропольский край;185 653,34;07.04.2022 08:00;Процедура завершена;;воздуходувки | вентиляторы | вентиляционные системы | вентиляция | воздухообмен | вентиляторные установки | воздуходувные устройства | вентиляционное оборудование;https://www.roseltorg.ru/procedure/0121600018122000039/1;сомнительно;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
0834400000620000017;1;Прочая закупка товаров, работ и услуг (насос и воздуходувное оборудование);"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 40 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО ИРКУТСКОЙ ОБЛАСТИ""";3849079969;384901001;;;Государственные закупки (44-ФЗ);38. Иркутская область;861 066,68;26.08.2020 05:00;Процедура завершена;;работы и услуги | насос это оборудование | оборудование | насос | воздуходувный | работы и услуги | насос это оборудование | оборудование;https://www.roseltorg.ru/procedure/0834400000620000017/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32009587017;1;Поставка агрегатов воздуходувных для нужд АО 'Мосводоканал' в 2020 году;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;;;Закупки среди субъектов МСП;77. г. Москва;15 074 068,26;27.10.2020 10:00;Процедура завершена;наименовании процедуры Открытый аукцион;компрессоры | воздушные компрессоры | воздуходувки | воздушные нагнетатели | промышленные компрессоры | передвижные компрессоры | мобильные компрессоры | компрессорное оборудование;https://www.roseltorg.ru/procedure/32009587017/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
32615653379;1;Разработку проектно-сметной документации по объекту: «Реконструкция РУ-6кВ и трансформаторов собственных нужд воздуходувной станции ОСК»;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА ХАБАРОВСКА ""ВОДОКАНАЛ""";2700001300;272101001;;;Коммерческие закупки и закупки по 223-ФЗ;27. Хабаровский край;763 268,60;16.02.2026 01:00;Процедура завершена;;реконструкция РУ-6кВ | проектирование электросетей | замена трансформаторов собственных нужд | реконструкция подстанции | сметная документация | электрооборудование 6кВ | круглосуточный диспетчерский контроль | модернизация электросетей;https://www.roseltorg.ru/procedure/32615653379/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
