inn;predpriyatie;kartochek;lyudej;s_mobilnym;sboev;pochemu
7704784450;"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";25;5;0;0;обойдено
6629022962;"АО ""УЭХК""";25;6;0;0;обойдено
5919470019;"ОАО ""СМЗ"" (ИНН 5919470019)";20;4;0;0;обойдено
7449006184;ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЧЕЛЯБИНСКИЙ КУЗНЕЧНО-ПРЕССОВЫЙ ЗАВОД;10;0;0;0;обойдено
7830001910;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКИЙ ЗАВОД""";10;0;0;0;обойдено
2902059091;"АО ""ПО ""СЕВМАШ""";10;0;0;0;обойдено
2460237901;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАЗАРОВСКАЯ ГРЭС""";25;10;0;1;1 карточек не снялось — перезапросить
6315376946;"ПАО ""Т ПЛЮС""";25;15;0;1;1 карточек не снялось — перезапросить
7839395419;"АО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";10;0;0;0;обойдено
7415036215;"АО ""ЭнСер""";14;3;1;0;обойдено
5452114972;"АО ""Ерофеев""";13;2;2;0;обойдено
4909095279;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УСТЬ-СРЕДНЕКАНГЭССТРОЙ""";25;18;5;0;обойдено
2536112729;"КГУП ""Примтеплоэнерго""";25;8;0;0;обойдено
2902060361;"АО ""ЦС ""ЗВЕЗДОЧКА""";10;0;0;0;обойдено
7843003128;"АО ""КРОНШТАДТСКИЙ МОРСКОЙ ЗАВОД""";10;0;0;0;обойдено
1435117944;"Акционерное общество ""Сахаэнерго""";10;0;0;0;обойдено
4714004270;"ФГУП ""ФЭО""";10;0;0;0;обойдено
2224152758;"АО ""СГК-АЛТАЙ""";25;9;0;0;обойдено
3448017919;"ООО ""ЛУКОЙЛ-ВОЛГОГРАДНЕФТЕПЕРЕРАБОТКА""";25;10;0;0;обойдено
7702038150;"ГУП ""Московский метрополитен""";15;2;0;0;обойдено
7703642903;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР РАО-ЦЕНТР УПРАВЛЕНИЯ ЗАКУПКАМИ""";22;4;0;0;обойдено
7817045594;ИЖОРАРЕМСЕРВИС;11;1;1;0;обойдено
7710177774;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ФИНАНСОВО-ХОЗЯЙСТВЕННОЕ УПРАВЛЕНИЕ""";14;4;0;0;обойдено
2453013555;"АО ""ПО ЭХЗ""";16;2;0;0;обойдено
8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";25;12;0;0;обойдено
