nomer;predmet;zakon;organizator;organizator_inn;organizator_kpp;organizator_kontakt;zakazchik;zakazchik_inn;zakazchik_kpp;zakazchik_kontakt;region;cena;data_publikacii;data_okonchaniya;pozicii_s_klyuchom;ssylka;centrobezhnyy_predmet;klyuch;istochnik;data_sbora
0348200049726000260;Выполнение работ по круглогодичному содержанию автомобильных дорог регионального или межмуниципального значения Московской области и их элементов (Лот 54);44-ФЗ;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""МОСАВТОДОР""";5000001525;502401001;;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""МОСАВТОДОР""";5000001525;502401001;;Московская область;99900000.00;29.07.2026;14.08.2026;"Выполнение работ по круглогодичному содержанию автомобильных дорог регионального или межмуниципального значения Московской области и их элементов (Подметание средствами малой механизации территории спецстоянок и плоскост ;; Соответствует запросу “воздуходувка”";https://www.rts-tender.ru/poisk/id/l0348200049726000260-1/;сомнительно;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
0187300010326000383;Поставка, монтаж и пусконаладка роторных воздуходувок с воздушным охлаждением в блочном контейнере в пгт. Новоаганск (для КОС 600);44-ФЗ;АДМИНИСТРАЦИЯ НИЖНЕВАРТОВСКОГО РАЙОНА;8620008290;860301001;;АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ НОВОАГАНСК;8620016742;862001001;;Ханты-Мансийский автономный округ Югра;5963333.32;29.07.2026;06.08.2026;"Воздуходувка Рутса ;; Соответствует запросу “воздуходувка”";https://www.rts-tender.ru/poisk/id/l0187300010326000383-1/;да;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
0373200068626000514;"Поставка бензиновых воздуходувок для нужд ГБУ ДО МКСШОР ""Восток""";44-ФЗ;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""СЛУЖБА МОНИТОРИНГА И ТЕХНИЧЕСКОГО КОНТРОЛЯ"" ДЕПАРТАМЕНТА СПОРТА ГОРОДА МОСКВЫ";7705412327;770801001;;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ГОРОДА МОСКВЫ МОСКОВСКАЯ КОМПЛЕКСНАЯ СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА ""ВОСТОК"" ДЕПАРТАМЕНТА СПОРТА ГОРОДА МОСКВЫ";7731260857;771901001;;Москва;197600.00;29.07.2026;05.08.2026;;https://www.rts-tender.ru/poisk/id/l0373200068626000514-1/;нет;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
0819300039026000325;Поставка запасных частей для бензиновой техники;44-ФЗ;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАКУПОК""";2443045406;244301001;;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБСЛУЖИВАНИЯ УЧРЕЖДЕНИЙ""";2443049143;244301001;;Красноярский край;276678.10;29.07.2026;05.08.2026;"Стартер для воздуходувки ;; Цилиндропоршневая группа для воздуходувки sturm GB 1963";https://www.rts-tender.ru/poisk/id/l0819300039026000325-1/;да;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
4541637;Инструмент разный ручной МГ-019675, МГ-019718, МГ-019719, МГ-019893, МГ-019894, МГ-019915, МГ-019947, МГ-019957.;Коммерческие;"Акционерное общество ""ИНВЕСТИЦИОННАЯ КОМПАНИЯ ""АРЛАН""";7722220390;770301001;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗОЛОТОРУДНАЯ КОМПАНИЯ ПАВЛИК""";4900000681;490901001;;Магаданская область;0.00;29.07.2026;03.08.2026;"Воздуходувка аккумуляторная Makita DUB184Z ;; Соответствует запросу “воздуходувка”";https://www.rts-tender.ru/poisk/id/l4541637-4-12-1/;да;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616244254;Постава фильтров для воздуходувки очистных сооружений.;223-ФЗ;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ТЕПЛО КОЛОМНЫ ОБЪЕДИНЕННЫЕ ИНЖЕНЕРНЫЕ СИСТЕМЫ""";5022030985;502201001;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ТЕПЛО КОЛОМНЫ ОБЪЕДИНЕННЫЕ ИНЖЕНЕРНЫЕ СИСТЕМЫ""";5022030985;502201001;"74966230776; sizova-ma@teplo-kolomna.ru";Московская область;345920.00;28.07.2026;04.08.2026;;https://www.rts-tender.ru/poisk/id/l32616244254-1/;да;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
4540680;электроинструмент А-С;Коммерческие;"Общество с ограниченной ответственностью управляющая компания ""ПРОМЫШЛЕННО-МЕТАЛЛУРГИЧЕСКИЙ ХОЛДИНГ""";0411075740;772501001;;"Общество с ограниченной ответственностью управляющая компания ""ПРОМЫШЛЕННО-МЕТАЛЛУРГИЧЕСКИЙ ХОЛДИНГ""";0411075740;772501001;;Москва;0.00;28.07.2026;31.07.2026;"Воздуходувка ручная аккумуляторная Bosch GBL 18V-120 0.601.9F5.100 120м3/ч 18В Корпус пластик ;; Соответствует запросу “воздуходувка”";https://www.rts-tender.ru/poisk/id/l4540680-4-12-1/;сомнительно;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
10531380;Воздуходувка ранцевая бензиновая,;Закупки малого объема;"Муниципальное автономное уреждение ""Физкультурно-оздоровительный комплекс ""Глинищево""";3245508693;324501001;;"Муниципальное автономное уреждение ""Физкультурно-оздоровительный комплекс ""Глинищево""";3245508693;324501001;Информация скрыта. Подробнее;Брянская область;43590.99;28.07.2026;31.07.2026;"Воздуходувка ранцевая бензиновая ;; Соответствует запросу “воздуходувка”";https://www.rts-tender.ru/poisk/id/l15025415-3-9-1/;сомнительно;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
0329300050126000017;Поставка техники малой механизации;44-ФЗ;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО ДЗЕРЖИНСКОГО РАЙОНА ВОЛГОГРАДА""";3443906199;344301001;;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО ДЗЕРЖИНСКОГО РАЙОНА ВОЛГОГРАДА""";3443906199;344301001;;Волгоградская область;470514.67;24.07.2026;04.08.2026;"воздуходувка пылесос ;; Соответствует запросу “воздуходувка”";https://www.rts-tender.ru/poisk/id/l0329300050126000017-1/;сомнительно;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
0118300013326001191;Поставка воздуходувок аккумуляторных;44-ФЗ;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОВОРОССИЙСК;2315061988;231501001;;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КОМПЛЕКСНОЕ СОДЕРЖАНИЕ ТЕРРИТОРИЙ"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОВОРОССИЙСК";2315227288;231501001;;Краснодарский край;175036.50;24.07.2026;04.08.2026;;https://www.rts-tender.ru/poisk/id/l0118300013326001191-1/;нет;воздуходувка;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
