organizator;lotov_obshchie;lotov_centro;centro_predmet
"ООО ""Байкальская энергетическая компания""";25;59;да
"АО ""Концерн Росэнергоатом""";97;28;да
"ГУП КК ""КУБАНЬВОДКОМПЛЕКС""";23;26;да
Алюкаев Александр Александрович;11;18;да
"ООО ""ППТК""";86;10;
"АО ""РИР""";23;13;
"ООО ""БЭК-РЕМОНТ""";;15;
АО ЧМЗ;9;13;да
"АО ""ВОДОКАНАЛ""";6;13;да
АО   ТРАНСНЕФТЬ-ВЕРХНЯЯ ВОЛГА;26;11;да
"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЧУЛЫМСКОГО РАЙОНА ""УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫМИ ЗАКУПКАМИ""";;13;да
"ООО ""НИИАР-ГЕНЕРАЦИЯ""";;13;
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 4 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО САРАТОВСКОЙ ОБЛАСТИ""";1;12;да
"МУП  ""ЛОКНЯНСКОЕ  ЖКХ""";;12;да
"ООО ""ААЭМ""";;12;да
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ИМЕНИ В.А. АЛМАЗОВА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ";46;7;да
"ООО ""ВОДОКАНАЛ""";;11;да
"ГУП ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";17;9;да
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СПЕЦИАЛЬНЫЙ ЛЕТНЫЙ ОТРЯД ""РОССИЯ"" УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ";17;9;да
"государственное (областное) учреждение ""Управление государственной противопожарной спасательной службы Липецкой области""";1;10;да
"ООО ""СИС""";;10;да
"ООО ""ТРАНСНЕФТЬ - СЕРВИС""";28;7;да
БАНК РОССИИ;28;7;да
"АО ""РИР ЭНЕРГО""";25;7;да
"АО ""ПО ЭХЗ""";25;7;да
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЯЗАНСКОЙ ОБЛАСТИ ""ЦЕНТР ЗАКУПОК РЯЗАНСКОЙ ОБЛАСТИ""";42;5;да
"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛИЗАЦИОННОЕ ХОЗЯЙСТВО Г.БУЗУЛУКА""";1;9;да
"ООО ""СГТС""";1;9;да
АДМИНИСТРАЦИЯ ЯКОВЛЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;;9;да
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ""КУРЧАТОВСКИЙ ИНСТИТУТ""";8;8;да
"АО ""ЭНЕРГОРЕМОНТ ПЛЮС""";7;8;
"АО ""ПЗЦМ"", АО ""ПРИОКСКИЙ ЗАВОД ЦВЕТНЫХ МЕТАЛЛОВ""";16;7;да
"МУП ""БОРОВИЧСКИЙ ВОДОКАНАЛ""";6;8;да
ТУ РОСИМУЩЕСТВА В АМУРСКОЙ ОБЛАСТИ;35;5;да
"АО ""РУСВЭЛЛГРУП""";;8;да
"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ГОРОДА ОБНИНСКА КАЛУЖСКОЙ ОБЛАСТИ ""ВОДОКАНАЛ""";;8;да
УПРАВЛЕНИЕ ПО МУНИЦИПАЛЬНЫМ ЗАКУПКАМ И РЕГУЛИРОВАНИЮ ТАРИФОВ АДМИНИСТРАЦИИ ГОРОДА УЛЬЯНОВСКА;9;7;да
Калининская атомная станция;9;7;да
Губарева Татьяна Николаевна;8;7;да
"АО ""ОКБМ АФРИКАНТОВ""";14;6;да
"АО ""СХК""";34;4;да
УПРАВЛЕНИЕ ЭКОНОМИКИ И ИМУЩЕСТВЕННЫХ ОТНОШЕНИЙ ГОРОДА КАЛУГИ;3;7;да
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ Н.Э. БАУМАНА (НАЦ";22;5;да
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 6 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО КУРГАНСКОЙ ОБЛАСТИ""";2;7;да
"МУП ""БАЛАКОВО-ВОДОКАНАЛ""";2;7;да
"АО  ""РУСАТОМ СЕРВИС""";1;7;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УССУРИЙСКОЕ ПРЕДПРИЯТИЕ ТЕПЛОВЫХ СЕТЕЙ""";1;7;да
"ООО ""ЭЦ ""ИРКУТ""";70;;
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 41 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО КЕМЕРОВСКОЙ ОБЛАСТИ - КУЗБАССУ""";;7;да
АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ АРКАДАКСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;;7;да
"МУП ""ЖКХ ИРБИТСКОГО РАЙОНА""";;7;да
АДМИНИСТРАЦИЯ КИРОВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ;;7;да
"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ЦИЛЬНИНСКИЙ РАЙОН"" УЛЬЯНОВСКОЙ ОБЛАСТИ";;7;да
"ПАО СЗ ""СЕВЕРНАЯ ВЕРФЬ""";39;3;да
АО «Квадра»;9;6;
АГЕНТСТВО ГОСУДАРСТВЕННЫХ ЗАКУПОК УЛЬЯНОВСКОЙ ОБЛАСТИ;17;5;да
"МКП Г.НЯГАНИ ""НРК""";5;6;да
"ФГАУ ""ОК ""ДАГОМЫС""";4;6;да
Лебедев Сергей Викторович;4;6;да
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ОТРЯД ФЕДЕРАЛЬНОЙ ПРОТИВОПОЖАРНОЙ СЛУЖБЫ ПО ОРЛОВСКОЙ ОБЛАСТИ""";3;6;да
"государственное (областное) бюджетное учреждение ""Управление государственной противопожарной спасательной службы Липецкой области""";3;6;да
