inn;predpriyatie;rol;nomer;predmet;organizator;vid;summa;data;data_zayavok;stadiya;istochnik;ssylka
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";organizator;0572500000126000007;Проектирование капитального ремонта стационарного снегоплавильного пункта по адресу: Санкт-Петербург, Рижский пр., д.45, лит. А, с устройством шумопоглощающего экрана;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";Открытый конкурс в электронной форме (ч. 19 ст. 48 44-ФЗ);13030703.76;28.05.2026 12:49;23.06.2026 10:00;Не состоялась;Госзакупки по 44-ФЗ;https://www.sberbank-ast.ru/OK/purchaseview.aspx?id=10977750
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";organizator;0572500000126000006;Разработка проектной и рабочей документации по объекту: «Реконструкция общественного туалета по адресу: г.Санкт-Петербург, Оборонная улица, дом 26а»;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";Открытый конкурс в электронной форме (ч. 19 ст. 48 44-ФЗ);4840749.73;27.05.2026 16:23;07.07.2026 10:00;Завершено;Госзакупки по 44-ФЗ;https://www.sberbank-ast.ru/OK/purchaseview.aspx?id=10976003
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";organizator;0572500000126000005;"Разработка проектной и рабочей документации по объекту: ""Реконструкция общественного туалета по адресу: г.Санкт-Петербург, Трамвайный проспект, дом 17, корпус 3, литера А""";"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";Открытый конкурс в электронной форме (ч. 19 ст. 48 44-ФЗ);5941552.48;27.05.2026 16:22;07.07.2026 10:00;Не состоялась;Госзакупки по 44-ФЗ;https://www.sberbank-ast.ru/OK/purchaseview.aspx?id=10975992
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";organizator;0572500000126000004;Разработка проектной и рабочей документации по объекту: «Реконструкция общественного туалета по адресу: Санкт-Петербург, г. Колпино, ул. Павловская, д. 82, литера. А, пом. 1-Н»;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";Открытый конкурс в электронной форме (ч. 19 ст. 48 44-ФЗ);4702021.64;27.05.2026 16:15;07.07.2026 10:00;Завершено;Госзакупки по 44-ФЗ;https://www.sberbank-ast.ru/OK/purchaseview.aspx?id=10975977
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";organizator;0572500000126000003;Проектирование строительства стационарного снегоплавильного пункта с реконструкцией канализационной насосной станции, тоннельного канализационного коллектора по адресу: Санкт-Петербург, улица Руставели, дом 31, корпус 4, литера А;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";Открытый конкурс в электронной форме (ч. 19 ст. 48 44-ФЗ);37376325.75;13.04.2026 15:57;05.05.2026 10:00;Отменено;Госзакупки по 44-ФЗ;https://www.sberbank-ast.ru/OK/purchaseview.aspx?id=10903858
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";organizator;0572500000126000002;Проектирование капитального ремонта стационарного снегоплавильного пункта по адресу: Санкт-Петербург, Рижский пр., д.45, лит. А, с устройством шумопоглощающего экрана;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";Открытый конкурс в электронной форме (ч. 19 ст. 48 44-ФЗ);13030703.76;07.04.2026 14:28;05.05.2026 10:00;Не состоялась;Госзакупки по 44-ФЗ;https://www.sberbank-ast.ru/OK/purchaseview.aspx?id=10893854
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";organizator;0572500000126000001;Проектирование реконструкции водовода от Колпинской водопроводной станции в пос. Понтонный до насосной станции 4 подъема г. Колпино, на участке от КВС до Лагерного шоссе (Водовод от ст.2 подъема до 3 подъема);"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";Открытый конкурс в электронной форме (ч. 19 ст. 48 44-ФЗ);36365834.87;03.04.2026 15:13;21.04.2026 10:00;Завершено;Госзакупки по 44-ФЗ;https://www.sberbank-ast.ru/OK/purchaseview.aspx?id=10889099
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";organizator;0572500000125000021;"Разработка проектной и рабочей документации по объекту: ""Реконструкция общественного туалета по адресу: г.Санкт-Петербург, Трамвайный проспект, дом 17, корпус 3, литера А""";"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";Открытый конкурс в электронной форме (ч. 19 ст. 48 44-ФЗ);5701513.18;25.12.2025 08:57;20.01.2026 10:00;Не состоялась;Госзакупки по 44-ФЗ;https://www.sberbank-ast.ru/OK/purchaseview.aspx?id=10753264
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";organizator;0572500000125000020;"Разработка проектной и рабочей документации по объекту: ""Реконструкция туалета вдоль чаш фонтана № 4 по адресу: Российская Федерация, Санкт-Петербург, внутригородское муниципальное образование Санкт-Петербурга муниципальный округ Звездное, Московская площадь, сооружение 2/12""";"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";Открытый конкурс в электронной форме (ч. 19 ст. 48 44-ФЗ);9057006.54;25.12.2025 08:56;20.01.2026 10:00;Не состоялась;Госзакупки по 44-ФЗ;https://www.sberbank-ast.ru/OK/purchaseview.aspx?id=10753262
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";organizator;0572500000125000019;"Разработка проектной и рабочей документации по объекту: ""Реконструкция общественного туалета по адресу: г.Санкт-Петербург, проспект Обуховской Обороны, дом 245а, литера А""";"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";Открытый конкурс в электронной форме (ч. 19 ст. 48 44-ФЗ);5136351.72;25.12.2025 08:55;20.01.2026 10:00;Не состоялась;Госзакупки по 44-ФЗ;https://www.sberbank-ast.ru/OK/purchaseview.aspx?id=10753256
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";organizator;0572500000125000018;"Разработка проектной и рабочей документации по объекту: ""Реконструкция декоративного бассейна с фонтанами по адресу: г.Санкт-Петербург, Петергофское шоссе, дом 27, литера К""";"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";Открытый конкурс в электронной форме (ч. 19 ст. 48 44-ФЗ);16096684.25;25.12.2025 08:54;20.01.2026 10:00;Завершено;Госзакупки по 44-ФЗ;https://www.sberbank-ast.ru/OK/purchaseview.aspx?id=10753246
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";organizator;0572500000125000017;"Оказание услуг по ведению авторского надзора за выполнением работ на объекте: ""Реконструкция дождевой канализационной сети по адресу: пр. Луначарского на участке от пр. Энгельса до пр. Культуры""";"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";Электронный открытый аукцион;1907663.87;26.11.2025 12:38;09.12.2025 10:00;Завершено;Госзакупки по 44-ФЗ;https://www.sberbank-ast.ru/purchaseview.aspx?id=10694746
