organizator_na_ploshchadke;inn_dadata;egrul_nazvanie;okved;region;score_sopostavleniya;nash_iz_543;zapros;predmet_lota;summa;sekciya;nomer;data_publikacii
"АО ""БАШКИРАВТОДОР""";0277985164;"ЧОУ ДПО ""УЦ АО ""БАШКИРАВТОДОР""";85.21;Респ Башкортостан;1.0;;турбокомпрессор;Запрос предложений на право заключения договора оказания услуг по ремонту турбокомпрессоров отечественной и импортной техники АО «Башкиравтодор» с использованием  собственных запасных частей исполнителя.;1  900 000.00;Закупки по 223-ФЗ;SBR003-260114897800076.1;28.05.2026 12:32
"АО ""ВОДОКАНАЛ-ЧИТА""";7536064538;"АО ""ВОДОКАНАЛ-ЧИТА""";36.00.1;Забайкальский край;1.0;;воздуходувка;Муфтовая воздуходувка (компрессор) с электродвигателем и обратным клапаном;389 270.00;Закупки по 223-ФЗ;SBR003-260023326000018.1;22.06.2026 08:49
"АО ""Невьянский цементник""";;;;;;;центробежный компрессор;Выполнение работ по ремонту центробежного компрессора К-250-61-5 инвентарный № 1458 (541.CP301);;Закупки и продажи;SBR028-2102240005.1;24.02.2021 09:53
"АО ""ПО ЭХЗ""";;;;;;;центробежный компрессор;Выполнение работ по замене контроллеров и устранению дефектов на центробежных компрессорах «Turbo Air 3000» CAMERON;;"Закупки ГК ""Росатом""";166073644.0;21.04.2022 09:12
"АО ""ПО ЭХЗ""";;;;;;;центробежный компрессор;Работы по замене контроллеров и устранению дефектов на центробежных компрессорах «Turbo Air 3000» CAMERON;;"Закупки ГК ""Росатом""";159247826.0;08.02.2022 06:03
"АО ""ПО ЭХЗ""";;;;;;;центробежный компрессор;Работы по замене контроллеров и устранению дефектов на центробежных компрессорах «Turbo Air 3000» CAMERON;;"Закупки ГК ""Росатом""";148571270.0;09.11.2021 13:18
"АО ""ПРОМИНН""";7725524660;"АО ""ПРОМИНН""";63.11.9;г Москва;1.0;;центробежный компрессор;Право заключения договора на поставка масла для винтовых/центробежных компрессоров ANDEROL S-100;5  400 000.00;"Закупки ГК ""Росатом""";245327511.1;06.05.2024 16:35
"АО ""РЭПХ""";7806151791;"АО ""РЭПХ""";28.11.1;г Санкт-Петербург;1.0;;центробежный компрессор;Поставка колодок и сепараторов для компрессора центробежного попутного нефтяного газа для ГПА мощностью 16 МВт;6  434 886.60;Закупки по 223-ФЗ;SBR003-200532532100009.36;17.07.2020 15:54
"АО ""САХАТРАНСНЕФТЕГАЗ""";1435142972;"АО ""САХАТРАНСНЕФТЕГАЗ""";35.22;Респ Саха (Якутия);1.0;;компрессор;"Поставка компрессоров для УГРС  АО ""Сахатранснефтегаз""";219 672.75;Торги нефтегазовой отрасли, инженерного обеспечения и электроэнергетики;SBR063-260650175400380.1;16.07.2026 09:31
"АО ""СНСЗ""";7817315385;"АО ""СНСЗ""";30.11;г Санкт-Петербург;1.0;;воздуходувка;Поставка аккумуляторного инструмента ( воздуходувка и пылесосы);0.00;SberB2B;129544950;20.05.2026 08:37
"АО ""ТЕПЛИЧНОЕ""";1328016109;"АО ""ТЕПЛИЧНОЕ""";01.13.9;Респ Мордовия;1.0;;турбокомпрессор;Открытый конкурс в электронной форме на право заключения договора на выполнение работ по техническому обслуживанию двух турбокомпрессоров АВВ типа TPS 52 F32;1  244 400.00;Закупки по 223-ФЗ;SBR003-260007009700035.1;10.06.2026 12:45
"АО ""ТРАНСНЕФТЬ - ДРУЖБА""";3235002178;"АО ""ТРАНСНЕФТЬ - ДРУЖБА""";49.50.11;Брянская обл;1.0;;компрессор;Компрессор кондиционера ( оригинал) кат. №883206А410;0.00;SberB2B;91844180;20.07.2026 13:36
