ploshchadka;zapros;naydeno;status;primer;slova_v_vydache;url;oshibka
ЭТП ГПБ;центробежный компрессор;10535;200;"АО ""КРИОГЕНМАШ"" / АО РКЦ ПРОГРЕСС / ПАО УРАЛКУЗ";центробеж:20 компрес:20;https://etpgpb.ru/procedures/?search=%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%BE%D0%B1%D0%B5%D0%B6%D0%BD%D1%8B%D0%B9%20%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80;
ЭТП ГПБ;нагнетатель;1243;200;"АО ""СЗ"" / ГАЗПРОМ НЕФТЕХИМ САЛАВАТ / ПАО ""ЧМК""";нагнетат:21;https://etpgpb.ru/procedures/?search=%D0%BD%D0%B0%D0%B3%D0%BD%D0%B5%D1%82%D0%B0%D1%82%D0%B5%D0%BB%D1%8C;
ЭТП ГПБ;турбокомпрессор;3092;200;"АО ""МОСКОКС"" / АО ""БМК"" / АО ""ВТУ""";турбокомпрес:20;https://etpgpb.ru/procedures/?search=%D1%82%D1%83%D1%80%D0%B1%D0%BE%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80;
ЭТП ГПБ;воздуходувка;620;200;"АО РЭПХ / ГАЗПРОМ НЕФТЕХИМ САЛАВАТ / Филиал ""Краснодар Бурение""";воздуходу:20;https://etpgpb.ru/procedures/?search=%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85%D0%BE%D0%B4%D1%83%D0%B2%D0%BA%D0%B0;
ЭТП ГПБ;турбовоздуходувка;131;200;"АО ""АЙСОРС"" / ПАО «Южный Кузбасс» / ООО ""УЛЬЯНОВСКОБЛВОДОКАНАЛ""";турбовоздуходу:8;https://etpgpb.ru/procedures/?search=%D1%82%D1%83%D1%80%D0%B1%D0%BE%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85%D0%BE%D0%B4%D1%83%D0%B2%D0%BA%D0%B0;
ЭТП ГПБ;ЦНД;200;200;ПАО УРАЛКУЗ / ГАЗПРОМ НЕФТЕХИМ САЛАВАТ / Газпром метанол;цнд:18;https://etpgpb.ru/procedures/?search=%D0%A6%D0%9D%D0%94;
ЭТП ГПБ;компрессорная установка;5451;200;ГАЗПРОМ ПЕРЕРАБОТКА / ИЗ-КАРТЭКС ИМЕНИ П.Г. КОРОБКОВА / НОВАТЭК-УСТЬ-ЛУГА;компрессор:20 устано:20;https://etpgpb.ru/procedures/?search=%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80%D0%BD%D0%B0%D1%8F%20%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0;
ТЭК-Торг 223-ФЗ;центробежный компрессор;5;200;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КНГК-ГРУПП"" / Публичное акционерное общество """"СЛАВНЕФТЬ-ЯРОСЛАВНЕФТЕОРГСИНТЕЗ";центробеж:5 компрес:7;https://www.tektorg.ru/223-fz/procedures?name=%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%BE%D0%B1%D0%B5%D0%B6%D0%BD%D1%8B%D0%B9%20%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80;
ТЭК-Торг 223-ФЗ;нагнетатель;30;200;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСВЕННОСТЬЮ ""СТАВРОПОЛЬНЕФТЕГАЗ"" / АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИЛОВЫЕ МАШИНЫ - ЗТЛ, ЛМЗ, ЭЛЕКТРОС";нагнетат:13;https://www.tektorg.ru/223-fz/procedures?name=%D0%BD%D0%B0%D0%B3%D0%BD%D0%B5%D1%82%D0%B0%D1%82%D0%B5%D0%BB%D1%8C;
ТЭК-Торг 223-ФЗ;турбокомпрессор;22;200;"ЕКАТЕРИНБУРГСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ВОДОПРОВОДНО-КАНА / ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮНИПРО"" / МУНИЦ";турбокомпрес:9;https://www.tektorg.ru/223-fz/procedures?name=%D1%82%D1%83%D1%80%D0%B1%D0%BE%D0%BA%D0%BE%D0%BC%D0%BF%D1%80%D0%B5%D1%81%D1%81%D0%BE%D1%80;
