inn;predpriyatie;kartochek;lyudej;s_mobilnym;sboev;pochemu
7704784450;"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";4;3;0;1;1 карточек не снялось — перезапросить
5406323202;"АО ""ТГК-11""";4;4;0;0;обойдено
2465142996;"ООО ""РН-ВАНКОР""";4;0;0;4;4 карточек не снялось — перезапросить
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";25;8;0;4;4 карточек не снялось — перезапросить
7701791321;"ООО ""СК ""РУСВЬЕТПЕТРО""";25;7;0;0;обойдено
7702352454;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";25;0;0;25;25 карточек не снялось — перезапросить
2465142996;"ООО ""РН-ВАНКОР""";20;0;0;20;20 карточек не снялось — перезапросить
7702352454;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";20;0;0;20;20 карточек не снялось — перезапросить
4345047310;"АО ""ВМП ""АВИТЕК""";20;6;0;1;1 карточек не снялось — перезапросить
2365004375;"ООО ""РН-ТУАПСИНСКИЙ НПЗ""";20;5;1;10;10 карточек не снялось — перезапросить
5920005217;МУП ЧАЙКОВСКИЙ ВОДОКАНАЛ;18;2;0;0;обойдено
2311010502;ГБУЗ ККБ № 2;20;0;0;20;20 карточек не снялось — перезапросить
7703642903;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР РАО-ЦЕНТР УПРАВЛЕНИЯ ЗАКУПКАМИ""";20;0;0;20;20 карточек не снялось — перезапросить
7712040126;ПАО АЭРОФЛОТ;17;4;0;0;обойдено
