inn;predpriyatie;nomer;predmet;organizator;vid;summa;data;data_konca;stadiya;sekciya;ssylka
2124009521;"ПАО ""ХИМПРОМ""";ПИ607351;Реализация макулатуры из типографии (упаковано в тюки, весом по 0,3 т. каждый.) в 2026г.;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-30;2026-08-06;Приём заявок;sale;https://www.tektorg.ru/org/vitrine/procedures/19460174
2124009521;"ПАО ""ХИМПРОМ""";ПИ607262;Реализация нового насоса центробежного одноступенчатого консольного горизонтального 10КН 40-160М (ном. № 74143);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-15;2026-08-07;Приём заявок;sale;https://www.tektorg.ru/org/vitrine/procedures/19447287
2124009521;"ПАО ""ХИМПРОМ""";ПИ607345;Реализация токарного станка ТВ-320 (год выпуска 1962, инв.№56337);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-21;2026-08-03;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19459234
2124009521;"ПАО ""ХИМПРОМ""";ПИ607291;Реализация фильтров рукавных JQMG64-8 ТА2 (поз.А, поз.В) с комплектом запасных частей (оборудование новое);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-17;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/sale/procedures/19452147
2124009521;"ПАО ""ХИМПРОМ""";ПИ607289;Реализация  шнека спирального титанового (ном. № 78876), оборудование новое;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-17;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19451675
2124009521;"ПАО ""ХИМПРОМ""";ПИ607287;Смеситель статический Пульсар-СМ-65/50-16К/Х6 (ном. № 74148), новый;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-16;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19451038
2124009521;"ПАО ""ХИМПРОМ""";ПИ607286;Сигнализатор уровня вибрационный ВИБРОТЭК (ном. № 88900),новый;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-16;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19451037
2124009521;"ПАО ""ХИМПРОМ""";ПИ607284;Реализация нового накопительного титанового бункера 1,2 м3 со шнеком (ном. № 78004);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-16;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19450936
2124009521;"ПАО ""ХИМПРОМ""";ПИ607280;Реализация элеватора ковшового цепного ЦО-160-5900 (ном. № 77682);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-16;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19449399
2124009521;"ПАО ""ХИМПРОМ""";ПИ607279;Реализация новых центрифуг из титана ТА2 (ном. №№74139, 77693,77969);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-16;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/sale/procedures/19449248
2124009521;"ПАО ""ХИМПРОМ""";ПИ607277;Насос центробежный одноступенчатый консольный горизонтальный с магнитной муфтой 10КНмм 25-160СВ (ном. № 78017, 78034);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-16;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19449100
2124009521;"ПАО ""ХИМПРОМ""";ПИ607276;Реализация нового насоса центробежного самовсасывающего мембранного (ном. № 77973) и комплекта ЗИП (двойное торцевое уплотнение, ном. № 99401);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-16;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/sale/procedures/19449097
2124009521;"ПАО ""ХИМПРОМ""";ПИ607271;Реализация новых насосов центробежных одноступенчатых консольных горизонтальных с магнитной муфтой 10КНмм 80-315СВ (ном. № 77695);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-15;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19448209
2124009521;"ПАО ""ХИМПРОМ""";ПИ607270;Реализация новых насосов центробежных одноступенчатых консольных горизонтальных с магнитной муфтой 10КНмм 80-315СВ (ном. № 77694);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-15;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19448044
2124009521;"ПАО ""ХИМПРОМ""";ПИ607269;Реализация новых насосов центробежных одноступенчатых консольных горизонтальных с магнитной муфтой 10КНмм 20-160 (ном. № 77681);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-15;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19447895
2124009521;"ПАО ""ХИМПРОМ""";ПИ607268;Реализация новых насосов мембранных пневматических QBK15PPF46 (ном. № 77680);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-15;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19447891
2124009521;"ПАО ""ХИМПРОМ""";ПИ607264;Реализация нового насоса центробежного одноступенчатого консольного горизонтального с магнитной муфтой 10КНмм 32-125 (ном. № 74147);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-15;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19447587
2124009521;"ПАО ""ХИМПРОМ""";ПИ607263;Реализация нового насоса центробежного одноступенчатого консольного горизонтального с магнитной муфтой 10КНмм 32-160 (ном. № 74146);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-15;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19447288
2124009521;"ПАО ""ХИМПРОМ""";ПИ607260;Насос центробежный одноступенчатый консольный горизонтальный 10КН 40-160 (ном. № 74142);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-15;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19447285
2124009521;"ПАО ""ХИМПРОМ""";ПИ607259;Реализация емкости вертикальной из нержавеющей стали Duplex 2205 с рубашкой и мешалкой вместимостью 25м3 (ном. № 77676);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-15;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19447283
2124009521;"ПАО ""ХИМПРОМ""";ПИ607258;Реализация емкости вертикальной из нержавеющей стали S22053 с мешалкой рабочим объемом 5,95 м3 (ном. № 77675);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-15;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19446855
2124009521;"ПАО ""ХИМПРОМ""";ПИ607256;Реализация емкости вертикальной из титана ТА2 с мешалкой вместимостью 25 м3 (ном. № 74131);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-15;2026-07-31;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19446852
2124009521;"ПАО ""ХИМПРОМ""";ПИ607285;Емкость щелочи вертикальная с коническим дном и плоской крышкой 3 м3 (ном. № 74136) , новая;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-07-16;2026-07-27;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/19450940
2124009521;"ПАО ""ХИМПРОМ""";ПИ602421;Реализация невостребованного имущества (Кабельно-проводниковая продукция, электрика);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-02-20;2026-03-06;Архив;sale;https://www.tektorg.ru/org/vitrine/procedures/17936941
2124009521;"ПАО ""ХИМПРОМ""";ПИ602420;Реализация невостребованного имущества (Оборудование и станки);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-02-20;2026-03-06;Работа комиссии;sale;https://www.tektorg.ru/org/vitrine/procedures/17936938
2124009521;"ПАО ""ХИМПРОМ""";ПИ602417;Реализация невостребованного имущества (Трубы и металлопрокат);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-02-20;2026-03-06;Архив;sale;https://www.tektorg.ru/org/vitrine/procedures/17936411
2124009521;"ПАО ""ХИМПРОМ""";ПИ603011;Реализация невостребованного имущества (Листы, круги);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-03-02;2026-03-05;Архив;sale;https://www.tektorg.ru/org/vitrine/procedures/17957822
2124009521;"ПАО ""ХИМПРОМ""";ПИ603010;Реализация невостребованного имущества (Трубы);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2026-03-02;2026-03-05;Архив;sale;https://www.tektorg.ru/org/vitrine/procedures/17957376
2124009521;"ПАО ""ХИМПРОМ""";ПИ512399;Реализация автомобиля MERCEDES BENZ S450 4MATIC (рег. знак Н 437 КК 21 RUS, 2019 года выпуска);"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2025-12-25;2026-01-25;Архив;sale;https://www.tektorg.ru/org/vitrine/procedures/17223655
2124009521;"ПАО ""ХИМПРОМ""";ПИ510260;Реализация трубопроводной арматуры, деталей трубопровода, запасных частей в 2025 г.;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2025-10-20;2025-10-27;Архив;sale;https://www.tektorg.ru/org/vitrine/procedures/16515263
2124009521;"ПАО ""ХИМПРОМ""";ПИ510148;Реализация труб и металлопроката в 2025 году;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2025-10-09;2025-10-14;Архив;sale;https://www.tektorg.ru/org/vitrine/procedures/16391800
2124009521;"ПАО ""ХИМПРОМ""";ПИ504464;Реализация задвижек 30с41нж и выключателей Эра (ТМЦ не использовались) в 2025 году;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2025-04-24;2025-04-29;Архив;sale;https://www.tektorg.ru/org/vitrine/procedures/13668573
2124009521;"ПАО ""ХИМПРОМ""";ПИ404290;Реализация шпал б/у(деревянных) в 2024г. ;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2024-04-16;2024-04-22;Отменён;sale;https://www.tektorg.ru/org/vitrine/procedures/10931619
2124009521;"ПАО ""ХИМПРОМ""";ПИ404048;Реализация еврокубов (контейнер 1м3) б/у, 50 шт, Чувашская Республика;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2024-04-03;2024-04-04;Отменён;sale;https://www.tektorg.ru/org/vitrine/procedures/10813591
2124009521;"ПАО ""ХИМПРОМ""";ПИ312371;Реализация графита б/у в 2024г.  ;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2024-03-14;2024-04-01;Отменён;sale;https://www.tektorg.ru/org/vitrine/procedures/9781706
2124009521;"ПАО ""ХИМПРОМ""";ПИ307111;Реализация шпал б/у(деревянные) в 2023г.;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2024-03-14;2024-04-01;Отменён;sale;https://www.tektorg.ru/org/vitrine/procedures/8256139
2124009521;"ПАО ""ХИМПРОМ""";ПИ307110;Реализация серной отработанной кислоты в ориентировочном количестве 1000 т. ;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";Запрос предложений;НМЦ не установлена;2024-01-29;2024-02-29;Отменён;sale;https://www.tektorg.ru/org/vitrine/procedures/8255920
