company_id;inn;kpp;nazvanie_na_ploshchadke
101518;4221011880;425301001;СИБЭЛЕКТРО
102842;4715030610;424950001;Пикалевский глиноземный завод
111347;7117000076;710150001;Пластик
138322;4217168581;390601001;АЦ Гермес
14190;5919470019;591901001;Соликамский магниевый завод
143262;2127309097;213001001;ПО КТЗ
15225;7805059786;783450001;АО Металлургический завод Петросталь
156174;5615002820;561501001;ОКУ
16217;1433000147;143301001;АК АЛРОСА
162379;7417011270;242643001;Филиал Группа Магнезит в пгт.Раздолинске
16537;7417001747;745701001;Комбинат Магнезит
165616;4900000681;490901001;АО ПАВЛИК
170415;7722220390;770301001;ИК АРЛАН
170424;6726024309;672601001;Золотая нива
191547;3127000014;997550001;АО Лебединский ГОК
197178;2723188252;270301001;АМУРСТАЛЬ
20076;5907001774;590701001;НПО ИСКРА
206486;5405002407;540501001;ЭНРИЧ ИНЖИНИРИНГ
210033;7718560636;501901001;ПАО Группа Черкизово
21048;6626002291;997450001;Северский трубный завод
21071;3435900186;997450001;Волжский трубный завод
225094;3808118560;384901001;ЭН+ ТОРГОВЫЙ ДОМ
23933;6666003414;661201001;КУЗОЦМ
26;6451122250;644750001;Саратоворгсинтез
263938;4221000535;422101001;РУСАЛ Новокузнецк
28671;6901093516;695001001;Тверь Водоканал
28923;2709001590;270901001;Порт Ванино
2947;7116000066;997550001;НАК Азот
2953;1650032058;997850001;КАМАЗ
2956;2303025270;230750001;Белореченские Минудобрения
2983;2631015563;263101001;Невинномысский Азот
311627;;;
31171;5191431170;997550001;Кольская ГМК
314103;7404070888;740401001;ТД ЗЭМЗ
31460;5610077370;561001001;Оренбург Водоканал
33243;1656025681;165601001;Казанский пороховой завод
334235;7730248430;773001001;РУСАЛ Менеджмент
334308;6612005052;344102001;РУСАЛ Волгоград
334350;3803100054;380401001;РУСАЛ Братск
334356;1902014500;997550001;РУСАЛ Саяногорск
334867;7720613388;504201001;АО ЗТЗ
335106;7730248430;773001001;РУСАЛ Менеджмент
338480;7730248021;244343001;Филиал ИСО в г. Ачинск
338611;7730248021;773001001;ИСО
34268;2700001300;272150001;Водоканал
344908;7730248021;380443001;Филиал ИСО в г.Братск
348056;7709788673;381601001;РУСАЛ Анодная Фабрика
348345;2465043748;660850001;КраМЗ
348796;;;
349271;3804039638;246501001;РУСАЛ ИТЦ
349459;4205003440;424950001;АО КТК
350231;2465000141;246501001;РУСАЛ Красноярск
350244;3816031810;381601001;РУСАЛ Промтехразвитие
350249;7709567459;381601001;Инженерно-Строительная Компания
350260;3815011264;381501001;РУСАЛ Тайшет
350353;4701000013;471501001;РУСАЛ Бокситогорск
350386;3803100054;381043001;Филиал РУСАЛ Братск в г. Шелехов
350389;2443005570;244301001;РУСАЛ Ачинск
350490;6612005052;661202001;РУСАЛ Каменск-Уральский
350493;6612005052;661702001;РУСАЛ Краснотурьинск
350688;6631001159;661701001;СУБР
350778;6612005052;510203001;РУСАЛ Кандалакша
350779;1117000011;111701001;БОКСИТ ТИМАНА
350867;7730248021;661243001;Филиал ИСО в г. Каменск-Уральский
351075;3821008439;381001001;РУСАЛ Кремний
351169;7730248021;661743001;Филиал ИСО в г. Краснотурьинск
351522;7730248021;661743002;Филиал ИСО в г. Североуральск
