inn;predpriyatie;company_id;company_na_ploshchadke;tenderov;pochemu
2130230898;ТД Транспортное машиностроение;389400;ТД Транспортное машиностроение (Чебоксары);71;обойдено
7718560636;ПАО Группа Черкизово;210033;ПАО Группа Черкизово (Москва);654;обойдено
2124009521;"ПАО ""ХИМПРОМ""";51053;Химпром (Новочебоксарск);647;обойдено
7417001747;"ПАО ""КОМБИНАТ ""МАГНЕЗИТ""";16537;Комбинат Магнезит (Сатка);208;обойдено
2457029066;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД НОРИЛЬСК ""КОММУНАЛЬНЫЕ ОБЪЕДИНЕННЫЕ СИСТЕМЫ""";;;0;в каталоге площадки нет
4220020218;ТопПром;80034;ТопПром (Новокузнецк);82;обойдено
2127309097;ПО КТЗ;143262;ПО КТЗ (Чебоксары);33;обойдено
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";;;0;в каталоге площадки нет
6612005052;"АО ""РУСАЛ УРАЛ""";334308;РУСАЛ Волгоград;127;обойдено
7705880068;Русский Уголь;55785;Русский Уголь (Москва);49;обойдено
7730248021;"ООО ""ИСО""";338611;ИСО (Москва);930;обойдено
1650032058;КАМАЗ;2953;КАМАЗ (Набережные Челны);3;обойдено
3006006420;"ООО ""ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ""";;;0;в каталоге площадки нет
1117000011;"АО ""Боксит Тимана""";350779;БОКСИТ ТИМАНА (Княжпогостский район);57;обойдено
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";;;0;в каталоге площадки нет
7730248430;РУСАЛ Менеджмент (непрофильные активы);334235;РУСАЛ Менеджмент (Москва);1833;обойдено
3804039638;РУСАЛ ИТЦ;349271;РУСАЛ ИТЦ (Красноярск);101;обойдено
7704758153;ГК ЛокоТех;466287;ВОСТОЧНО-СИБИРСКИЙ (Северобайкальск);0;обойдено
2624022320;"ООО ""СТАВРОЛЕН""";443;Ставролен (Будённовск);12;обойдено
5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";;;0;в каталоге площадки нет
4223036696;"ООО ""ОФ ""ПРОКОПЬЕВСКУГОЛЬ""";;;0;в каталоге площадки нет
6626002291;"ПАО ""СТЗ""";21048;Северский трубный завод (Полевской);84;обойдено
1656025681;"ФКП ""КГКПЗ""";33243;Казанский пороховой завод (Казань);40;обойдено
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";;;0;в каталоге площадки нет
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";128878;ТОМСКНЕФТЕХИМ (Томск);0;обойдено
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";40396;КуйбышевАзот (Тольятти);0;обойдено
0258005638;"АО ""ПОЛИЭФ""";;;0;в каталоге площадки нет
1004001744;"АО ""КАРЕЛЬСКИЙ ОКАТЫШ""";247238;АО Карельский окатыш (Костомукша);0;обойдено
6670061296;Русская медная компания;61098;Русская медная компания (Екатеринбург);224;обойдено
5504097128;АО ОМСКВОДОКАНАЛ;;;0;в каталоге площадки нет
5009034660;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДСКОГО ОКРУГА ДОМОДЕДОВО ""ДОМОДЕДОВСКИЙ ВОДОКАНАЛ""";;;0;в каталоге площадки нет
7830000426;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""";;;0;в каталоге площадки нет
7726671234;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РВК-ВОРОНЕЖ""";;;0;в каталоге площадки нет
2221064060;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАРНАУЛЬСКИЙ ВОДОКАНАЛ""";32452;Барнаульский водоканал;0;обойдено
0277077282;"ООО ""БГК"" (ИНН 0277077282)";;;0;в каталоге площадки нет
5249002485;"ФКП ""ЗАВОД ИМЕНИ Я.М.СВЕРДЛОВА""";36089;ФКП Завод имени Я.М.Свердлова (Дзержинск);0;обойдено
2457061937;"ООО ""НОРИЛЬСКНИКЕЛЬРЕМОНТ""";347419;Норильскникельремонт;0;обойдено
3803100054;Филиал РУСАЛ Братск в г. Шелехов;334350;РУСАЛ Братск;31;обойдено
7321316986;"ООО ""ЗАВОД ТЕХНОНИКОЛЬ-УЛЬЯНОВСК""";42241;Завод ТехноНИКОЛЬ-Ульяновск (Новоульяновск);21;обойдено
4205003440;"АО ""КТК"" (ИНН 4205003440)";349459;АО КТК (Кемерово);15;обойдено
6330000553;"АО ""НК НПЗ""";118609;Новокуйбышевский НПЗ;0;обойдено
0266008329;"ОАО ""Газпром нефтехим Салават""";;;0;в каталоге площадки нет
7118004789;"ОАО ""Щекиноазот""";92591;Щекиноазот (Щекинский район);0;обойдено
6314006396;"АО ""КНПЗ""";118607;Куйбышевский НПЗ (Самара);0;обойдено
6227007322;"АО ""РНПК""";84452;РЯЗАНСКАЯ НЕФТЕПЕРЕРАБАТЫВАЮЩАЯ КОМПАНИЯ (Рязань);0;обойдено
6665002150;АО КУМЗ;84167;Каменск-Уральский металлургический завод;0;обойдено
7705581646;УК СОДРУЖЕСТВО;424690;УК СОДРУЖЕСТВО (Светлый);91;обойдено
3849096450;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС ИНЖИНИРИНГ СИСТЕМС""";419335;СИС (Иркутск);25;обойдено
7720613388;АО ЗТЗ;334867;АО ЗТЗ (Сергиев Посад);38;обойдено
5907001774;ПАО НПОИСКРА;20076;НПО ИСКРА (Пермь);139;обойдено
3809003787;СибВАМИ;352889;СибВАМИ (Иркутск);21;обойдено
4217168581;АЦ Гермес (ГКК);138322;АЦ Гермес (ГКК) (Новокузнецк);1;обойдено
7704784450;"АО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";;;0;в каталоге площадки нет
5406323202;"АО ""ТГК-11""";;;0;в каталоге площадки нет
1433000147;"АК ""АЛРОСА"" (ПАО)";16217;АК АЛРОСА (ПАО) (Мирный);22;обойдено
5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";283484;ГАЛОПОЛИМЕР ПЕРМЬ (Пермь);0;обойдено
7530000048;"ПАО ""ППГХО""";72075;ППГХО (Краснокаменск);0;обойдено
1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";;;0;в каталоге площадки нет
7723006328;"АО ""ГАЗПРОМНЕФТЬ - МНПЗ""";117846;Газпромнефть-Московский НПЗ (Москва);0;обойдено
1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";503048;ПАО Татнефть им. В.Д. Шашина (Альметьевск);0;обойдено
9106001900;"АО ""СЗ""";;;0;в каталоге площадки нет
6629022962;"АО ""УЭХК""";123108;Уральский электрохимический комбинат (Новоуральск);0;обойдено
6615001962;"АО ""ЕВРАЗ КГОК""";330435;Евраз КГОК (Качканар);0;обойдено
4312126856;"ООО ""ГАЛОПОЛИМЕР КИРОВО-ЧЕПЕЦК""";43399;Завод Полимеров КЧХК (Кирово-Чепецк);0;обойдено
1651025328;"АО ""ТАИФ-НК""";68612;ТАИФ-НК (Нижнекамск);0;обойдено
7204095194;"ООО ""ТЮМЕНЬ ВОДОКАНАЛ""";28765;Тюмень Водоканал;0;обойдено
7422000795;"ФГУП ""ПО ""МАЯК""";246691;ФГУП ПО МАЯК (Озерск);0;обойдено
5919470019;"ОАО ""СМЗ"" (ИНН 5919470019)";14190;Соликамский магниевый завод;3;обойдено
2903000446;"АО ""АРХАНГЕЛЬСКИЙ ЦБК"", АЦБК";59062;Архангельский ЦБК (Новодвинск);98;обойдено
7449006184;ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЧЕЛЯБИНСКИЙ КУЗНЕЧНО-ПРЕССОВЫЙ ЗАВОД;60837;ЧКПЗ (Челябинск);0;обойдено
5001071638;"ООО ""КРИОГАЗ"" (ИНН 5001071638)";160206;КриоГаз (Екатеринбург);0;обойдено
5003063216;"ООО ""КРИОГАЗ СЕВЕРО-ЗАПАД""";372962;КриоГаз Северо-Запад (Колпино);0;обойдено
6310000160;"АО ""СМЗ"" (ИНН 6310000160)";448765;АО СМЗ (Самара);0;обойдено
0268008010;"АО ""БСК""";;;0;в каталоге площадки нет
3528000597;"ПАО ""СЕВЕРСТАЛЬ""";36400;Северсталь (Череповец);0;обойдено
