company_id;company;inn;kpp
51053;Закупки компании Химпром (Новочебоксарск) (ИНН 2124009521/212401001) на ЭТП ТендерПро;2124009521;212400952
434492;Закупки компании Улан-Удэнский УЛВРЗ (ИНН 7715729877/032643001) на ЭТП ТендерПро;7715729877;771572987
105699;Закупки компании ТехноНИКОЛЬ Дальний Восток (ИНН 5257060988/272301001) на ЭТП ТендерПро;5257060988;525706098
351562;Закупки компании Филиал ИСО в г. Шелехов (ИНН 7730248021/381043001) на ЭТП ТендерПро;7730248021;773024802
335106;Закупки компании РУСАЛ Менеджмент (непрофильные активы) (ИНН 7730248430/773001001) на ЭТП ТендерПро;7730248430;773024843
263938;Закупки компании РУСАЛ Новокузнецк (ИНН 4221000535/422101001) на ЭТП ТендерПро;4221000535;422100053
425378;Закупки компании Строительная химия ТЕХНОНИКОЛЬ (ИНН 6230125929/623001001) на ЭТП ТендерПро;6230125929;623012592
476104;Продажа неликвидов от компании УДОКАНСКАЯ МЕДЬ (ИНН 7536097029/750601001) на ЭТП ТендерПро;7536097029;753609702
350867;Закупки компании Филиал ИСО в г. Каменск-Уральский (ИНН 7730248021/661243001) на ЭТП ТендерПро;7730248021;773024802
338611;Закупки компании ИСО (ИНН 7730248021/773001001) на ЭТП ТендерПро;7730248021;773024802
210033;О компании ПАО Группа Черкизово (ИНН 7718560636/501901001) на ЭТП ТендерПро;7718560636;771856063
65298;Закупки компании Концерн Калашников (ИНН 1832090230/183201001) на ЭТП ТендерПро;1832090230;183209023
57059;Закупки компании ГК ЛокоТех (ИНН 7704758153/997650001) на ЭТП ТендерПро;7704758153;770475815
2953;Закупки компании КАМАЗ (ИНН 1650032058/997850001) на ЭТП ТендерПро;1650032058;165003205
350231;Закупки компании РУСАЛ Красноярск (ИНН 2465000141/246501001) на ЭТП ТендерПро;2465000141;246500014
59062;Закупки компании Архангельский ЦБК (ИНН 2903000446/509950001) на ЭТП ТендерПро;2903000446;290300044
407434;Закупки компании УК СОЮЗМЕТАЛЛРЕСУРС (ИНН 7703182734/773001001) на ЭТП ТендерПро;7703182734;770318273
424690;Закупки компании УК СОДРУЖЕСТВО (ИНН 7705581646/391301001) на ЭТП ТендерПро;7705581646;770558164
353145;Закупки компании Филиал ИСО на Промплощадке ТаАЗ (ИНН 7730248021/381643002) на ЭТП ТендерПро;7730248021;773024802
102842;Закупки компании Пикалевский глиноземный завод (ИНН 4715030610/424950001) на ЭТП ТендерПро;4715030610;471503061
373510;Закупки компании АО БоАЗ (ИНН 2465102746/240701001) на ЭТП ТендерПро;2465102746;246510274
435555;Закупки компании КУМЗ-Организатор (ИНН 6665002150/661201001) на ЭТП ТендерПро;6665002150;666500215
200272;Закупки компании Стройдорэкспорт (ИНН 4234004382/420501001) на ЭТП ТендерПро;4234004382;423400438
389400;Закупки компании ТД Транспортное машиностроение (ИНН 2130230898/213001001) на ЭТП ТендерПро;2130230898;213023089
334308;Закупки компании РУСАЛ Волгоград (ИНН 6612005052/344102001) на ЭТП ТендерПро;6612005052;661200505
350779;Закупки компании БОКСИТ ТИМАНА (ИНН 1117000011/111701001) на ЭТП ТендерПро;1117000011;111700001
385470;Закупки компании Русский радиатор (ИНН 1006013150/100601001) на ЭТП ТендерПро;1006013150;100601315
124372;Продажа неликвидов от компании Энергодеталь (ИНН 7733764514/500801001) на ЭТП ТендерПро;7733764514;773376451
16537;Закупки компании Комбинат Магнезит (ИНН 7417001747/745701001) на ЭТП ТендерПро;7417001747;741700174
338480;Закупки компании Филиал ИСО в г. Ачинск (ИНН 7730248021/244343001) на ЭТП ТендерПро;7730248021;773024802
125295;Закупки компании Азия Цемент (ИНН 7713591359/582601001) на ЭТП ТендерПро;7713591359;771359135
359124;Закупки компании РУСАЛ САЯНАЛ (ИНН 1902015920/190201001) на ЭТП ТендерПро;1902015920;190201592
419335;Закупки компании СИС (ИНН 3849096450/384901001) на ЭТП ТендерПро;3849096450;384909645
350386;Закупки компании Филиал РУСАЛ Братск в г. Шелехов (ИНН 3803100054/381043001) на ЭТП ТендерПро;3803100054;380310005
43515;Закупки компании Филиал Завод ТЕХНО (Юрга) (ИНН 6230051360/423043001) на ЭТП ТендерПро;6230051360;623005136
175373;Закупки компании Сибирская продовольственная компания (ГКК) (ИНН 5405200166/540201001) на ЭТП ТендерПро;5405200166;540520016
363162;Закупки компании РУСАЛ Кремний Урал (ИНН 6612006391/660850001) на ЭТП ТендерПро;6612006391;661200639
350778;Закупки компании РУСАЛ Кандалакша (ИНН 6612005052/510203001) на ЭТП ТендерПро;6612005052;661200505
381087;Закупки компании ИП Курбацкий Б.В.(Направление Салават) (ИНН 550405961720) на ЭТП ТендерПро;5504059617;550405961
439703;Закупки компании ИМЗ (ИНН 6148557002/614801001) на ЭТП ТендерПро;6148557002;614855700
352231;Закупки компании Валком-ПМ (ИНН 3435051260/345901001) на ЭТП ТендерПро;3435051260;343505126
394107;Закупки компании ОК ТД РУСАЛ (ИНН 5519006211/773001001) на ЭТП ТендерПро;5519006211;551900621
61098;Закупки компании Русская медная компания (ИНН 6670061296/997550001) на ЭТП ТендерПро;6670061296;667006129
80728;Закупки компании Астраханский ТРЗ (ИНН 7715729877/301743001) на ЭТП ТендерПро;7715729877;771572987
372983;Закупки компании Архбум тиссью групп (ИНН 4003033530/400301001) на ЭТП ТендерПро;4003033530;400303353
350785;Закупки компании СВРЗ (ИНН 1902018865/190201001) на ЭТП ТендерПро;1902018865;190201886
205434;Закупки компании СЦБК (ИНН 4718011856/470201001) на ЭТП ТендерПро;4718011856;471801185
357326;Закупки компании ЛМЗ СКАД (ИНН 2465072918/246501001) на ЭТП ТендерПро;2465072918;246507291
46348;Закупки компании Руссоль (ИНН 5611055980/561101001) на ЭТП ТендерПро;5611055980;561105598
334356;Закупки компании РУСАЛ Саяногорск (ИНН 1902014500/997550001) на ЭТП ТендерПро;1902014500;190201450
438230;Закупки компании Уссурийский ЛРЗ (ИНН 7715729877/251143001) на ЭТП ТендерПро;7715729877;771572987
181695;Закупки компании ШАХТОУПРАВЛЕНИЕ ОБУХОВСКАЯ (ИНН 6146004404/614601001) на ЭТП ТендерПро;6146004404;614600440
344908;Закупки компании Филиал ИСО в г.Братск (ИНН 7730248021/380443001) на ЭТП ТендерПро;7730248021;773024802
429819;Закупки компании ЭЛЬГА-СЕРВИС (ИНН 9703030460/770301001) на ЭТП ТендерПро;9703030460;970303046
472984;Закупки компании АО ГРК Западная (ИНН 1420041925/142001001) на ЭТП ТендерПро;1420041925;142004192
101518;Закупки компании СИБЭЛЕКТРО (ГКК) (ИНН 4221011880/425301001) на ЭТП ТендерПро;4221011880;422101188
105380;Закупки компании Филиал Завод ТЕХНО Челябинск (ИНН 6230051360/744743001) на ЭТП ТендерПро;6230051360;623005136
349459;Закупки компании АО КТК (ИНН 4205003440/424950001) на ЭТП ТендерПро;4205003440;420500344
334350;Закупки компании РУСАЛ Братск (ИНН 3803100054/380401001) на ЭТП ТендерПро;3803100054;380310005
438136;Закупки компании Ростовский ЭРЗ (ИНН 7715729877/616243001) на ЭТП ТендерПро;7715729877;771572987
46730;Закупки компании Филиал Завод ТЕХНОФЛЕКС г. Учалы (ИНН 6229024796/027043001) на ЭТП ТендерПро;6229024796;622902479
334867;Закупки компании АО ЗТЗ (ИНН 7720613388/504201001) на ЭТП ТендерПро;7720613388;772061338
351557;Закупки компании Филиал ИСО в г.Красноярск (ИНН 7730248021/246543001) на ЭТП ТендерПро;7730248021;773024802
