tender_id;company_id;company;predmet;sozdan;organizator;est_teh;telefony_razmetka;telefony_tekst;pochty;comment
1216996;51053;Химпром (Новочебоксарск);"Запрос предложений на выполнение работ по ремонту коленчатого вала №3 компрессора ДАО-550 поз.1/2 цеха № 56 ПАО ""Химпром"" в 2026 г. (id1216996)";13.07.2026;ПАО ХИМПРОМ;1;;+7(8352)73-55-55 | +7 (8352) 73-55-55;usr65992@himprom.com | s.stepanova@himprom.com;Комментарий: Консультации по техническим вопросам по телефону: Молостовкин Сергей Юрьевич тел. +7(8352)73-55-55 (доб. 60-30) usr65992@himprom.com Консультации по организационным вопросам ЭТП:Степанова Светлана+7 (8352) 73-55-55 (61-83)e-mail: s.stepanova@himprom.com Процедура не является торгами (конкурсом, аукционом) или публичным конкурсом в соответствии со статьями 447 449, 1057 1061 Гражданского кодекса Российской Федерации и не накладывает на Организатора закупки обязательств, установленных указанными статьями Гражданского кодекса Российской Федерации, в том числе по обязательному заключению Договора с Победителем (по итогам процедуры у Организатора возникает право, а не обязанность по заключению Договора с Победителем)
1216785;434492;Улан-Удэнский УЛВРЗ;Капитальный ремонт компрессора ВВ 50/8 (id1210374) (2-й этап торгов) (id1216785);13.07.2026;Улан-Удэнский локомотивовагоноремонтный завод -филиал АО Желдорреммаш;;;;;Комментарий: Тендер закрыт досрочно.
1216777;105699;ТехноНИКОЛЬ Дальний Восток;Поставка винтового компрессора и монтаж в модульную компрессорную станцию 202607_4047 (id1216777);13.07.2026;"Общество с ограниченной ответственностью ""ТехноНИКОЛЬ Дальний Восток""";1;;+7 909-871-76-61;volkovmv@tn.ru | privis@tn.ru | tender.khb@tn.ru;"Комментарий: Контактное лицо по техническим вопросам: Инженер-энергетик&nbsp; Волков Максим Валерьевич Эл. почта&nbsp; volkovmv@tn.ru Тел. +7&nbsp;924&nbsp;228 04 44 По вопросам приглашения и участия: Привис Софья Семеновна +7 909-871-76-61 privis@tn.ru Требуемые условия оплаты - 100% факт. Особые требования к качеству товара - описано в ТЗ. Особые требования к предоставлению документов - ЭДО. Сертификат соответствия,паспорт качества - требуется. Требования к форме контракта - по форме покупателя. Заказчик не накладывает на себя обязательства принимать оферты только через электронную тендерную площадку. Оферта может быть подана на корпоративную электронную почту по адресу tender.khb@tn.ru. Данный запрос предложений не является торгами или публичным конкурсом в понимании ст. 447-449,1057-1061 ГК РФ. Все действия до момента подписания договора с победителем конкурса считаются преддоговорной работой и не накладывают на организатора обязательств, превышающих перечисленные в условиях"
1216258;351562;Филиал ИСО в г. Шелехов;закупка Компрессора холодильного 4CES-9Y-40S в 2026 году (id1216258);10.07.2026;"Филиал ООО ""ИСО"" в г. Шелехов";;;8-(495)215-14-38;;Комментарий: Заявки принимаются строго через ЭТП Tender.pro http s ://www.tender.pro/ По вопросам регистрации/работы на ЭТП просьба обращаться в Центр ТендерПро-Консультант, круглосуточно 8-(495)215-14-38 http://help.tender.pro/contacts.html Связаться с управляющим процедурой можно через вкладку Вопросы-Ответы - информация будет автоматически направлена на электронную почту управляющего. Информация от управляющего отбором по условиям отбора и предмету закупки: Требуемые условия оплаты Прочая информация Вы вправе предоставить любую информацию и документы, подтверждающие Вашу положительную деловую репутацию, опыт и устойчивое финансовое положение. (указать организационно правовую форму и наименование организатора отбора) оставляет за собой право, при невозможности определения наилучшей заявки и в целях равных конкурентных условий для всех участников конкурентного отбора, направить в адрес всех участников отбора список минимальных цен (без указания поставщиков, предложивших данные цены) и предложить всем участникам конкурентного отбора скорректировать и предоставить свои окончательные заявки. Каждый поставщик или подрядчик, при условии соответствия заявленным требованиям, имеет возможность принять участие в отборе на 20__г. в течение всего периода отбора. Отбор, в том числе отдельные его стадии, не являются переговорами о заключении договора (ст. 434.1 ГК РФ). Настоящее приглашение не является офертой (ст. 435 ГК РФ) или акцептом / ответом о принятии оферты (ст. 438 ГК РФ). Настоящее приглашение не является публичной офертой или приглашением делать оферты (ст. 437 ГК РФ). Настоящий отбор не является торгами (в том числе в форме конкурса, аукциона или в иной форме) или публичным конкурсом в соответствии со статьями 447449, 10571061 Гражданского кодекса Российской Федерации (ГК РФ), и не накладывает на ________(указать организационно правовую форму и наименование организатора отбора), обязательств предусмотренных вышеуказанными статьями ГК РФ Конкурентный отбор может быт
1216099;335106;РУСАЛ Менеджмент (непрофильные активы);Компрессор ATLAS COPCO GA 355 ARP087443 (id1216099);09.07.2026;АКЦИОНЕРНОЕ ОБЩЕСТВО РУССКИЙ АЛЮМИНИЙ МЕНЕДЖМЕНТ;;;8-(495)215-14-38 | 8 800 234 56 40 | 8 495 221 33 72 | 8 915 224 56 40;signal@rusal.com;Комментарий: Данный тендер открыт как 3-й этап торгов к тендеру Компрессор Atlas copco GA 355 ARP087443 (id1132995) Заявки принимаются строго через ЭТП Tender.pro http s ://www.tender.pro/ По вопросам регистрации/работы на ЭТП просьба обращаться в Центр ТендерПро-Консультант, круглосуточно 8-(495)215-14-38 http://help.tender.pro/contacts.html Связаться с управляющим процедурой можно через вкладку Вопросы-Ответы - информация будет автоматически направлена на электронную почту управляющего. Информация от управляющего отбором по условиям отбора и предмету закупки: Требуемые условия оплаты 100% предоплата Прочая информация Обращаем Ваше внимание, что при подведении итогов стоимость предложений участников отбора будет рассчитана с учетом отвлечения денежных средств. Вы вправе предоставить любую информацию и документы, подтверждающие Вашу положительную деловую репутацию, опыт и устойчивое финансовое положение. (указать организационно правовую форму и наименование организатора отбора) оставляет за собой право, при невозможности определения наилучшей заявки и в целях равных конкурентных условий для всех участников конкурентного отбора, направить в адрес всех участников отбора список минимальных цен (без указания поставщиков, предложивших данные цены) и предложить всем участникам конкурентного отбора скорректировать и предоставить свои окончательные заявки. Каждый поставщик или подрядчик, при условии соответствия заявленным требованиям, имеет возможность принять участие в отборе на 20__г. в течение всего периода отбора. Отбор, в том числе отдельные его стадии, не являются переговорами о заключении договора (ст. 434.1 ГК РФ). Настоящее приглашение не является офертой (ст. 435 ГК РФ) или акцептом / ответом о принятии оферты (ст. 438 ГК РФ). Настоящее приглашение не является публичной офертой или приглашением делать оферты (ст. 437 ГК РФ). Настоящий отбор не является торгами (в том числе в форме конкурса, аукциона или в иной форме) или публичным конкурсом в соответствии со стат
1215316;263938;РУСАЛ Новокузнецк;Предоставление услуг по ремонту компрессоров типа К 250-61-5 №1 (инв.№507955) и №6 (инв.№507825) компрессорной станции АО «РУСАЛ Новокузнецк» в 2026 году. (id1200030) (3-й этап торгов) (id1215316);08.07.2026;Акционерное общество РУСАЛ НОВОКУЗНЕЦК;;;8-(495)215-14-38 | 8 800 234 56 40 | 8 495 221 33 72 | 8 915 224 56 40;signal@rusal.com;"Комментарий: Данный тендер открыт как 3-й этап торгов к тендеру Предоставление услуг по ремонту компрессоров типа К 250-61-5 №1 (инв.№507955) и №6 (инв.№507825) компрессорной станции АО &laquo;РУСАЛ Новокузнецк&raquo; в 2026 году. (id1200030) Заявки принимаются строго через ЭТП Tender.pro http s ://www.tender.pro/ По вопросам регистрации/работы на ЭТП просьба обращаться в Центр ТендерПро-Консультант, круглосуточно 8-(495)215-14-38 http://help.tender.pro/contacts.html Связаться с управляющим процедурой можно через вкладку Вопросы-Ответы - информация будет автоматически направлена на электронную почту управляющего. Информация от управляющего отбором по условиям отбора и предмету закупки: Требуемые условия оплаты Прочая информация Обращаем Ваше внимание, что при подведении итогов стоимость предложений участников отбора будет рассчитана с учетом отвлечения денежных средств. Вы вправе предоставить любую информацию и документы, подтверждающие Вашу положительную деловую репутацию, опыт и устойчивое финансовое положение. (указать организационно правовую форму и наименование организатора отбора) оставляет за собой право, при невозможности определения наилучшей заявки и в целях равных конкурентных условий для всех участников конкурентного отбора, направить в адрес всех участников отбора список минимальных цен (без указания поставщиков, предложивших данные цены) и предложить всем участникам конкурентного отбора скорректировать и предоставить свои окончательные заявки. Каждый поставщик или подрядчик, при условии соответствия заявленным требованиям, имеет возможность принять участие в отборе на 20__г. в течение всего периода отбора. Отбор, в том числе отдельные его стадии, не являются переговорами о заключении договора (ст. 434.1 ГК РФ). Настоящее приглашение не является офертой (ст. 435 ГК РФ) или акцептом / ответом о принятии оферты (ст. 438 ГК РФ). Настоящее приглашение не является публичной офертой или приглашением делать оферты (ст. 437 ГК РФ). Настоящий отбор не является т"
1215296;425378;Строительная химия ТЕХНОНИКОЛЬ;Поставка и ввод в эксплуатацию винтового компрессора DALGAKIRAN INVERSYS PLUS 75-13 с прямым приводом и частотным преобразователем. (id1212654) (2-й этап торгов) (id1215296);08.07.2026;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРОИТЕЛЬНАЯ ХИМИЯ ТЕХНОНИКОЛЬ;1;;+7(910)622-24-05;geraskin@tn.ru;"Комментарий: Данный тендер открыт как 2-й этап торгов к тендеру Поставка и ввод в эксплуатацию винтового компрессора DALGAKIRAN INVERSYS PLUS 75-13 с прямым приводом и частотным преобразователем. (id1212654) &nbsp; По организационным и техническим вопросам: &nbsp;Гераськин Александр Е-mail: geraskin@tn.ru Тел.:+7(910)622-24-05 № Критерий Определение Основание для определения значения показателя Вес критерия 1 Минимальная цена Стоимость предложения участника Оферта 50% 2 Гарантия Срок гарантии на выполненные работы Оферта 15% 3 Срок поставки Длительность поставки Оферта 25% 4 Опыт работы Количество успешно завершённых аналогичных работ Референс &ndash; лист 5% 5 Опыт сотрудничества с ТехноНИКОЛЬ Количество успешно завершённых объектов Референс - лист 5% &nbsp; Итого &nbsp; &nbsp; 100%"
1215086;476104;УДОКАНСКАЯ МЕДЬ;Компрессор КАМАЗ дв.CUMMINS ISBe 1цил. возд.охлаж. без шкива 3971519-MX / 350-27-014 июль 2026 г. (id1215086);08.07.2026;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УДОКАНСКАЯ МЕДЬ""";;;+79248176670;nvlpro@udokancopper.com;"Комментарий: ООО Удоканская медь объявляет о начале реализации невостребованных материалов , находящихся на территории горно-металлургического комплекса Удокан. Условия реализации: Форма оплаты: 100% предоплата Способ получения: самовывоз Место самовывоза: Забайкальский край, Каларский район, ГМК Удокан (30 км от пгт Новая Чара) Цена: договорная рассматриваются коммерческие предложения от заинтересованных покупателей Мы открыты к сотрудничеству и готовы оперативно предоставить дополнительную информацию по составу и характеристикам имущества, а также организовать выезд для осмотра по предварительной договорённости. Просим заинтересованные организации направлять свои коммерческие предложения с указанием реквизитов, контактных данных и профиля деятельности на электронную почту: nvlpro@udokancopper.com &nbsp; Контактный &nbsp; номер &nbsp;телефона: +79248176670 Благодарим за внимание и надеемся на взаимовыгодное сотрудничество!"
1215229;350867;Филиал ИСО в г. Каменск-Уральский;"Закупка для филиала ООО ""ИСО"" в г. Каменск-Уральский на поставку воздушных уплотнителей для компрессора CHORUS. Период поставки октябрь 2026 (id1210859) (2-й этап торгов) (id1215229)";08.07.2026;Филиал ООО ИСО в г. Каменск-Уральский;;;8-(495)215-14-38;signal@proventus-pro.ru;"Комментарий: Данный тендер открыт как 2-й этап торгов к тендеру Закупка для филиала ООО ""ИСО"" в г. Каменск-Уральский на поставку воздушных уплотнителей для компрессора CHORUS. Период поставки октябрь 2026 (id1210859) Заявки принимаются строго через ЭТП Tender.pro http s ://www.tender.pro/ По вопросам регистрации/работы на ЭТП просьба обращаться в Центр ТендерПро-Консультант, круглосуточно 8-(495)215-14-38 http://help.tender.pro/contacts.html Связаться с управляющим процедурой можно через вкладку Вопросы-Ответы - информация будет автоматически направлена на электронную почту управляющего. Филиал ООО ИСО в г. Каменск-Уральский оставляет за собой право, при невозможности определения наилучшей заявки и в целях равных конкурентных условий для всех участников конкурентного отбора, направить в адрес всех участников отбора список минимальных цен (без указания поставщиков, предложивших данные цены) и предложить всем участникам конкурентного отбора скорректировать и предоставить свои окончательные заявки. Каждый поставщик, при условии соответствия заявленным требованиям, имеет возможность принять участие в отборе на июнь 2026г. в течение всего периода отбора. Отбор, в том числе отдельные его стадии, не являются переговорами о заключении договора (ст. 434.1 ГК РФ). Настоящее приглашение не является офертой (ст. 435 ГК РФ) или акцептом / ответом о принятии оферты (ст. 438 ГК РФ). Настоящее приглашение не является публичной офертой или приглашением делать оферты (ст. 437 ГК РФ). Настоящий отбор не является торгами (в том числе в форме конкурса, аукциона или в иной форме) или публичным конкурсом в соответствии со статьями 447449, 10571061 Гражданского кодекса Российской Федерации (ГК РФ), и не накладывает на Участников Группы, в том числе ООО ИСО, обязательств предусмотренных вышеуказанными статьями ГК. Конкурентный отбор может быть отменен его организатором в одностороннем порядке в любое время до подведения его итогов. В случае изменения условий конкурентного отбора или его отм"
1215168;338611;ИСО;"Отбор на закупку Компрессора Terex-15503688 для ОП ООО ""ИСО"" ""Енисейский"" (id1210885) (3-й этап торгов) - ЗАПРОС СКИДКИ. (id1215168)";08.07.2026;Общество с ограниченной ответственностью Инжиниринг Строительство Обслуживание;;;+79246125532;-Prosignal@proventus-pro.ru | Nataliya.Gonurova@iso-serv.com;"Комментарий: Данный тендер открыт как 3-й этап торгов к тендеру Отбор на закупку Компрессора Terex-15503688 для ОП ООО ""ИСО"" ""Енисейский"" (id1210885) &nbsp; ООО &laquo;ИСО&raquo; приглашает Вас к участию в конкурсном отборе на поставку товара для ОП ООО &laquo;ИСО&raquo; &laquo;Енисейский&raquo;, согласно следующим условиям: Для участия в дополнительном туре отбора прошу предоставить скидку от предложенной цены, Ваше окончательное коммерческое предложение, подписанное уполномоченным представителем Вашего предприятия и заверенное печатью организации, прошу прикрепить к материалам 3 тура отбора. Минимальная цена за единицу без НДС в руб.: - Компрессор Terex-15503688 - 25 646,27 Отбор, в том числе отдельные его стадии, не являются переговорами о заключении договора (ст. 434.1 ГК РФ). Настоящий Отбор не является торгами (в т.ч. в форме конкурса, аукциона или иной форме) или публичным конкурсом, регулируемыми статьями 447&ndash;449, 1057&ndash;1061 ГК РФ, и не накладывает обязательств, предусмотренных вышеуказанными статьями ГК РФ, а также обязательства по заключению договора поставки Товара/оказания Услуг с лицом, направившим (сделавшим) наиболее выгодное предложение. Информация об окончательных результатах Вашего участия в данном Отборе будет направлена Вам посредством электронного или факсимильного сообщения. ООО &laquo;ИСО&raquo; проводит Политику в области закупок, направленную на повышение прозрачности закупочной деятельности. Если Вам стало известно о недобросовестных действиях и злоупотреблениях в процессе проведения закупочных процедур, просьба сообщить данную информацию в Службу Доверия Сигнал-Prosignal@proventus-pro.ru. По всем вопросам касательно проведения отбора обращаться к куратору отбора Гонуровой Наталье Владимировне, тел. +7 (002) 69-79, +79246125532, электронный адрес: Nataliya.Gonurova@iso-serv.com &nbsp;"
