inn;predpriyatie;otkuda;zakupok;primer_predmeta
7709567459;Инженерно-Строительная Компания;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;142;"Поставка винтового компрессора (Производительность pmax 10 бар м&#179;/мин 16,3) (id976148) (2-й этап торгов) (id992039)"
3435051260;Валком-ПМ;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;132;Капитальный ремонт воздушного компрессора 4ВМ10 50/71 (ВК №5) (id1185760) (3-й этап торгов) (id1198474)
2443005570;РУСАЛ Ачинск;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;121;"Техническое обслуживание винтовых компрессоров ""DALGAKIRAN"" (id872920) (5-й этап торгов) (id908857)"
2465072918;ЛМЗ СКАД;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;44;"Запрос предложений на поставку винтовых компрессоров для ООО ""ЛМЗ ""СКАД"" ПК г. Красноярск (id1184070) (2-й этап торгов) (id1190523)"
2465043748;КраМЗ;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;41;"техническое диагностирование компрессора ""INGERSOLL Rand"" R55-751/R451-А10, зав. № UCV1015137 (id1147361) (2-й этап торгов) (id1160195)"
7709788673;РУСАЛ Анодная Фабрика;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;39;Закупка для ОК РУСАЛ Анодная фабрика: поставка ТМЦ (вентилятор осевой для охлаждения компрессоров модульной компрессорной станции), Иркутская обл., Та
5007036608;РУСАЛ-Саянская фольга;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;33;Закупка резервного компрессора (id996509) (3-й этап торгов) (id1043672)
6631001159;СУБР;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;27;"Закупка для АО ""СУБР"" (г. Североуральск Свердловская область) Компрессор и передача главная со стояночным тормозом к БЕЛАЗ, по потребности 1 квартала "
4900000681;АО ПАВЛИК;страница ИК АРЛАН (АО ПАВЛИК) на Tender.pro;23;6027_Набор 2901091900 рабочий маслоотделителей и фильтров для винтового компрессора GX7 FF-10 270 PDX
6646010043;Уральская фольга;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;21;"Капитальный ремонт компрессоров серии ДЭН-200 ШМ АО ""Уральская фольга"" (id1113353) (2-й этап торгов), запрос скидки. (id1124751)"
3821008485;СУАЛ-ПМ;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;19;"Выполнение работ по капитальному ремонту азотных компрессоров на ООО ""СУАЛ-ПМ"" в 2026 году. (id1148646) (2-й этап торгов) (id1171357)"
1006013150;Русский радиатор;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;15;"Открытый конкурсный отбор на закупку деталей по чертежу (сердечник формирования центральных отверстий коллектора AL 500*100; Спиральный компрессор ZR1"
1902015920;РУСАЛ САЯНАЛ;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;14;"Закупка Компрессор хол.D6SJ-4000 для АО ""РУСАЛ САЯНАЛ"" (id1199507) (3-й этап торгов) (id1203676)"
7703182734;УК СОЮЗМЕТАЛЛРЕСУРС;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;12;"Закупка для ООО ""Сорский ГОК"": Воздушный компрессор с ресивером (объем ресивера - 500л). Республика Хакасия, г.Сорск. июль 2026 год. Заявки принимаютс"
1910009769;СФМЗ;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;12;"Закупка для ООО ""СГОК"" (ЦРММ) : компрессор 2ВМ2,5-12/9 с пуско-наладочными работами . Республика Хакасия г. Сорск на 2024 год. Заявки принимаются на Э"
3821008439;РУСАЛ Кремний;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;12;"АО ""Кремний"" оказанию услуг Агента по регламентному техническому обслуживанию в 2022 году компрессоров EKOMAK EKO 90 QD 2016 года выпуска – 2 шт. (id6"
5519006211;ОК ТД РУСАЛ;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;11;Заявка 16538. Винтовой компрессор 13 бар с ресивером и осушителем + пневматический гайковерт для CBK S.A. (id1190158) (2-й этап торгов) (id1197250)
7706446985;ИЛМИТ;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;7;Поставка воздушного винтового компрессора с ресивером согласно технического задания (id701172) (2-й этап торгов) (id707902)
4223057424;ОФ Коксовая;страница ТопПром на Tender.pro;6;Компрессор винтовой ( согласно ТЗ!). ОФ Коксовая. Май 2019 г. (id376828)
2465337272;САД;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;5;Компрессоры сжатого воздуха маслонаполненные и безмасляные (id1124265)
4253029223;ЦОФ Щедрухинская;страница ТопПром на Tender.pro;4;Винтовой блок SCA13DR компрессора Ремеза. ЦОФ Щедрухинская. Май 2024 г. (id885534)
2532008780;ЯГРК;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;4;"Закупка для ООО ""ЯГРК"": поставка насоса центробежного ЦНС 300-480 в марте-апреле 2024г. Заявки принимаются на ЭТП Tender.Pro. (id842647) (3-й этап тор"
2903012890;НРСК;"страница АО ""АРХАНГЕЛЬСКИЙ ЦБК"", АЦБК на Tender.pro";4;Закупка: Компрессор дизельный винтовой Master Blast MB190D - 2 шт. (id882837)
6631007376;СПИ СУБР-Проект;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;3;Проведение экспертизы промышленной безопасности на проект технического перевооружения ОПО «Рудник (шахта «Черемуховская»), рег. номер А54-00185-0040. 
2465339833;СИБПРОФ;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;3;поставка компрессорной станции с конденсатоотведением и осушкой сжатого воздуха (id1083087) (3-й этап торгов) (id1093800)
2465349736;РУСАЛ АГРОСИБИРЬ;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;3;Открытый отбор на выбор поставщика ранцевой воздуходувки для ООО «Ширинский элеватор», расположенной в Республике Хакасия, Ширинский район, с. Шира, у
5605000012;АО КРИОЛИТ;страница РУСАЛ Менеджмент (непрофильные активы) на Tender.pro;2;"Приглашение к участию в отборе исполнителя работ по ремонту турбокомпрессора ТК18Н02У2 тепловоза ТГМ-4А, завод-изготовитель: ""Людиновский тепловозостр"
4218107045;Шахта Юбилейная;страница ТопПром на Tender.pro;1;Установка компрессорная УКВШ-15/7 ш. Юбилейная Февраль-Март 2017г. (id262422)
6148013595;ЗАВОД ТЕХНОПЛЕКС КРАСНЫЙ СУЛИН;страница Завод ТЕХНОПЛЕКС (Рязань) на Tender.pro;1;"Поставка компрессора и осушителя для нужд Завода по производству полимерной теплоизоляции ООО ""Завод ТЕХНОПЛЕКС Красный Сулин"" (id1045867)"
