klyuch;tender_id;predmet;sozdan;do;company_id;company
компрессор;1224770;"Запрос предложений на выполнение работ по ремонту коленчатого вала №3 компрессора ДАО-550 поз.1/2 цеха № 56 ПАО ""Химпром"" в 2026 г. (id1216996) (2-й этап торгов) (id1224770)";31.07.2026;05.08.2026 в 16:00;51053;Химпром (Новочебоксарск)
компрессор;1224262;Запрос предложений на выполнение работ по восстановлению шатунных шеек коленчатого вала компрессора ФУН-200 в 2026г. (id1224262);30.07.2026;07.08.2026 в 13:00;51053;Химпром (Новочебоксарск)
компрессор;1221858;Закупка водородного компрессора поршневого двухступенчатого (согласно ОЛ №1352 от 02.07.2026) в 2026г. (id1221858);24.07.2026;05.08.2026 в 17:00;51053;Химпром (Новочебоксарск)
компрессор;1218472;Выполнение работ по сервисному обслуживанию компрессора АА-108/7,5 поз. 88/5 (id1200900) (5-й этап торгов) (id1218472);16.07.2026;21.07.2026 в 12:00;51053;Химпром (Новочебоксарск)
компрессор;1216996;"Запрос предложений на выполнение работ по ремонту коленчатого вала №3 компрессора ДАО-550 поз.1/2 цеха № 56 ПАО ""Химпром"" в 2026 г. (id1216996)";13.07.2026;23.07.2026 в 17:00;51053;Химпром (Новочебоксарск)
компрессор;1214258;Выполнение работ по сервисному обслуживанию компрессора АА-108/7,5 поз. 88/5 (id1200900) (4-й этап торгов) (id1214258);07.07.2026;14.07.2026 в 17:00;51053;Химпром (Новочебоксарск)
компрессор;1211459;Закупка водородного компрессора поршневого двухступенчатого (id1198644) (2-й этап торгов) (id1211459);30.06.2026;07.07.2026 в 16:00;51053;Химпром (Новочебоксарск)
компрессор;1211108;Выполнение работ по сервисному обслуживанию компрессора АА-108/7,5 поз. 88/5 (id1200900) (3-й этап торгов) (id1211108);29.06.2026;30.06.2026 в 16:00;51053;Химпром (Новочебоксарск)
компрессор;1208389;Выполнение работ по сервисному обслуживанию компрессора АА-108/7,5 поз. 88/5 (id1200900) (2-й этап торгов) (id1208389);22.06.2026;28.06.2026 в 16:00;51053;Химпром (Новочебоксарск)
компрессор;1202340;Закупка вала коленчатого (коленвала) компрессора ДАО-550 в 2026 году (id1199853) (2-й этап торгов) (id1202340);08.06.2026;09.06.2026 в 16:00;51053;Химпром (Новочебоксарск)
компрессор;1200900;Выполнение работ по сервисному обслуживанию компрессора АА-108/7,5 поз. 88/5 (id1200900);04.06.2026;20.06.2026 в 16:00;51053;Химпром (Новочебоксарск)
компрессор;1200145;Запрос предложений на выполнение работ по ремонту коленчатого вала компрессора ДАО-550 поз.1/2 цеха № 56. (id1173065) (5-й этап торгов) (id1200145);03.06.2026;03.06.2026 в 15:00;51053;Химпром (Новочебоксарск)
компрессор;1199853;Закупка вала коленчатого (коленвала) компрессора ДАО-550 в 2026 году (id1199853);02.06.2026;04.06.2026 в 16:00;51053;Химпром (Новочебоксарск)
компрессор;1198644;Закупка водородного компрессора поршневого двухступенчатого (id1198644);29.05.2026;15.06.2026 в 12:30;51053;Химпром (Новочебоксарск)
компрессор;1193508;Запрос предложений на выполнение работ по ремонту коленчатого вала компрессора ДАО-550 поз.1/2 цеха № 56. (id1173065) (4-й этап торгов) (id1193508);18.05.2026;19.05.2026 в 12:00;51053;Химпром (Новочебоксарск)
компрессор;1191682;Закупка коленвала компрессора ФУН-200 в 2026 г. (id1188375) (2-й этап торгов) (id1191682);13.05.2026;15.05.2026 в 08:00;51053;Химпром (Новочебоксарск)
компрессор;1188375;Закупка коленвала компрессора ФУН-200 в 2026 г. (id1188375);06.05.2026;12.05.2026 в 16:00;51053;Химпром (Новочебоксарск)
компрессор;1183798;Запрос предложений на выполнение работ по ремонту коленчатого вала компрессора ДАО-550 поз.1/2 цеха № 56. (id1173065) (3-й этап торгов) (id1183798);23.04.2026;30.04.2026 в 12:00;51053;Химпром (Новочебоксарск)
компрессор;1183706;Выполнение работ по восстановлению коленвала компрессора ФУН-200 в 2026 г. (id1178078) (2-й этап торгов) (id1183706);23.04.2026;28.04.2026 в 17:00;51053;Химпром (Новочебоксарск)
компрессор;1179996;Запрос предложений на выполнение работ по ремонту коленчатого вала компрессора ДАО-550 поз.1/2 цеха № 56. (id1173065) (2-й этап торгов) (id1179996);15.04.2026;17.04.2026 в 12:00;51053;Химпром (Новочебоксарск)
компрессор;1178078;Выполнение работ по восстановлению коленвала компрессора ФУН-200 в 2026 г. (id1178078);10.04.2026;20.04.2026 в 17:00;51053;Химпром (Новочебоксарск)
компрессор;1173065;Запрос предложений на выполнение работ по ремонту коленчатого вала компрессора ДАО-550 поз.1/2 цеха № 56. (id1173065);01.04.2026;10.04.2026 в 16:00;51053;Химпром (Новочебоксарск)
компрессор;1172458;Выполнение работ по восстановлению коленвала компрессора ФУН-200 (id1167691) (2-й этап торгов) (id1172458);31.03.2026;03.04.2026 в 16:00;51053;Химпром (Новочебоксарск)
