inn;predpriyatie;klyuch;tender_id;predmet;sozdan;do;company_id;company;chya_zakupka
2127309097;ПО КТЗ;без слова, вся страница компании;711145;"Открытый запрос предложений на поставку сварочных комплектующих в январе-феврале для ООО ""КАВАЗ"" (id711145)";23.12.2022;29.12.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;710107;"Открытый запрос предложений на приобретение линии профилирования листового металлопроката для ООО ""КАВАЗ"" (id710107)";22.12.2022;29.12.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;708891;Открытый запрос предложений на оказание транспортных услуг по перевозке ТМЦ автомобильным транспортом на первое полугодие 2023 года (id708891);19.12.2022;23.12.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;708860;Открытый запрос предложений на оказание услуг по диагностике, ремонту, освидетельствованию и экспертизе промышленной безопасности крановой установки КС-5477 МЗКТ-8006 (id708860);19.12.2022;23.12.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;707081;"Открытый запрос предложений на поставку блока питания с платой и модулей Siemens в адрес ООО ""КАВАЗ"" (id707081)";14.12.2022;16.12.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;706568;"Открытый запрос предложений на поставку стендов сборки-сварки бортов боковых и бортов торцевых универсальной 40-футовой вагон-платформы в адрес ООО ""КАВАЗ"" (id706568)";13.12.2022;20.12.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;706353;"Открытый запрос предложений на услуги по перевозке песка формовочного горелого IV класса опасности по маршруту полигон ООО ""Промлит""- полигон ООО ""Ситиматик Чувашия"" г. Новочебоксарск, с действующей лицензией на транспортировку. (id706353)";12.12.2022;16.12.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;706335;Открытый запрос предложений на поставку запчастей к тепловозу в адрес ООО КАВАЗ (id706335);12.12.2022;16.12.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;706318;"Открытый запрос предложений на поставку шин в декабре для ООО ""КАВАЗ"" (id706318)";12.12.2022;15.12.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;706258;"Открытый запрос предложений на закупку станции автоматической для заправки кондиционеров для организации производства колесных тракторов тягового класса 1,4 бренда «Агромаш», модификаций 75ТК, 90ТК, 90ТКС для ООО ""ВКЗ"" (id706258)";12.12.2022;16.12.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;706194;Открытый запрос предложений на закупку инструментов для организации производства колесных тракторов тягового класса 1,4 бренда «Агромаш», модификаций 75ТК, 90ТК, 90ТКС. (id706194);12.12.2022;16.12.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;706187;"Открытый запрос предложений на закупку мойки высокого давления с подогревом для организации производства колесных тракторов тягового класса 1,4 бренда «Агромаш», модификаций 75ТК, 90ТК, 90ТКС для ООО ""ВКЗ"" (id706187)";12.12.2022;16.12.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;704164;"Открытый запрос предложений на поставку пожарного оборудования в адрес ООО ""КАВАЗ"" (id704164)";06.12.2022;09.12.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;703926;"Открытый запрос предложений на приобретение стенда сборки-сварки балки хребтовой и рамы универсальной 40-футовой вагон-платформы для ООО ""КАВАЗ"" (id703926)";06.12.2022;13.12.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;702493;"Открытый запрос предложений на поставку топлива дизельного (зимнее) и бензина А-92 в декабре для ООО ПО ""КТЗ"" (id699786) (2-й этап торгов) (id702493)";01.12.2022;05.12.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;700223;"Открытый запрос предложений на поставку ГСМ (масел, смазок) в декабре 2022г для ООО ""ПО ""КТЗ"" (id700223)";25.11.2022;30.11.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;699786;"Открытый запрос предложений на поставку топлива дизельного (зимнее) и бензина А-92 в декабре для ООО ПО ""КТЗ"" (id699786)";24.11.2022;30.11.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;697472;"Открытый запрос предложений на поставку Втулки СПЛ 50,2х20 ОСТ 24-151-07 в адрес ООО ""КАВАЗ"" (id697472)";18.11.2022;22.11.2022 в 12:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;696896;"Открытый запрос предложений на поставку кислорода жидкого технического 1 сорт в ноябре для ООО ""КАВАЗ"" (id695376) (2-й этап торгов) (id696896)";17.11.2022;18.11.2022 в 16:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;696825;"Открытый запрос предложений на поставку лакокрасочной продукции в ноябре-декабре для ООО ""КАВАЗ"" (id696825)";17.11.2022;23.11.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;696552;"Открытый запрос предложений на проведение демонтажа, перемещения и монтажа оборудования в ООО ""КАВАЗ"" (id696552)";17.11.2022;30.11.2022 в 14:00;143262;ПО КТЗ;её собственная
2127309097;ПО КТЗ;без слова, вся страница компании;696342;"Открытый запрос предложений на поставку запасных частей на Mazak в ноябре 2022г для ООО ""КАВАЗ"" (id696342)";16.11.2022;21.11.2022 в 14:00;143262;ПО КТЗ;её собственная
