klyuch;tender_id;predmet;sozdan;do;company_id;company
компрессор;1216996;"Запрос предложений на выполнение работ по ремонту коленчатого вала №3 компрессора ДАО-550 поз.1/2 цеха № 56 ПАО ""Химпром"" в 2026 г. (id1216996)";13.07.2026;23.07.2026 17:00;51053;Химпром (Новочебоксарск)
компрессор;1216785;Капитальный ремонт компрессора ВВ 50/8 (id1210374) (2-й этап торгов) (id1216785);13.07.2026;16.07.2026 23:00;434492;Улан-Удэнский УЛВРЗ
компрессор;1216777;Поставка винтового компрессора и монтаж в модульную компрессорную станцию 202607_4047 (id1216777);13.07.2026;17.07.2026 16:00;105699;ТехноНИКОЛЬ Дальний Восток
компрессор;1216258;закупка Компрессора холодильного 4CES-9Y-40S в 2026 году (id1216258);10.07.2026;17.07.2026 06:00;351562;Филиал ИСО в г. Шелехов
компрессор;1216099;Компрессор ATLAS COPCO GA 355 ARP087443 (id1216099);09.07.2026;03.08.2026 23:00;335106;РУСАЛ Менеджмент (непрофильные активы)
компрессор;1215316;Предоставление услуг по ремонту компрессоров типа К 250-61-5 №1 (инв.№507955) и №6 (инв.№507825) компрессорной станции АО «РУСАЛ Новокузнецк» в 2026 году. (id1200030) (3-й этап торгов) (id1215316);08.07.2026;10.07.2026 10:10;263938;РУСАЛ Новокузнецк
компрессор;1215296;Поставка и ввод в эксплуатацию винтового компрессора DALGAKIRAN INVERSYS PLUS 75-13 с прямым приводом и частотным преобразователем. (id1212654) (2-й этап торгов) (id1215296);08.07.2026;13.07.2026 23:00;425378;Строительная химия ТЕХНОНИКОЛЬ
компрессор;1215086;Компрессор КАМАЗ дв.CUMMINS ISBe 1цил. возд.охлаж. без шкива 3971519-MX / 350-27-014 июль 2026 г. (id1215086);08.07.2026;28.07.2026 23:00;476104;УДОКАНСКАЯ МЕДЬ
компрессор;1215229;"Закупка для филиала ООО ""ИСО"" в г. Каменск-Уральский на поставку воздушных уплотнителей для компрессора CHORUS. Период поставки октябрь 2026 (id1210859) (2-й этап торгов) (id1215229)";08.07.2026;15.07.2026 10:00;350867;Филиал ИСО в г. Каменск-Уральский
компрессор;1215168;"Отбор на закупку Компрессора Terex-15503688 для ОП ООО ""ИСО"" ""Енисейский"" (id1210885) (3-й этап торгов) - ЗАПРОС СКИДКИ. (id1215168)";08.07.2026;09.07.2026 04:30;338611;ИСО
компрессор;1214556;Обслуживание и ремонт воздушных компрессоров ЦИ Богословский АО ВПФ Группа Черкизово Пензенская область (id1214556);07.07.2026;27.07.2026 11:00;210033;ПАО Группа Черкизово
