nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
36-ТУ-11280-2020;24.12.2020;2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";центробежный компрессор TKd 7/18, поз.КГП-2;ТУ;7116025938;"ПАО ""НОРЭ""";соответствует;https://monitor-pb.ru/conclusion/36-%D0%A2%D0%A3-11280-2020;https://monitor-pb.ru/customer/2631015563
43-ТУ-286011-2023;16.01.2023;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Компрессор центробежный горизонтальный ХТМФ-235М (зав.№ 68014, техн.№ 4);ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-286011-2023;https://monitor-pb.ru/customer/1658008723
47-ТУ-36128-2023;23.05.2023;7703647595;"АО ""ОХК ""УРАЛХИМ""";компрессор центробежный К-500-61-1 поз.1/4;ТУ;5911057642;"ООО ""АПЭ""";соответствует;https://monitor-pb.ru/conclusion/47-%D0%A2%D0%A3-36128-2023;https://monitor-pb.ru/customer/7703647595
43-ТУ-279941-2022;08.11.2022;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Компрессор центробежный горизонтальный К-210-62-1м (зав.№3960, техн.№ В-6);ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-279941-2022;https://monitor-pb.ru/customer/1658008723
53-ТУ-01014-2023;12.01.2023;6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";Центробежный компрессор ТАТКА-545-345 технологический № 801/А, зав.№ 76003 Цех№ 11;ТУ;6312086734;"ООО ""ПЭБ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-01014-2023;https://monitor-pb.ru/customer/6320005915
53-ТУ-17285-2018;29.10.2018;6323049893;"ООО ""ТОЛЬЯТТИКАУЧУК""";Центробежный компрессор Э-200-31-1, техн. № 20/2, зав.№ 64;ТУ;6312031510;"ООО ПФ ""ЭДТОН""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-17285-2018;https://monitor-pb.ru/customer/6323049893
51-ТУ-06791-2023;02.03.2023;6320004728;"АО ""ТОАЗ""";Центробежный компрессор 103J , техн. № 401, инв. № Т070129, ПАО «ТОАЗ», Цех№07А;ТУ;6319715597;"ООО ""ИК ""ЭКСПЕРТ-РЕСУРС""";соответствует;https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-06791-2023;https://monitor-pb.ru/customer/6320004728
13-ТУ-14999-2023;03.10.2023;4823006703;"ПАО ""НЛМК""";Центробежный кислородный компрессор КТК-12,5/35 ст. №4, инв. №77978;ТУ;4823055443;"ООО ""ЦЕНТР ПРОЕКТИРОВАНИЯ И ИЗЫСКАНИЙ""";соответствует;https://monitor-pb.ru/conclusion/13-%D0%A2%D0%A3-14999-2023;https://monitor-pb.ru/customer/4823006703
47-ТУ-35295-2023;19.05.2023;7703647595;"АО ""ОХК ""УРАЛХИМ""";компрессор центробежный К-500-61-1 поз.1/1;ТУ;5911057642;"ООО ""АПЭ""";соответствует;https://monitor-pb.ru/conclusion/47-%D0%A2%D0%A3-35295-2023;https://monitor-pb.ru/customer/7703647595
47-ТУ-35670-2023;22.05.2023;7703647595;"АО ""ОХК ""УРАЛХИМ""";компрессор центробежный К-500-61-1 поз.1/3;ТУ;5911057642;"ООО ""АПЭ""";соответствует;https://monitor-pb.ru/conclusion/47-%D0%A2%D0%A3-35670-2023;https://monitor-pb.ru/customer/7703647595
