nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
43-ЗС-283387-2022;13.12.2022;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";"трубопроводы: «Трубопровод этилена от нагнетания 3 ступени компрессора 341С2 до всаса 1 ступени компрессора второго каскада» рег.№ - ; «Трубопровод этилена от нагнетания 3 ступени компрессора 342С2 до всаса 1 ступени компрессора второго каскада» рег.№ - ; «Трубопровод этилена от нагнетания 3 ступени компрессора 343С2 до всаса 1 ступени компрессора второго каскада» рег.№ - ; «Трубопровод этилена от нагнетания 3 ступени компрессора 344С2 до всаса 1 ступени компрессора второго каскада» рег.№ - ; цех 2002-2004, ПАО «Казаньоргсинтез», г. Казань";ЗС;1657111661;"ООО ""ИЦ ""ЭКСПЕРТ ПРОФИ""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%97%D0%A1-283387-2022;https://monitor-pb.ru/customer/1658008723
58-ТУ-25516-2020;27.07.2020;8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";технические устройства Ротационный газовый винтовой компрессор Sullair PC20L зав. №200802190036, Ротационный газовый винтовой компрессор Sullair PC20L зав. №006-0300974.;ТУ;8605020617;"ООО ""АЛЬЯНСЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-25516-2020;https://monitor-pb.ru/customer/8602060555
35-ТУ-13272-2022;02.11.2022;2630016211;"ООО ""РАДУГА"" (ИНН 2630016211)";Воздухосборник предназначен для уменьшения колебаний давления в воздухопроводах и для создания запаса воздуха при работе воздушных стационарных компрессоров общего назначения и ротационных компрессоров, а так же воздушных компрессоров с давлением нагнетания до 8,0 кгс/см2.;ТУ;2635042896;"ООО фирма ""Инженерный центр""";соответствует;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-13272-2022;https://monitor-pb.ru/customer/2630016211
35-ТУ-13273-2022;02.11.2022;2630016211;"ООО ""РАДУГА"" (ИНН 2630016211)";Воздухосборник предназначен для уменьшения колебаний давления в воздухопроводах и для создания запаса воздуха при работе воздушных стационарных компрессоров общего назначения и ротационных компрессоров, а так же воздушных компрессоров с давлением нагнетания до 8,0 кгс/см2.;ТУ;2635042896;"ООО фирма ""Инженерный центр""";соответствует;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-13273-2022;https://monitor-pb.ru/customer/2630016211
19-ЗС-19690-2024;23.09.2024;7802849641;"ООО ""ПК ""БАЛТИКА""";"Сооружения, применяемые на опасном производственном объекте ООО «Пивоваренная компания «Балтика»: «Аммиачно-холодильная установка, Санкт-Петербург, 6-й Верхний пер., 3, лит. Б» рег. № А19-00170-0004, III класса опасности технологических трубопроводов транспортирования аммиака системы № 1, компрессоров №№ 1, 2, 4: трубопровод транспортирования аммиака от компрессоров № 1 и № 2 до конденсатора № 1; трубопровод транспортирования аммиака от конденсатора № 1 до отделителя жидкости компрессоров № 1 и № 2; трубопровод транспортирования аммиака между отделителем жидкости компрессоров № 1 и № 2 и испарителями жидкости; трубопровод транспортирования аммиака от отделителя жидкости компрессоров № 1 и № 2 до маслосборника рег. № 00155; трубопровод транспортирования аммиака от отделителя жидкости до компрессоров № 1 и № 2; трубопроводы аммиака компрессора № 4";ЗС;7814469041;"ООО
«ЭТНА»";соответствует;https://monitor-pb.ru/conclusion/19-%D0%97%D0%A1-19690-2024;https://monitor-pb.ru/customer/7802849641
43-ЗС-283378-2022;13.12.2022;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";"трубопроводы: «Трубопровод этилена от нагнетания 2 ступени до всасывания 3 ступени компрессора 341С2» рег.№-; «Трубопровод этилена от нагнетания 2 ступени до всасывания 3 ступени компрессора 342С2» рег.№-; «Трубопровод этилена от нагнетания 2 ступени до всасывания 3 ступени компрессора 343С2» рег.№-; «Трубопровод этилена от нагнетания 2 ступени до всасывания 3 ступени компрессора 344С2» рег.№-; цех 2002-2004, ПАО «Казаньоргсинтез», г. Казань";ЗС;1657111661;"ООО ""ИЦ ""ЭКСПЕРТ ПРОФИ""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%97%D0%A1-283378-2022;https://monitor-pb.ru/customer/1658008723
35-ТУ-13274-2022;02.11.2022;2630016211;"ООО ""РАДУГА"" (ИНН 2630016211)";Воздухосборник В-10 У-I, зав. №, предназначен для уменьшения колебаний давления в воздухопроводах и для создания запаса воздуха при работе воздушных стационарных компрессоров общего назначения и ротационных компрессоров, а так же воздушных компрессоров с давлением нагнетания до 8,0 кгс/см2.;ТУ;2635042896;"ООО фирма ""Инженерный центр""";соответствует;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-13274-2022;https://monitor-pb.ru/customer/2630016211
35-ТУ-00872-2024;04.02.2024;2614019198;"ООО ""СТАВРОПОЛЬНЕФТЕГАЗ""";Компрессор 4ВУ;ТУ;0510009360;НефтеГазЭнерго;соответствует;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-00872-2024;https://monitor-pb.ru/customer/2614019198
41-ЗС-09381-2019;28.02.2019;0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";трубопровод азота от трубопровода всаса компрессоров 2М10 к всасу 2 ступени компрессора 2М10-19/320 поз. 3, рег. № 5М2.01 (объект №269, цех № 5;ЗС;7701027236;"ООО ""ИНТЕРЮНИС""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-09381-2019;https://monitor-pb.ru/customer/0266048970
32-ТУ-02403-2023;11.04.2023;0541000382;"ОАО ""Махачкалинский мясокомбинат""";Компрессор НФ 812;ТУ;0510009360;НефтеГазЭнерго;соответствует;https://monitor-pb.ru/conclusion/32-%D0%A2%D0%A3-02403-2023;https://monitor-pb.ru/customer/0541000382
