employer;hits;queries;agency;profile_match
Холдинг Селигдар;13;главный энергетик;;да
ООО Газпром трансгаз Томск;9;начальник компрессорной станции;;да
Сибирская генерирующая Компания;7;"главный инженер; главный энергетик; начальник компрессорной станции";;
Группа Компаний Петро Велт Технолоджис;7;начальник компрессорной станции;;
ООО Газпром гелий сервис;7;начальник компрессорной станции;;да
ООО ПМЗ;6;начальник компрессорной станции;;
Мираторг, Агропромышленный холдинг;5;"главный инженер; главный механик";;да
ООО Сервис Инжиниринг Системс;5;начальник компрессорной станции;;
АО ДГК;5;начальник компрессорной станции;;
ООО Тридерзет;5;начальник компрессорной станции;;
Лента, федеральная розничная сеть, Гипермаркет;4;главный инженер;;
Красное Белое, розничная сеть;4;"главный инженер; главный энергетик; главный механик";;
ООО РН-Транспорт;4;"главный инженер; главный механик; начальник компрессорной станции";;
ООО Инжиниринговый холдинг «эВ-групп»;4;"главный инженер; главный энергетик";;
Кадровое агентство ИМПЕРИЯ КАДРОВ;4;главный энергетик;да;
АО КРЫМТЭЦ;4;"главный энергетик; начальник компрессорной станции";;да
ООО Отель-Т;4;главный механик;;
АО «Интер РАО – Электрогенерация» (Электрогенерация);4;начальник компрессорной станции;;
ООО УК Энергофит;4;начальник компрессорной станции;;да
ООО Русская Платина;4;начальник компрессорной станции;;да
ООО Финмаркт;3;"главный инженер; главный энергетик; главный механик";;
ИП Шарпилова Татьяна Викторовна;3;"главный инженер; главный энергетик; главный механик";;
МашСталь;3;"главный инженер; главный энергетик; главный механик";;
АО ГНПП РЕГИОН;3;"главный инженер; главный механик";;
АО НПП Респиратор;3;"главный инженер; главный энергетик; главный механик";;
ПАО ТАТТЕЛЕКОМ;3;"главный инженер; главный энергетик";;
ООО Максигрупп;3;"главный инженер; главный энергетик";;
АО МЕТАЛЛСЕРВИС;3;"главный инженер; главный энергетик; главный механик";;да
MacCoffee;3;главный энергетик;;
Группа Компаний Мечел;3;"главный энергетик; главный механик";;
ООО МК Астра;3;главный энергетик;;
ООО Даль-Восток Сервис;3;главный механик;;
Делекто;3;главный механик;;
АО Независимая нефтегазовая компания;3;начальник компрессорной станции;;да
Ивдельское ЛПУМГ, Филиал ООО Газпром трансгаз Югорск;3;начальник компрессорной станции;;да
ООО «РУСАГРО», Сахарное бизнес-направление;3;начальник компрессорной станции;;да
Сахалин - Остров Возможностей;3;начальник компрессорной станции;;
Газпром газомоторное топливо;3;начальник компрессорной станции;;да
ООО Алтайгидромаркет;2;"главный инженер; главный механик";;
ООО Престиж;2;"главный инженер; главный механик";;
ООО Феникс;2;"главный инженер; главный энергетик";;
ООО Плитвуд;2;"главный инженер; главный механик";;
Орикс, ГК;2;"главный инженер; главный энергетик";;
ООО Арт Проект;2;главный инженер;;
Гос. корп. Научно-исследовательский и конструкторский институт радиоэлектронной техники (Н;2;главный инженер;;
ООО Виркэн-Рус;2;"главный инженер; главный механик";;
ООО Марьянская Фабрика Гофротары;2;"главный инженер; главный механик";;да
АУ УР СК Чекерил;2;"главный инженер; главный энергетик";;
DACHA GROUP;2;"главный инженер; главный механик";;
Министерство энергетики, промышленности и связи Ставропольского края;2;"главный инженер; главный энергетик";;
DoubleTree by Hilton Tyumen;2;"главный инженер; главный энергетик";;
ООО Газпром ТЕХ комплексные системы;2;главный инженер;;да
Norwood;2;"главный инженер; главный механик";;
ООО Газпром сеть АГЗС;2;"главный инженер; главный энергетик";;да
ООО Югтехэнергострой;2;"главный инженер; главный механик";;да
ЮНИС, Группа компаний;2;главный инженер;;
ООО ЭКСПРЕСС;2;"главный инженер; главный механик";;
ООО АБТ;2;"главный инженер; главный энергетик";;
АО Сибирско - Уральская энергетическая компания;2;"главный инженер; главный энергетик";;
ООО БауИнвестГрупп;2;"главный инженер; главный энергетик";;
ООО Технопарк;2;"главный инженер; главный механик";;
«Почта России», Информационные технологии;2;"главный инженер; главный энергетик";;
ООО Проектно-Технологические Решения;2;главный инженер;;
ООО Инженерный центр ПрофЭнергия;2;"главный инженер; главный энергетик";;
ООО Солард;2;"главный инженер; главный энергетик";;
Читинский филиал ФГКУ Росгранстрой;2;"главный инженер; главный энергетик";;
ООО БиДжет;2;"главный инженер; главный энергетик";;
ПАО Удмуртнефть имени В.И. Кудинова;2;главный энергетик;;да
ЛУКОЙЛ;2;"главный энергетик; начальник компрессорной станции";;
ПАО МегаФон, Инженерные;2;главный энергетик;;
ООО ЛукБелОйл;2;главный энергетик;;
НОВАТЭК;2;"главный энергетик; начальник компрессорной станции";;
ООО Дейри;2;"главный энергетик; главный механик";;
RWB (Wildberries Russ);2;главный энергетик;;
ООО Надежная Нерудная Компания;2;"главный энергетик; главный механик";;
ООО Столичная бумага;2;"главный энергетик; главный механик";;
ООО Малтат;2;"главный энергетик; начальник компрессорной станции";;
АО Транснефть-Верхняя Волга;2;"главный энергетик; начальник компрессорной станции";;да
МАГНИТ, Розничная сеть. Офис;2;"главный энергетик; главный механик";;
ПАО ЛОРП;2;главный механик;;
ООО Форсаж;2;"главный механик; начальник компрессорной станции";;
ООО Ястро-Агро;2;главный механик;;да
ООО ЮТИМ;2;главный механик;;
ООО Фан Фан Бейкери;2;главный механик;;
Группа Компаний CAVAG;2;главный механик;;
АО Нэфис Косметикс;2;начальник компрессорной станции;;
АО МодульНефтеГазИнжиниринг;2;начальник компрессорной станции;;да
ООО ГСП-1;2;начальник компрессорной станции;;
ООО Концессии водоснабжения;2;начальник компрессорной станции;;
