organizaciya,inn,marka,moshchnost,god,cena,tip_oborudovaniya,istochnik,dokument,ssylka,kak_privyazano,ogovorka
МУНИЦИПАЛЬНОЕ ВОДОКАНАЛИЗАЦИОННОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ХАНТЫ-МАНСИЙСК,8601001099,ДА-253-А-92-7000,,2025-04-10,,воздуходувка,ЕГРЗ (реестр заключений экспертизы),"86-1-1-2-019399-2025, Капитальный ремонт, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '86-1-1-2-019399-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Капитальный ремонт воздуходувной станции на КОС г. Ханты-Мансийска. Воздуходувка ДА-253-А-92-7000 инв.№ 00003358, 00003358, 23.12.2008""."
"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ТРЕСТ ""ВОДОКАНАЛ"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ Г. МАГНИТОГОРСК",7414000495,,,2024-06-05,,воздуходувка,ЕГРЗ (реестр заключений экспертизы),"74-2-1-2-028108-2024, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '74-2-1-2-028108-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Пусконалодочны работы по электрообурудованию ПНР ЩУЗ (47), Насосно-воздуходувная станция II очереди (воздуходувная, иловая насосная станция) (47)"
"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ САРАТОВСКОЙ ОБЛАСТИ ""ОБЛВОДОРЕСУРС""",6450924067,,,2023-11-29,,воздуходувка,ЕГРЗ (реестр заключений экспертизы),"64-1-1-2-072683-2023, Капитальный ремонт, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '64-1-1-2-072683-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Капитальный ремонт здания - воздуходувная станция КОС и КНС-2, расположенного по адресу: Саратовская область, г. Пугачев, КОС"
"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ТРЕСТ ""ВОДОКАНАЛ"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ Г. МАГНИТОГОРСК",7414000495,,,2023-10-31,,воздуходувка,ЕГРЗ (реестр заключений экспертизы),"74-2-1-2-065590-2023, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '74-2-1-2-065590-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция объектов городской инфраструктуры г.Магнитогорска Очистные сооружения правого берега. Этап 1. Сооружения биологической очистки сточных вод II очереди. Блок аэротенков"
"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ Г. САРАПУЛА ""САРАПУЛЬСКИЙ ВОДОКАНАЛ""",1827004081,,,2022-12-01,,воздуходувка,ЕГРЗ (реестр заключений экспертизы),"18-1-1-2-084576-2022, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '18-1-1-2-084576-2022',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция воздуходувной станции и системы аэрации на очистных сооружениях канализации г.Сарапул Удмуртской Республики"
"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ПО ЭКСПЛУАТАЦИИ СИСТЕМ ВОДОСНАБЖЕНИЯ И ВОДООТВЕДЕНИЯ ""ВОДОКАНАЛ"" Г. ВЕЛИКИЕ ЛУКИ",6025001060,,,2022-10-24,,воздуходувка,ЕГРЗ (реестр заключений экспертизы),"60-1-1-2-074770-2022, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '60-1-1-2-074770-2022',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Модернизация воздуходувной станции и аэротенков первой и второй очереди на биологических очистных сооружениях канализации в г. Великие Луки Псковской области."
"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ПО ЭКСПЛУАТАЦИИ СИСТЕМ ВОДОСНАБЖЕНИЯ И ВОДООТВЕДЕНИЯ ""ВОДОКАНАЛ"" Г. ВЕЛИКИЕ ЛУКИ",6025001060,,,2021-12-27,,воздуходувка,ЕГРЗ (реестр заключений экспертизы),"60-1-1-2-083405-2021, Капитальный ремонт, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '60-1-1-2-083405-2021',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Модернизация воздуходувной станции и аэротенков первой и второй очереди на биологических очистных сооружениях канализации в г. Великие Луки Псковской области."
"Общество с ограниченной ответственностью ""ТюменьВодоканал""",7204095194,,,2020-12-22,,воздуходувка,ЕГРЗ (реестр заключений экспертизы),"72-2-1-2-066216-2020, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '72-2-1-2-066216-2020',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция основного блока сооружений: модернизация камер хлопьеобразования, отстойников, автоматизация, реконструкция сопутствующих инженерных систем (Замена воздуходувного обо"
муниципальное водоканализационное предприятие муниципального образования город Ханты-Мансийск,8601001099,ДА-253-А-92-7000,,2020-12-18,,воздуходувка,ЕГРЗ (реестр заключений экспертизы),"86-1-1-2-065840-2020, Капитальный ремонт, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '86-1-1-2-065840-2020',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Капитальный ремонт воздуходувной станции на КОС г. Ханты-Мансийска. Воздуходувка ДА-253-А-92-7000 инв.№ 00003358, 00003358, 23.12.2008"
муниципальное водоканализационное предприятие муниципального образования город Ханты-Мансийск,8601001099,,,2020-09-30,,воздуходувка,ЕГРЗ (реестр заключений экспертизы),"86-1-1-2-048393-2020, Капитальный ремонт, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '86-1-1-2-048393-2020',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Капитальный ремонт воздуходувной станции на КОС г. Ханты-Мансийска. Центробежная воздуходувка инв.№ 00003269, 00003269, 14.07.2007"
"Муниципальное предприятие по эксплуатации систем водоснабжения и водоотведения ""Водоканал"" г. Великие Луки (ИНН: 6025001",6025001060,,,2019-09-24,,воздуходувка,ЕГРЗ (реестр заключений экспертизы),"60-1-1-2-025602-2019, вид работ не указан, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '60-1-1-2-025602-2019',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Модернизация воздуходувной станции и аэротенков первой и второй очереди на биологических очистных сооружениях канализации в г. Великие Луки Псковской области"
"Общество с ограниченной ответственностью ""Славнефть-Нижневартовск""",8620012762,,,2026-05-20,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"86-1-1-3-022426-2026, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '86-1-1-3-022426-2026',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция вакуумной компрессорной станции Западно-Усть-Балыкского месторождения"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САБЛАЙН СЕРВИС""",7721218278,,,2025-09-17,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"50-2-1-2-055102-2025, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '50-2-1-2-055102-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Реконструкция здания блока вспомогательных цехов под склад и здания компрессорной под административно-офисный центр"" по адресу: Московская область, г.о. Балашиха, г. Балашиха, ул."
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""СПЛАВ"" ИМЕНИ А.Н. ГАНИЧЕВА""",7105515987,,,2025-08-29,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"71-1-1-2-051166-2025, Капитальный ремонт, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '71-1-1-2-051166-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Капитальный ремонт электросилового хозяйства в корпусе ""Д"", в здании компрессорной АО ""НПО ""СПЛАВ"" им. А.Н.Ганичева"", расположенному по адресу: г. Тула, ул. Щегловская засека, д. "
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИРМА ""ТЭС""",9102036098,,,2025-08-26,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"91-2-1-3-050060-2025, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '91-2-1-3-050060-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция существующей автозаправочной станции №22 с установкой автомобильной газонаполнительной компрессорной станции, расположенной на земельном участке с КН 90:24:010114:111"
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛЖСКИЙ ТРУБНЫЙ ЗАВОД""",3435900186,в 4М10-40/35,,2025-08-18,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"34-2-1-3-048378-2025, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '34-2-1-3-048378-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция межцехового трубопровода кислорода ЭМК участка ТГС ЭНЦ-2, реконструкция трубопровода газообразного кислорода от компрессоров 4М10-40/35 до площадки замера расхода кис"
"Общество с ограниченной ответственностью ""НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ""",8903021599,,,2025-06-24,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"89-1-1-3-034947-2025, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '89-1-1-3-034947-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Промысловая компрессорная станция Западно-Ярояхинского лицензионного участка. II очередь"""
"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ПЕНЗЕНСКАЯ ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМ. Н.Н. БУРДЕНКО""",5837008741,,,2025-04-24,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"58-1-1-2-022380-2025, Капитальный ремонт, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '58-1-1-2-022380-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Капитальный ремонт системы электроснабжения в части обеспечения 1 категории электроснабжения операционного блока, реанимационного блока и модульной компрессорной кислородной станци"
