тир;блок;фасет;ключ;значение;товаров;шорт-лист
1;новый фасет;Передвижной;mobile;да;1278;да
1;пробел в фасете;Рабочее давление, бар;press;7,5;1086;да
1;пробел в фасете;Назначение;purpose;Для фотосепараторов;851;да
1;пробел в фасете;Объём ресивера, л;recv;270;693;да
1;новый фасет;Температурный режим;temp;До -40°C;614;да
1;пробел в фасете;Рабочее давление, бар;press;8,5;574;да
1;пробел в фасете;Мощность, кВт;power;4;494;да
1;пробел в фасете;Тип компрессора;ctype;поршневой;482;да
1;новый фасет;Температурный режим;temp;До -20°C;363;да
1;пробел в фасете;Назначение;purpose;Для медицины;346;да
1;пробел в фасете;Назначение;purpose;Для буровых установок;314;да
1;новый фасет;Производитель ДВС;engine;Cummins;303;да
1;пробел в фасете;Мощность, кВт;power;2,2;277;да
1;пробел в фасете;Мощность, кВт;power;3;247;да
1;новый фасет;Товарная группа (1С);tgroup;Генераторы азота;203;да
1;пробел в фасете;Назначение;purpose;Для лазерной резки;197;да
1;новый фасет;Степень защиты двигателя;ipclass;IP65;181;да
1;новый фасет;Производитель ДВС;engine;Yuchai;163;да
1;новый фасет;Малошумное исполнение;quiet;да;103;да
1;пробел в фасете;Объём ресивера, л;recv;36;102;да
1;пробел в фасете;Объём ресивера, л;recv;300;82;да
1;новый фасет;Тип охлаждения;cooling;водяное;80;да
1;пробел в фасете;Тип компрессора;ctype;шестеренчатый;78;да
1;пробел в фасете;Тип компрессора;ctype;поршневой безмасляный;69;да
1;новый фасет;Производитель ДВС;engine;Isuzu;66;да
1;пробел в фасете;Объём ресивера, л;recv;90;65;да
1;пробел в фасете;Напряжение питания, В;volt;6000;60;да
1;пробел в фасете;Напряжение питания, В;volt;660/1140;60;да
1;пробел в фасете;Объём ресивера, л;recv;50;57;да
1;пробел в фасете;Объём ресивера, л;recv;180;54;да
1;пробел в фасете;Мощность, кВт;power;5;49;да
1;пробел в фасете;Объём ресивера, л;recv;140;48;да
1;пробел в фасете;Объём ресивера, л;recv;540;36;да
1;пробел в фасете;Объём ресивера, л;recv;240;35;да
1;пробел в фасете;Мощность, кВт;power;1,5;35;да
1;новый фасет;Степень защиты двигателя;ipclass;IP66;34;да
1;пробел в фасете;Объём ресивера, л;recv;350;29;да
1;пробел в фасете;Объём ресивера, л;recv;230;27;да
1;пробел в фасете;Объём ресивера, л;recv;24;26;да
1;пробел в фасете;Объём ресивера, л;recv;750;25;да
1;новый фасет;Товарная группа (1С);tgroup;Компрессоры центробежные;22;да
1;пробел в фасете;Объём ресивера, л;recv;100;17;да
1;пробел в фасете;Объём ресивера, л;recv;120;16;да
1;пробел в фасете;Объём ресивера, л;recv;150;15;да
1;пробел в фасете;Объём ресивера, л;recv;160;12;да
2;новый фасет;Серия;series;TIDY;297;да
2;новый фасет;Серия;series;ВК;273;да
2;новый фасет;Серия;series;VEGA;249;да
2;новый фасет;Серия;series;SPINN;227;да
2;новый фасет;Серия;series;FLEX;160;да
2;новый фасет;Серия;series;INVERSYS PLUS;160;да
2;новый фасет;Серия;series;EKO;143;да
2;новый фасет;Серия;series;DMD;125;да
2;новый фасет;Серия;series;DL;110;да
2;новый фасет;Серия;series;COMBI;108;да
2;новый фасет;Серия;series;FORMULA;104;да
2;новый фасет;Серия;series;FORTIUS;96;да
2;новый фасет;Серия;series;PLUS;95;да
2;новый фасет;Серия;series;ZT/ZR;86;да
2;новый фасет;Серия;series;LENTO;75;да
2;новый фасет;Серия;series;G;71;да
2;новый фасет;Серия;series;K-MAX;71;да
2;новый фасет;Серия;series;MICRON;68;да
2;новый фасет;Серия;series;DVK D;67;да
2;новый фасет;Серия;series;GA;64;да
2;новый фасет;Серия;series;VEGA 2 поколение CF;64;да
2;новый фасет;Серия;series;PR;60;да
2;новый фасет;Серия;series;PRT;60;да
2;новый фасет;Серия;series;KC;60;да
2;новый фасет;Серия;series;DVK;57;да
2;новый фасет;Серия;series;SB;55;да
2;новый фасет;Серия;series;WIS;49;да
2;новый фасет;Серия;series;Т;47;да
2;новый фасет;Серия;series;GA+;46;да
2;новый фасет;Серия;series;Eagle-D VSD;45;да
2;новый фасет;Серия;series;TAURUS;45;да
2;новый фасет;Серия;series;VARIABLE-XP;44;да
2;новый фасет;Серия;series;MD;41;да
2;новый фасет;Серия;series;MICRO;40;да
2;новый фасет;Серия;series;APOLLO;40;да
2;новый фасет;Серия;series;SPR;40;да
2;новый фасет;Серия;series;Eagle;39;да
2;новый фасет;Серия;series;Eagle-D WC;39;да
2;новый фасет;Серия;series;BELT;39;да
2;новый фасет;Серия;series;SF;35;да
2;новый фасет;Серия;series;GEAR;33;да
2;новый фасет;Серия;series;А;33;да
2;новый фасет;Серия;series;ALTAIR;31;да
2;новый фасет;Серия;series;Eagle-DW VSD;30;да
2;новый фасет;Серия;series;СD;29;да
2;новый фасет;Серия;series;D;28;да
2;новый фасет;Серия;series;Borey;27;да
2;новый фасет;Серия;series;VISION;26;да
2;новый фасет;Серия;series;XLM;25;да
2;новый фасет;Серия;series;V-DRIVE;24;да
2;новый фасет;Серия;series;VARIABLE;24;да
2;новый фасет;Серия;series;LB;24;да
2;новый фасет;Серия;series;GENESIS;22;да
2;новый фасет;Серия;series;SPD;22;да
2;новый фасет;Серия;series;КМ;22;да
2;новый фасет;Серия;series;AX BD;20;да
2;новый фасет;Серия;series;AX BD DRY;20;да
2;новый фасет;Серия;series;DV;19;да
2;новый фасет;Серия;series;BS;18;да
2;новый фасет;Серия;series;AQ;18;да
2;новый фасет;Серия;series;AV;18;да
2;новый фасет;Серия;series;DPR-D;18;да
2;новый фасет;Серия;series;К;17;да
2;новый фасет;Серия;series;КТ;17;да
2;новый фасет;Серия;series;GA VSD plus;17;да
2;новый фасет;Серия;series;DBK;17;да
2;новый фасет;Серия;series;ARD;16;да
2;новый фасет;Серия;series;AR;16;да
2;новый фасет;Серия;series;MIG;16;да
2;новый фасет;Серия;series;SPDВ;16;да
2;новый фасет;Серия;series;GX;15;да
2;новый фасет;Серия;series;POLARIS-W (водяное охлаждение);15;да
2;новый фасет;Серия;series;PETMASTER;15;да
2;новый фасет;Серия;series;SR;14;да
2;новый фасет;Серия;series;KPR;12;да
