аудит 72 доменов по 150 статей...
осталось собрать: 72
  amulex.ru                    ok         статей  22 | реклама   0% | dofollow   0% | не в лист.   0%
  masteravannoy.ru             ok         статей  55 | реклама  98% | dofollow 100% | не в лист.  91%
  mybuses.ru                   ok         статей 150 | реклама   0% | dofollow   0% | не в лист.   0%
  ruscable.ru                  ok         статей 150 | реклама  57% | dofollow 100% | не в лист. 100%
  balcony-info.ru              ok         статей  23 | реклама  61% | dofollow 100% | не в лист. 100%
  nia-kavkaz.ru                ok         статей 150 | реклама   3% | dofollow 100% | не в лист. 100%
  autopulse05.ru               ok         статей   9 | реклама   0% | dofollow   0% | не в лист.   0%
  factories.by                 ok         статей 150 | реклама   7% | dofollow 100% | не в лист.  64%
  4x4.media                    ok         статей   3 | реклама   0% | dofollow   0% | не в лист.   0%
  priazovstep.ru               ok         статей  11 | реклама  27% | dofollow 100% | не в лист. 100%
  stadion.uz                   ok         статей 150 | реклама   3% | dofollow 100% | не в лист. 100%
  belarushockey.com            ok         статей 150 | реклама   0% | dofollow   0% | не в лист.   0%
  infmir.ru                    ok         статей 150 | реклама  82% | dofollow 100% | не в лист.  72%
  arkmaster.ru                 ok         статей   5 | реклама   0% | dofollow   0% | не в лист.   0%
  stroim-kak-nado.ru           ok         статей   6 | реклама   0% | dofollow   0% | не в лист.   0%
  39rus.org                    ok         статей  49 | реклама   4% | dofollow 100% | не в лист.   0%
  rinokmoscow.ru               ok         статей   8 | реклама   0% | dofollow   0% | не в лист.   0%
