kp0233_OLD_-_-_OLD_c_-_B_D_4.jpeg | фото_с_объекта | нет | средняя | производственный цех с рядом модульных компрессорных установок на заводе

kp0098_OLD_-_LINGYU_-_._-_._cfb4a39b7f7d1c52d0df416da2c90b0 | фото_с_объекта | нет | средняя | вакуумный насос с контроллером на объекте, стрелка указывает на насос

kp0494_OLD_-_-_controllar.jpg | фото_товара | да | средняя | сенсорная панель управления компрессором

kp0423_OLD_-_-_-_compressor.jpg | фото_товара | да | высокая | винтовой компрессор ENGER BS-37B, каталожное фото

kp0374_OLD_-_6.png | фото_с_объекта | нет | средняя | три винтовых компрессора ENGER установлены под навесом

kp0276_OLD_-_-_-_HANDE_-_AIPU_fade50bf5e888832bf68fee548122c | фото_товара | да | высокая | стойка с 4 вакуумными насосами с ременной передачей

kp0216_OLD_-_-_.jpg | схема_чертёж | да | высокая | 3D разрез винтового блока компрессора с роторами

kp0197_OLD_-_-_B_D_-_-_-_B_D_2.jpeg | схема_чертёж | да | средняя | 3D CAD модель винтового компрессора/насоса
kp0700_OLD_-_-_2_.jpg | схема_чертёж | да | средняя | техническая схема двухступенчатого винтового компрессора с IPM-двигателями и винтовыми блоками

kp0108_OLD_-_LINGYU_-_._-_._._-_Enger_WhatsApp_Image_2022-10 | фото_с_объекта | да | высокая | установка компрессорной станции с ресиверами в теплоизоляции и шкафом управления

kp0207_OLD_-_-_3.jpg | схема_чертёж | да | средняя | принцип работы винтовой пары компрессора в разрезе

kp0369_OLD_-_11.png | фото_с_объекта | да | высокая | компрессорная станция Enger с зелеными ресиверами и осушителем в помещении

kp0391_OLD_-_-_-_.jpg | схема_чертёж | да | высокая | технологическая схема адсорбционного осушителя с цеолитовым молекулярным ситом

kp1160__ENGER_-_ENGER_-_-_OFSZ_6.jpeg | маркетинг | да | высокая | брошюра Enger о специальном покрытии роторов и технологии уплотнения серии OFSZ

kp0102_OLD_-_LINGYU_-_._WhatsApp_Image_2022-10-23_at_21. | фото_товара | да | высокая | комплектная безмасляная компрессорная станция в сборе на производстве
kp0344_OLD_-_-_2-_._Enger_3.jpg | фото_с_объекта | нет | высокая | Несколько серых компрессоров ENGER в чистом промышленном помещении на красных платформах

kp0696_OLD_-_-_2_2_..jpg | фото_товара | нет | высокая | Каталожный рендер компрессора ENGER HBD-132DF2

kp0371_OLD_-_3.png | фото_с_объекта | нет | средняя | Зеленые компрессоры ENGER с трубопроводами на производственном объекте

kp0744_OLD_-_-_._-_2.jpg | фото_товара | нет | высокая | Адсорбционный осушитель ENGER ADHB-550 A с двумя баками и панелью управления

kp0497_OLD_-_-_klapany.jpg | фото_товара | нет | нет | Мелкая металлическая деталь, низкое качество изображения

kp0018__OLD_1._OLD_2_-_.jpg | маркетинг | нет | нет | Контактная карточка менеджера с фото и телефонами

kp0298_OLD_-_-_-_HANDE_-_AIPU_.png | схема_чертёж | да | высокая | Инфографика устройства компрессора в разрезе с выделенными узлами

kp1252__ENGER_-_DC_ENGER_-_DC_4.JPG | таблица_характеристик | да | высокая | Страница каталога со стандартной комплектацией дизельных компрессоров ENGER
kp0604_OLD_-_-_1_baosi.png | фото_товара | да | высокая | черный компрессорный агрегат на белом фоне с предупреждающим знаком

kp1189__ENGER_-_ENGER_-_LUF_1_7.JPG | схема_чертёж | да | средняя | технологическая схема воздушного и водяного охлаждения компрессора ENGER, фото безмасляного компрессора и схематические разрезы конструкции

kp0294_OLD_-_-_-_HANDE_-_AIPU_1.jpg | фото_с_объекта | нет | нет | производственный цех с корпусами и блоками компрессоров на складе

kp0596_OLD_-_40_KITO_ZSW_2-_-1_._WhatsApp_Image_2023-08-03_a | прочее | нет | нет | файл отсутствует или не загружен

kp1254__ENGER_-_DC_ENGER_-_DC_8.JPG | маркетинг | да | средняя | презентационный материал ENGER о модульных контейнерных компрессорных станциях с описанием преимуществ

kp0206_OLD_-_-_2.jpg | схема_чертёж | да | высокая | техническая схема винтового компрессора в разрезе, показывающая принцип работы роторов

kp0653_OLD_-_-_1_WhatsApp_Image_2023-07-14_at_09.35.54.jpeg | фото_с_объекта | нет | средняя | синий компрессор ENGER на улице у производственного здания
kp0211_OLD_-_-_3.jpg | фото_с_объекта | нет | средняя | Сотрудник работает с компрессором ENGER OFST-55W на объекте
kp0625_OLD_-_-_1_.jpg | фото_товара | нет | средняя | Станок плазменной резки в работе с искрами
kp0608_OLD_-_-_1_Enger_2_.jpg | фото_товара | да | высокая | Винтовой компрессор ENGER с осушителем и ресивером на базе
kp0480_OLD_-_-_-_liniya_ads.jpg | схема_чертёж | да | высокая | Технологическая схема системы воздухоподготовки: компрессор, ресиверы, фильтры, осушители, генератор азота
kp0120_OLD_-_LINGYU_-_._-_._._-_WhatsApp_Image_2022-10-23_at | фото_товара | нет | средняя | Генераторы азота LINGYU синего цвета на заводе-производителе
kp0759_OLD_-_-_-_17.09.2022_-_._._80fed2864d8fef32818c42d58d | фото_с_объекта | нет | средняя | Промышленная компрессорная установка с красными указателями на объекте
kp0250_OLD_-_-_.jpg | схема_чертёж | да | высокая | 3D разрез винтового блока компрессора, внутреннее устройство
kp0651_OLD_-_-_1_WhatsApp_Image_2023-07-14_at_09.35.53_1_.jp | фото_с_объекта | нет | средняя | Компрессор синего цвета с шумоизоляцией и панелью управления
kp0161_OLD | фото_товара | нет | высокая | Тепловой насос/чиллер с 4 осевыми вентиляторами, серебристый корпус, установлен на улице

kp0531_OLD | фото_с_объекта | нет | средняя | Холодильная установка в машинном зале, несколько компрессоров на раме с трубопроводами

kp0632_OLD | фото_товара | нет | высокая | Винтовой компрессор ENGER на колесах, сенсорная панель управления, красная аварийная кнопка

kp0335_OLD | фото_товара | нет | средняя | Внутренние компоненты компрессора, теплообменники с фланцами, гибкие металлические трубопроводы

kp0152_OLD | фото_товара | нет | высокая | Рефрижераторный осушитель ENGER, панель управления с манометром и индикаторами

kp0122_OLD | фото_с_объекта | нет | средняя | Генераторы азота/кислорода LINGYU на площадке, несколько установок с ресиверами

kp0381_OLD | схема_чертёж | да | высокая | Технологическая схема системы производства кислорода с компонентами и системой фильтров

kp0519_OLD | фото_товара | нет | высокая | Поршневой компрессор ENGER на желтой раме, открытая конструкция с синим двигателем
kp0162_OLD_-_LINGYU_-_._-_._70c84108d100aafa6332707e5d5d046 | фото_товара | да | высокая | Компрессор LINGYU серо-бежевого цвета на улице, панель управления справа, вентиляционные решетки

kp1245__ENGER_-_-_-_-_Enger3.jpg | фото_с_объекта | да | высокая | Промышленная система подготовки воздуха в цехе: компрессоры, зеленый ресивер в упаковке, осушитель, генератор азота/кислорода

kp0215_OLD_-_-_.jpg | схема_чертёж | да | средняя | 3D разрез винтового блока компрессора с роторами, стрелками показаны направления потоков воздуха

kp0327_OLD_-_-_2-_._B_D_-_-_2-_._WhatsApp_Image_2022-07-06_a | маркетинг | нет | средняя | Желтый компрессор B&D BD-125PM-II с системой мониторинга на белом фоне, рекламное фото

kp1255__ENGER_-_DC_ENGER_-_DC_9.JPG | маркетинг | да | средняя | Инфографика "Почему выбирают ENGER": технологии, референс-лист, винтовой блок BAOSI, двигатель, преобразователь, склады в РФ

kp0379_OLD_-_-_-_generator_kisloroda.png | фото_товара | да | средняя | Генератор кислорода: три белых вертикальных резервуара с синей обвязкой и панелью управления

kp0577_OLD_-_40_KITO_ZSW_2-_-1_._photo_5210750084554279457_y | фото_с_объекта | да | высокая | Установка генерации кислорода KITO в цехе, бело-красный корпус, панель управления, сигнальная колонна на крыше

kp0694_OLD_-_-_2_.png | фото_товара | да | средняя | Панель управления INOVANCE с сенсорным дисплеем и красной аварийной кнопкой, палец на кнопке
kp0319_OLD_-_-_2-_._B_D_-_-_2-_._WhatsApp_Image_2022-07-06_a | фото_с_объекта | нет | средняя | компрессорная с Atlas Copco и желтым оборудованием

